Rise-Time_Median,Rise-Time_Median.1,Rise-Time_Median.2,Rise-Time_Median.3,Rise-Time_Median.4,Rise-Time_Median.5,Rise-Time_Median.6,Rise-Time_Median.7,Rise-Time_Median.8,Rise-Time_Median.9,Rise-Time_Median.10,Rise-Time_Median
41.2,20.01513157894737,16.666666666666664,,76.6,34.3,75.296,68.9,45.5,85.82777777777778,38.8,67.0
34.9,19.344736842105263,25.83333333333333,,78.1,34.3,74.404,68.8,33.2,88.5,33.4,67.3
34.9,18.67434210526316,35.0,,79.7,34.3,73.512,67.8,35.2,80.7,21.2,68.7
35.0,18.003947368421052,37.0,,78.9,34.3,72.62,64.0,35.3,72.9,33.4,69.2
44.9,17.333552631578947,21.275,,79.2,34.4,71.72800000000001,65.6,41.25,72.96666666666667,35.4,69.3
35.0,16.66315789473684,5.55,,79.1,46.8,70.836,66.1,35.3,73.03333333333333,27.1,69.2
44.8,15.992763157894736,9.05,,79.0,65.5,69.944,69.4,42.3,73.1,27.700000000000003,69.2
44.9,15.32236842105263,11.05,,72.6,65.5,69.052,74.7,42.3,65.1,28.3,69.3
52.6,14.651973684210525,20.083333333333336,,84.2,65.5,68.16,69.2,42.4,8.2,48.6,69.3
59.1,13.98157894736842,29.116666666666667,,80.7,65.6,67.268,66.35,42.3,12.65,31.7,70.7
59.2,13.311184210526314,38.15,,62.4,57.0,66.376,65.8,46.1,42.3,21.2,70.6
59.3,12.640789473684208,43.59166666666667,,65.0,60.9,65.48400000000001,82.9,45.95,5.05,38.65,69.3
33.6,11.970394736842104,49.03333333333333,,57.3,59.4,64.592,83.3,42.2,53.6,35.4,72.8
28.9,11.3,54.475,,,61.0,63.7,54.75,42.4,60.5,26.15,70.5
68.6,15.3,59.91666666666666,,,63.3,55.07,54.4,32.65,60.4,33.5,65.0
23.55,19.3,65.35833333333333,,,63.3,46.44,45.1,25.450000000000003,60.3,32.1,64.5
49.4,72.4,70.8,,,61.1,37.81,43.7,31.1,64.4,29.7,64.3
40.25,54.35,40.65,,,60.5,29.18,45.0,36.75,60.6,31.6,64.3
34.8,36.3,39.175,,,63.2,20.55,45.8,152.7,35.65,7.3,64.2
30.0,33.72857142857143,37.7,,,63.2,21.97954545454545,51.3,136.2,36.975,20.8,64.5
51.9,31.15714285714285,36.225,,,63.2,23.40909090909091,50.25,140.95,38.3,11.7,64.5
30.35,28.58571428571428,34.75,,,65.8,24.838636363636365,46.2,110.9,38.9,38.25,65.65
49.7,26.014285714285712,49.0,,,62.55,26.26818181818182,50.9,44.3,70.9,38.3,63.2
54.5,23.44285714285714,0.3,,,61.4,27.69772727272728,66.4,49.4,68.3,41.2,60.1
53.8,20.871428571428567,43.85,,,61.4,29.127272727272725,58.0,93.1,60.6,36.2,60.45
49.8,18.3,35.425,,,65.9,30.55681818181818,66.8,82.6,60.6,32.0,62.4
32.550000000000004,15.728571428571424,27.0,,,63.4,31.986363636363635,67.8,103.6,63.8,30.0,60.5
75.75,13.157142857142851,49.16666666666667,,,61.5,33.41590909090909,65.4,103.3,68.4,44.45,64.4
46.75,10.585714285714282,71.33333333333334,,,61.5,34.845454545454544,55.2,103.1,68.4,39.45,107.1
48.225,8.014285714285709,93.5,,,61.5,36.275,60.3,115.4,68.4,40.85,55.8
49.7,5.442857142857136,21.1,,,61.5,37.70454545454545,68.0,111.95,68.4,45.3,69.4
55.4,2.8714285714285666,49.6,,,61.5,39.13409090909091,68.0,99.3,43.3,42.4,69.4
49.8,0.3,40.03333333333333,,,60.6,40.56363636363636,68.0,33.2,15.5,48.1,105.9
49.7,0.6410714285714285,30.466666666666665,,,60.4,41.99318181818182,68.1,52.9,16.4,40.650000000000006,55.9
79.7,0.982142857142857,20.9,,,57.0,43.42272727272727,68.1,59.7,20.6,33.2,72.8
79.8,1.3232142857142857,23.4,,,39.0,44.85227272727273,68.2,59.375,35.25,39.3,72.9
79.7,1.664285714285714,27.15,,,61.8,46.28181818181818,68.1,59.05,49.900000000000006,45.400000000000006,72.7
79.9,2.0053571428571426,30.9,,,62.0,47.71136363636364,68.1,58.725,75.1,46.5,66.8
64.8,2.346428571428571,30.69,,,62.0,49.14090909090909,68.1,58.4,38.05,44.1,58.4
79.8,2.6875,30.48,,,62.0,50.57045454545455,68.1,67.1,15.3,53.6,55.1
80.0,3.028571428571428,30.27,,,62.1,52.0,66.8,75.8,82.9,89.25,47.6
79.9,3.3696428571428565,30.06,,,62.1,52.75,66.9,58.7,47.4,20.3,60.9
80.0,3.710714285714285,29.85,,,62.2,53.5,66.9,61.25,44.75,39.35,67.5
80.0,4.051785714285714,63.0,,,67.8,54.25,59.45,63.8,30.05,54.7,75.2
80.0,4.392857142857142,52.9,,,67.7,55.0,55.0,66.35000000000001,36.4,61.5,81.0
79.8,4.733928571428571,0.2,,,62.0,55.75,49.45,68.9,28.450000000000003,60.8,72.5
76.9,5.074999999999999,15.55,,,61.7,56.5,48.1,65.5875,30.03333333333333,69.0,74.6
79.9,5.416071428571428,6.7,,,61.7,57.25,47.9,62.275000000000006,31.61666666666667,68.4,78.3
79.9,5.757142857142856,16.2,,,61.7,52.18,54.0,58.9625,33.2,69.6,67.0
79.9,6.098214285714285,16.1,,,61.7,47.11,59.7,55.65,35.3,69.7,69.7
79.9,6.439285714285713,14.6,,,61.7,42.04,62.55,45.8,38.1875,70.0,64.1
76.8,6.780357142857142,19.9,,,61.7,36.97,55.6,83.9,41.075,70.4,57.8
76.8,7.12142857142857,25.2,,,61.7,31.9,63.9,82.8,43.9625,70.9,47.7
80.0,7.462499999999999,8.4,,,61.8,30.944444444444443,66.6,35.1,46.85,72.8,47.7
76.8,7.803571428571427,0.6,,,61.7,29.988888888888887,66.8,35.1,41.3,72.9,46.2
76.6,8.144642857142856,41.9,,,61.7,29.03333333333333,87.1,82.7,43.8,72.8,54.3
76.6,8.485714285714286,0.55,,,61.9,28.077777777777776,87.1,35.2,56.0,70.9,61.4
76.6,8.826785714285714,5.85,,,61.9,27.12222222222222,61.8,35.0,26.6,70.6,57.8
76.5,9.167857142857144,17.283333333333335,,,61.9,26.166666666666664,60.7,35.1,47.1,70.1,60.6
27.6,9.508928571428571,28.71666666666667,,,61.9,25.21111111111111,60.7,81.6,41.2,71.7,61.4
59.9,9.85,40.150000000000006,,,61.9,24.25555555555556,60.7,81.7,51.0,72.65,64.0
67.3,15.975,49.3,,,61.9,23.3,61.8,35.0,80.7,70.2,64.3
59.7,22.1,2.15,,,61.8,22.34444444444444,61.8,81.8,124.25,68.5,61.3
59.9,44.900000000000006,17.724999999999998,,,61.8,21.38888888888889,61.9,81.8,29.1,70.3,55.1
59.6,67.7,33.3,,,61.9,20.433333333333334,61.9,81.8,64.7,68.0,55.2
59.4,64.3,31.8,,,61.8,19.47777777777777,61.9,42.4,10.0,67.7,53.2
59.4,60.900000000000006,30.3,,,61.8,18.522222222222226,61.9,81.8,54.7,63.7,55.1
57.0,57.5,28.8,,,61.8,17.566666666666666,62.0,81.8,9.3,65.7,60.1
15.8,54.1,27.3,,,62.0,16.61111111111111,61.9,81.8,27.4,58.7,60.1
9.05,50.7,20.25,,,86.55,15.655555555555557,61.9,81.8,45.5,60.25,60.1
15.8,47.3,20.9,,,,14.7,61.8,81.8,60.6,60.7,60.5
14.2,43.9,23.75,,,,13.744444444444444,59.4,45.6,82.0,58.35,60.7
56.4,40.5,39.225,,,,12.788888888888888,61.9,45.5,82.1,54.9,69.8
72.6,37.1,54.7,,,,11.833333333333332,65.95,81.9,59.4,61.6,67.6
72.7,33.7,76.44999999999999,,,,10.877777777777776,67.9,81.9,59.5,61.2,67.5
72.7,30.3,79.6,,,,9.92222222222222,80.75,81.9,82.2,68.4,72.8
72.8,26.9,68.57499999999999,,,,8.966666666666669,65.3,81.9,82.2,72.0,79.7
72.9,23.5,57.55,,,,8.011111111111113,59.95,87.0,82.2,68.5,92.5
72.9,20.099999999999994,46.525,,,,7.055555555555557,65.4,34.2,82.1,65.1,77.95
61.6,16.699999999999996,35.5,,,,6.1,65.4,87.0,82.2,65.1,71.8
58.3,13.3,42.63333333333333,,,,47.73333333333333,65.4,81.9,82.2,67.65,71.9
58.0,40.4,49.76666666666667,,,,89.36666666666666,58.85,39.3,82.2,54.4,72.0
54.0,39.42272727272727,56.900000000000006,,,,131.0,77.7,39.3,8.6,57.2,72.6
39.2,38.44545454545455,64.03333333333335,,,,38.5,67.4,39.4,8.6,55.7,72.7
30.85,37.46818181818182,71.16666666666669,,,,44.05,77.9,39.2,9.6,73.0,73.3
31.0,36.49090909090909,78.30000000000001,,,,44.1,78.2,39.2,9.6,75.1,71.35
87.2,35.513636363636365,18.65,,,,45.6,78.3,39.3,9.6,58.3,72.6
28.0,34.53636363636363,19.015,,,,46.4,77.4,39.2,9.6,58.4,70.5
27.9,33.559090909090905,19.38,,,,48.1,66.9,39.3,9.6,58.4,71.1
23.9,32.58181818181818,19.745,,,,38.4,66.8,39.3,9.7,58.4,70.7
20.2,31.60454545454545,20.11,,,,73.3,78.3,39.2,9.7,54.55,67.7
87.3,30.627272727272725,20.475,,,,233.3,78.7,34.2,9.7,54.5,65.95
87.4,29.65,20.84,,,,69.0,77.5,36.0,9.7,56.45,66.9
87.4,47.775000000000006,21.205,,,,42.2,66.1,35.9,9.7,56.650000000000006,65.6
45.4,65.9,21.57,,,,0.2,66.7,34.2,9.7,54.5,65.0
45.4,52.4,21.935,,,,4.1,78.55,35.9,9.7,54.5,65.7
68.6,48.1,22.3,,,,24.4,67.4,35.9,9.8,54.5,65.5
87.6,42.7,37.325,,,,24.1,67.5,35.9,9.8,54.5,66.45
87.6,41.51666666666667,52.35,,,,24.1,66.2,35.9,9.8,54.5,66.8
45.5,40.333333333333336,53.375,,,,38.8,67.3,41.2,9.8,54.5,66.0
45.5,39.150000000000006,54.4,,,,232.0,59.95,39.5,9.8,54.5,65.9
45.6,18.25,48.2,,,,43.0,66.25,39.5,9.9,60.7,65.2
45.7,26.85,46.9,,,,43.1,77.9,39.4,9.9,,64.3
45.8,27.425,43.05,,,,104.3,62.2,39.5,9.9,,61.6
49.3,28.0,41.6,,,,104.5,68.1,36.0,9.9,,65.6
49.3,21.8,23.15,,,,104.7,71.3,36.0,9.9,,65.9
49.4,22.4,32.35,,,,48.4,69.15,64.4,8.6,,66.2
49.5,22.55,66.5,,,,48.4,66.2,64.6,8.55,,63.3
49.5,29.1,49.55,,,,72.7,72.9,64.5,137.3,,60.35
49.6,20.0,42.2,,,,60.5,63.5,64.5,8.6,,58.3
49.7,26.7,49.3,,,,52.8,66.3,64.5,8.6,,53.7
49.5,26.700000000000003,40.33333333333333,,,,78.3,66.5,64.5,8.6,,53.9
43.1,29.85,31.366666666666664,,,,104.4,62.5,64.5,8.6,,55.9
31.8,33.0,22.4,,,,96.35,62.3,64.4,8.6,,54.9
46.4,29.6,29.2,,,,88.30000000000001,78.2,64.5,8.6,,54.2
25.2,55.7,64.7,,,,80.25,73.6,64.5,9.7,,54.3
28.3,11.55,17.5,,,,72.2,63.5,64.5,9.6,,54.2
46.7,46.95,25.75,,,,64.15,66.2,64.5,8.6,,63.7
46.9,62.9,6.35,,,,56.1,51.3,64.5,8.6,,65.0
25.2,30.3,32.7,,,,48.05,51.3,64.5,8.6,,62.95
25.2,56.3,17.25,,,,40.0,53.650000000000006,64.5,8.7,,62.9
25.2,4.1,27.275,,,,31.950000000000003,62.4,64.5,9.7,,59.4
25.2,16.65,37.3,,,,23.9,68.4,64.6,9.8,,63.5
25.2,29.2,55.25,,,,28.6875,70.5,64.6,9.7,,59.3
25.3,41.75,61.650000000000006,,,,33.474999999999994,72.8,64.6,9.8,,53.6
25.3,54.3,60.2,,,,38.2625,102.6,64.5,9.8,,53.4
25.3,26.65,31.4,,,,43.05,102.5,64.5,9.8,,53.6
25.4,26.5,55.9,,,,55.16666666666666,102.6,64.7,9.7,,53.4
25.5,45.9,64.3,,,,67.28333333333333,102.6,64.7,9.8,,47.5
25.6,3.7,51.5,,,,79.4,67.0,64.7,9.9,,49.95
25.6,7.1,51.7,,,,71.45,66.4,64.6,9.9,,48.1
25.7,35.9,40.05,,,,63.5,62.4,64.7,9.9,,46.8
28.0,33.725,8.5,,,,54.650000000000006,53.8,68.0,9.9,,48.2
50.9,31.55,0.6,,,,79.6,56.2,69.6,9.9,,48.05
50.95,4.1,219.6,,,,66.35,50.5,69.6,9.9,,48.6
51.1,21.6,36.9,,,,53.1,50.1,64.7,9.9,,48.6
53.1,39.1,43.6,,,,73.1,51.8,67.9,10.0,,48.4
51.3,8.649999999999999,67.3,,,,87.23333333333333,52.8,55.0,10.0,,49.6
53.5,8.8,49.4,,,,101.36666666666666,52.9,68.1,10.0,,52.2
68.0,0.4,40.0,,,,115.5,51.5,68.1,10.0,,67.25
70.6,23.15,65.25,,,,115.25,52.1,68.1,10.0,,67.8
68.3,25.6,62.9,,,,110.1875,51.9,68.0,10.0,,70.9
68.2,20.700000000000003,44.6,,,,105.125,51.4,68.1,10.0,,70.15
68.3,15.8,34.9,,,,100.0625,48.5,68.1,10.0,,67.2
68.4,10.9,50.4,,,,95.0,49.2,68.1,10.1,,64.1
68.5,26.2,69.5,,,,89.9375,49.1,68.1,10.1,,64.1
68.6,48.0,67.1,,,,84.875,52.9,68.05,10.1,,64.1
