Rise-Time_Crest_factor,Rise-Time_Crest_factor.1,Rise-Time_Crest_factor.2,Rise-Time_Crest_factor.3,Rise-Time_Crest_factor.4,Rise-Time_Crest_factor.5,Rise-Time_Crest_factor.6,Rise-Time_Crest_factor.7,Rise-Time_Crest_factor.8,Rise-Time_Crest_factor.9,Rise-Time_Crest_factor.10,Rise-Time_Crest_factor
2.81438979110111,1.0844079318923885,1.4003937174467649,5.194106134473655,2.810079158194767,3.6392782721374735,1.020665096078473,4.812661618691359,2.060283849510576,1.1034576491195924,3.0729481959812777,12.943991050330766
2.5748824928750693,1.0755138020758863,1.392839207500563,8.022677291806994,3.157857052089818,8.870592261417114,1.0347229671203575,1.5138032627086155,1.0713832189181032,1.1131179244105252,1.3059672011322163,10.935999769331945
2.487173448440014,1.066619672259384,1.3852846975543611,3.5280973340370143,3.212417317446292,2.3407811068666216,1.0487808381622417,2.8361294909041046,2.2656810941604344,1.122778199701458,2.1246660451381514,15.93729563832646
9.84140827773696,1.0577255424428822,1.3777301876081591,6.790686839172099,3.3113315325424164,2.267648161692086,1.0628387092041258,4.532092085425498,2.963265088637647,1.1324384749923908,2.6152682200423327,12.40222111196159
8.599301134242129,1.068320154174394,1.3701756776619571,5.5355745705021056,3.48044851673878,4.045928097294254,1.0768965802460102,2.135401373282967,1.1484105337960822,1.1420987502833235,4.112223891933654,10.015234240252196
7.547960461779176,1.0789147659059055,1.3626211677157551,3.5531629945984413,3.4663953399737326,7.930000576508871,1.0869509438472948,1.9374938902988363,2.999546123073193,1.1103762339118215,2.129936224897364,14.95171451779854
7.906733090701199,1.0895093776374174,1.3550666577695534,8.21477845101568,3.490247521287567,2.1966214100557324,1.0970053074485795,1.6058610127121296,4.668188064644512,1.0742049029914282,1.6531381572665536,13.050418700535344
2.5906338864005267,1.100103989368929,1.3475121478233514,3.2856289454610432,3.599143050474738,2.460587763879172,1.1070596710498644,2.341212386438408,4.116370835268766,1.1826786318796765,1.629185638999729,12.507300731089192
1.826125956528555,1.1106986011004407,1.3399576378771494,2.6738200683055147,1.7060434211192796,6.993269192050169,1.117114034651149,1.7495996791191086,2.49060986639012,1.249378068773264,1.963386534668984,11.339243149441302
2.1956559939424585,1.1212932128319524,1.3324031279309474,3.633798330122639,4.27834512668998,4.283159521134172,1.1271683982524336,1.4207849404052462,1.6179835351279042,1.3160775056668512,2.076102268370667,10.926579804094562
1.703594720786637,1.131887824563464,1.3248486179847454,3.393972143202958,4.888915007392402,6.384509887132328,1.1372227618537183,1.211009666320148,1.3373184037353043,1.3131851133575023,5.295792187894743,8.870995742409544
1.6957759914437809,1.1424824362949757,1.3172941080385436,5.213755702232373,4.366566464509536,7.356782893709629,1.1472771254550032,1.9571291633534984,1.830413834167428,1.310292721048154,2.393830320976912,6.266796896350586
3.1803814342468586,1.1530770480264876,1.3097395980923416,5.8899126630911045,5.457826663864524,6.22145778762966,1.1573314890562878,2.523033991414332,3.137657214412636,1.3074003287388054,1.3114543446451767,8.071524435258045
3.058294024461746,1.1636716597579992,1.3021850881461396,9.22180539437942,4.715843202145239,5.397421095553475,1.1673858526575724,3.0889388194751657,1.0947001647926276,1.3045079364294567,2.329975027016593,8.061529621215927
2.1859472623949063,1.174266271489511,1.2946305781999377,9.015417650370113,2.3113315243843435,4.603041647398199,1.1774402162588573,3.4539321204787434,1.226099365145862,1.301615544120108,1.7565193448104033,4.617328685804967
