Counts_Median,Counts_Median.1,Counts_Median.2,Counts_Median.3,Counts_Median.4,Counts_Median.5,Counts_Median.6,Counts_Median.7,Counts_Median.8,Counts_Median.9,Counts_Median.10,Counts_Median
25.0,21.526315789473685,3.083333333333333,,77.0,61.0,45.5,57.5,40.0,51.5,37.25,73.0
17.0,21.32236842105263,2.5,,74.0,67.0,50.0,62.0,37.0,54.25,48.0,80.0
15.5,21.11842105263158,9.5,,74.0,31.0,53.0,64.0,38.0,57.0,58.0,81.0
14.0,20.914473684210527,16.5,,73.0,29.0,56.0,63.0,39.0,59.75,55.25,78.0
21.0,20.71052631578948,23.5,,69.0,29.0,59.0,71.0,36.0,62.5,52.5,79.0
10.0,20.50657894736842,45.0,,71.0,28.0,74.0,68.0,34.0,65.25,38.0,65.0
7.0,20.30263157894737,47.333333333333336,,72.0,28.0,57.0,64.0,35.0,68.0,54.0,78.0
13.0,20.098684210526315,49.66666666666666,,73.0,30.0,62.0,63.0,29.0,70.75,67.0,82.0
21.0,19.894736842105264,52.0,,73.0,30.0,62.4,62.0,12.0,73.5,50.5,82.0
23.0,19.69078947368421,54.333333333333336,,74.0,29.0,62.8,52.0,6.0,76.25,50.0,82.0
24.5,19.48684210526316,56.66666666666667,,74.0,31.0,63.2,48.0,33.0,79.0,49.0,70.0
25.0,19.282894736842103,59.0,,77.0,34.0,63.6,28.0,47.0,28.5,52.0,78.0
25.0,19.07894736842105,56.0,,77.0,53.0,64.0,19.0,50.0,31.11111111111111,51.0,81.0
25.0,18.875,61.0,,77.0,57.5,64.4,15.0,39.5,33.72222222222222,37.0,68.0
25.0,18.671052631578945,25.0,,76.0,63.0,64.8,13.0,38.0,36.333333333333336,35.0,66.0
28.0,18.467105263157897,26.0,,73.0,57.0,65.2,19.0,40.0,38.94444444444444,39.0,68.0
29.0,18.26315789473684,30.0,,75.0,65.0,65.6,8.0,9.0,41.55555555555556,36.0,85.0
27.0,18.059210526315788,41.0,,75.0,66.0,66.0,8.0,5.0,44.16666666666667,42.0,67.0
26.0,17.855263157894736,3.5,,75.0,65.0,66.4,50.0,9.0,46.77777777777778,44.0,68.0
28.0,17.651315789473685,19.333333333333336,,74.0,67.0,66.8,58.0,6.0,49.388888888888886,36.0,67.0
