Energy_Central_moment_4th_order,Energy_Central_moment_4th_order.1,Energy_Central_moment_4th_order.2,Energy_Central_moment_4th_order.3,Energy_Central_moment_4th_order.4,Energy_Central_moment_4th_order.5,Energy_Central_moment_4th_order.6,Energy_Central_moment_4th_order.7,Energy_Central_moment_4th_order.8,Energy_Central_moment_4th_order.9,Energy_Central_moment_4th_order.10,Energy_Central_moment_4th_order
1.1131750353143042e+21,9.713327961118468e+17,1.1468603164430634e+21,6.307313254983699e+25,2.1024960332775308e+26,8.970128348699988e+21,5.280702726614196e+21,1.5289213263838827e+27,1.5940063108901e+17,8.532532630466181e+27,1.873281993609228e+17,1.1971537986538438e+25
2.0072519347206755e+21,9.593596275555036e+17,9.20032816958688e+20,4.775384276174819e+21,2.6432400510361592e+26,7.230391775920253e+22,1.4197656086674896e+25,2.3639287100625e+25,1.451321942697065e+19,4.266308048643735e+27,1.371136268367171e+18,7.186517143100145e+24
7.971921676691082e+22,9.473864589991604e+17,6.932053174743123e+20,2.409264285122324e+23,1.6250077964830918e+26,2.5816436189905418e+23,26740740740740.78,7.553885065564306e+26,6.9257922561e+18,8.34668212890625e+22,7.1609199193234185e+22,6.730797787160303e+24
4.833589496619914e+21,9.35413290442817e+17,4.663778179899368e+20,4.813445811578031e+24,2.7894150073165464e+29,5.253347424987933e+23,3.2606991118225705e+25,6.282860900423408e+26,2.892058766054312e+24,6.32697933203125e+22,6.40740555157866e+20,9.791266930376971e+24
1.0367913183524616e+23,9.234401218864736e+17,2.3955031850556142e+20,2.0979542901558327e+25,2.5963599660292323e+29,7.883001137585395e+23,1.796128653846154e+17,4.66827770155918e+26,1.4880461347509782e+24,4.30727653515625e+22,8.79980062277639e+20,1.1990663985426727e+25
1.6131962954778984e+22,9.114669533301304e+17,1.2722819021185882e+19,1.1784032707627171e+22,2.050472074346588e+26,4.613317119869471e+23,1.6809206303160606e+23,2.4010545668160623e+25,8.403350344764465e+22,2.28757373828125e+22,1.2810476111890651e+19,9.553335749594476e+24
5.716138198212049e+23,8.994937847737871e+17,4.76874494721e+19,2.181683306202683e+19,1.6134223227283676e+26,2.036550218682744e+29,3.361839464503468e+23,5.260808571970735e+24,952677266017.0,2.6787094140625e+21,4.809040476724079e+23,6.255619174023497e+24
4.250400201059778e+25,8.87520616217444e+17,8.381892395677868e+19,5.9282850706799e+19,1.5976200064925203e+26,1.5567786648197335e+24,8.048934685987567e+26,1.7965873957183118e+26,2.127352809130991e+17,3.243676256047503e+25,3.0448672736100454e+17,6.700710347813826e+24
5.2607776686788525e+23,8.755474476611007e+17,1.1995039844145735e+20,6.998545341222435e+20,1.815093523562836e+26,2.3159182274147127e+24,6.036701014490773e+26,1.9770644687837928e+26,5.883319420008638e+18,6.4870846411536e+25,7.038976677242831e+21,7.291057773151213e+24
1.94861615191392e+25,8.635742791047574e+17,4284562134316727.0,1.145524793522638e+26,1.4256755050856388e+26,2.720569262382642e+24,4.0244673429939786e+26,3.381672723840508e+26,5.751208388108848e+18,7.6248260600625e+21,1.5894628761354692e+20,2.8900864182250554e+25
