RMS_Peak,RMS_Peak.1,RMS_Peak.2,RMS_Peak.3,RMS_Peak.4,RMS_Peak.5,RMS_Peak.6,RMS_Peak.7,RMS_Peak.8,RMS_Peak.9,RMS_Peak.10,RMS_Peak
62.3,34.39342105263158,51.3,,111.5,81.9,46.02,63.3,65.6,24.433333333333334,81.2,70.0
78.5,34.560526315789474,54.2,,110.6,46.9,45.892,54.9,69.8,24.55555555555556,80.6,69.9
71.9,34.72763157894737,48.5,,110.0,51.5,45.764,65.6,64.3,24.677777777777777,71.7,69.6
57.0,34.89473684210526,42.8,,106.8,82.7,45.636,67.6,66.4,24.8,80.9,73.2
50.3,35.06184210526315,37.1,,110.9,71.4,45.508,67.6,69.4,24.85,80.8,71.6
63.3,35.22894736842105,33.2,,113.5,87.4,45.38,64.5,62.9,24.9,74.3,74.3
54.9,35.39605263157895,39.0,,120.3,93.9,45.252,63.3,63.7,40.53333333333333,87.2,67.4
52.4,35.56315789473684,44.8,,121.1,93.7,45.124,67.0,63.5,56.16666666666666,88.0,69.9
58.0,35.73026315789474,49.6,,132.5,92.8,44.996,65.7,63.3,71.8,80.95,75.3
59.0,35.89736842105263,59.8,,141.3,89.8,44.868,66.2,60.7,39.4,73.9,72.8
50.5,36.064473684210526,49.33333333333333,,143.9,98.5,44.74,63.9,55.8,36.4,79.5,70.7
48.1,36.23157894736842,38.86666666666666,,151.1,84.6,44.612,63.3,56.7,23.7,69.2,72.5
51.0,36.39868421052631,28.4,,158.1,87.8,44.484,62.9,61.6,25.4,80.1,71.2
55.5,36.565789473684205,29.616666666666667,,188.8,86.5,44.356,68.2,62.0,23.1,30.6,74.1
54.2,36.732894736842105,30.83333333333333,,167.1,92.9,44.228,70.4,49.5,50.7,76.7,73.0
63.7,36.9,32.05,,,96.0,44.1,66.6,32.1,57.7,75.1,75.8
39.6,36.95,33.266666666666666,,,98.3,44.36,67.3,26.2,47.5,76.5,73.4
60.5,37.0,34.483333333333334,,,90.0,44.62,64.8,23.5,51.1,74.5,73.6
21.7,49.0,35.7,,,96.3,44.88,63.5,25.7,50.4,80.3,75.3
47.9,42.8,44.4,,,89.7,45.14,64.4,27.9,45.4,83.5,72.5
43.8,36.6,42.425,,,83.9,45.4,66.3,26.9,25.7,82.5,73.5
54.2,36.31428571428572,40.45,,,90.8,45.74090909090909,66.5,47.8,25.2,84.1,73.4
65.9,36.02857142857143,38.475,,,71.1,46.08181818181818,67.9,52.8,24.7,86.4,77.5
63.3,35.74285714285715,36.5,,,92.5,46.42272727272727,69.7,50.8,25.5,79.8,73.5
59.5,35.457142857142856,31.2,,,53.1,46.763636363636365,74.5,50.6,26.3,76.8,76.1
48.5,35.17142857142857,48.4,,,41.8,47.10454545454545,72.2,51.8,51.2,77.5,78.1
54.0,34.885714285714286,44.8,,,66.0,47.44545454545455,73.0,51.4,56.7,80.2,77.7
47.5,34.6,42.1,,,61.7,47.78636363636363,74.3,52.9,55.3,77.9,81.0
45.6,34.31428571428572,39.4,,,43.8,48.127272727272725,76.6,53.1,53.4,75.3,78.6
68.0,34.02857142857143,34.7,,,55.3,48.46818181818182,76.0,53.2,52.8,78.9,74.8
35.7,33.74285714285715,30.0,,,90.0,48.809090909090905,78.9,54.0,35.7,55.5,79.9
46.25,33.457142857142856,25.3,,,69.3,49.15,72.8,54.7,29.85,79.4,82.1
56.8,33.17142857142857,45.1,,,93.3,49.49090909090909,80.2,53.2,24.0,72.7,81.0
57.2,32.885714285714286,37.8,,,76.6,49.83181818181818,75.2,38.3,34.2,74.9,81.0
69.6,32.6,38.46666666666666,,,92.5,50.17272727272727,77.8,27.9,23.7,78.9,80.6
63.7,32.64642857142857,39.13333333333333,,,94.9,50.513636363636365,79.4,26.1,24.0,79.2,84.8
60.8,32.69285714285714,39.8,,,103.0,50.85454545454545,83.7,29.9,22.7,79.5,83.1
60.1,32.739285714285714,37.1,,,103.4,51.19545454545455,81.1,26.8,24.6,81.0,85.2
60.0,32.785714285714285,39.55,,,104.5,51.53636363636363,80.4,23.7,26.5,82.5,86.1
68.7,32.832142857142856,42.0,,,112.1,51.877272727272725,75.3,20.6,37.7,75.9,86.8
63.0,32.878571428571426,43.5,,,110.3,52.21818181818182,86.8,17.5,25.2,79.7,87.1
66.5,32.925,45.0,,,105.6,52.559090909090905,87.5,23.7,30.1,65.3,88.1
75.7,32.971428571428575,46.5,,,116.8,52.9,83.5,29.9,29.1,85.8,90.8
72.4,33.017857142857146,48.0,,,111.4,50.1,83.0,30.0,23.4,89.7,92.7
68.6,33.06428571428572,49.5,,,107.8,47.3,87.7,28.4,24.4,83.2,93.5
69.7,33.11071428571429,35.5,,,99.4,44.5,84.2,26.8,21.2,87.0,90.8
65.7,33.15714285714286,37.8,,,112.1,41.7,81.9,25.200000000000003,23.2,92.2,96.6
64.0,33.20357142857143,49.9,,,110.6,38.9,83.4,23.6,27.0,94.0,91.2
62.1,33.25,50.7,,,87.0,36.1,82.8,24.225,26.366666666666667,92.4,91.8
64.3,33.29642857142857,43.8,,,87.0,33.3,81.8,24.85,25.73333333333333,95.2,93.4
64.3,33.34285714285714,59.8,,,99.8,36.48,78.3,25.475,25.1,94.2,93.2
67.8,33.38928571428571,52.5,,,110.3,39.66,79.7,26.1,26.9,93.6,95.7
74.2,33.43571428571428,36.9,,,116.8,42.84,84.3,26.0,29.25,95.4,99.8
69.2,33.482142857142854,45.05,,,118.3,46.02,81.1,25.1,31.6,96.1,99.0
69.8,33.528571428571425,53.2,,,129.8,49.2,78.5,32.6,33.95,94.6,102.0
68.6,33.575,56.5,,,115.6,49.06666666666667,82.5,19.4,36.3,97.2,98.0
71.7,33.621428571428574,58.5,,,114.4,48.93333333333334,86.4,18.1,26.2,99.4,103.7
71.8,33.667857142857144,43.0,,,117.6,48.8,82.3,18.5,45.3,97.2,105.0
73.5,33.714285714285715,44.2,,,118.5,48.66666666666667,77.8,25.8,26.9,96.4,105.4
69.5,33.760714285714286,53.0,,,117.2,48.53333333333334,81.2,29.1,29.0,91.5,106.4
71.7,33.80714285714286,56.53333333333333,,,121.6,48.400000000000006,80.3,29.6,29.9,92.5,105.8
71.0,33.85357142857143,60.06666666666667,,,120.3,48.266666666666666,77.3,23.2,32.0,93.5,104.0
73.0,33.9,63.6,,,118.0,48.13333333333333,82.1,22.3,27.5,92.9,107.8
74.6,30.7,63.5,,,123.7,48.0,79.1,30.2,33.2,94.0,109.1
77.2,27.5,40.2,,,126.7,47.86666666666667,76.4,29.1,40.2,90.5,111.5
79.2,31.35,46.650000000000006,,,127.4,47.73333333333333,81.6,30.1,32.7,85.1,110.8
75.2,35.2,53.1,,,123.7,47.6,79.3,31.7,35.5,88.1,111.0
73.7,35.181250000000006,56.225,,,128.2,47.46666666666667,77.2,31.3,33.7,87.9,114.0
75.2,35.1625,59.35,,,113.2,47.333333333333336,81.7,31.0,36.1,91.9,111.9
