Duration_Central_moment_5th_order,Duration_Central_moment_5th_order.1,Duration_Central_moment_5th_order.2,Duration_Central_moment_5th_order.3,Duration_Central_moment_5th_order.4,Duration_Central_moment_5th_order.5,Duration_Central_moment_5th_order.6,Duration_Central_moment_5th_order.7,Duration_Central_moment_5th_order.8,Duration_Central_moment_5th_order.9,Duration_Central_moment_5th_order.10,Duration_Central_moment_5th_order
371484290921.4526,-9.971891382807178e-10,-2.9802322387695312e-08,105128780036.52528,-2733342697971.142,131880507520.13072,-8.106231689453125e-06,-1148569822502.7085,94474678786.6902,377454276209740.9,20956052056.525272,-3086935811434.9937
190235533779.02432,-9.793821893828478e-10,-1.4901161193847656e-08,-31069658735.923546,-1850143444180.6104,-18728541203.722504,-67505428861.92789,-2068617192351.9688,48107999617.934265,3630024099511.677,1025982458.9206592,-3591668734763.1714
179134597505.78513,-9.61575240484977e-10,0.0,78577644179.44563,-1291527484855.0205,591460819.5642155,1465160937592.4912,-3509116572568.18,16779330164.816511,2556109527.769196,23511102490.194813,-5218414180365.192
242958189876.06195,-9.437682915871081e-10,-811322.2464897108,17914143069.48033,-1134638568865.767,-235184247.43575573,-170167778962.5732,-316959683018.61554,645244182870.8846,485952198.3260944,-141172205361.01022,-403425884679.1608
57875595403.085495,-9.259613426892379e-10,-676101.872074759,1025687608816.0562,-1404018777681.9175,18631081.05647729,-84906498809.91039,-6806342762.380643,-28567466475.80804,-1584205131.1170073,-648897719962.7133,717077517985.4475
116836695435.83112,-9.08154393791368e-10,-540881.4976598071,-221471695767.5201,-1095003989503.65,-107466014.6359914,354781342.7524529,-41741148181.97326,1591120689.8349228,-792102565.5585036,83600061186.259,-1773615913754.4368
43738704813.10778,-8.90347444893498e-10,-405661.1232448553,-21069549381.48916,-933948555327.6498,6327102875123.619,8860545021.28728,-15492327431.83063,-10166741992.577835,-7.078051567077638e-08,9030285511542.111,-1728276931707.5327
63650772070.02019,-8.72540495995628e-10,-270440.74882990355,-77108522781.26512,-1134781015334.838,-1986739992054.1003,17366308699.822105,-30453675461.632645,-36484063521.07033,0.0,-1867010287.3940656,-2234718071242.1094
48257421315.13797,-8.54733547097758e-10,-135220.37441495177,-4489438579.832965,-803223774537.4779,0.0,25872072378.35693,-108197260964.42365,-4840275960.806928,8460606549.623332,-728489634843.3003,3795318204977.181
2201718613.399331,-8.36926598199888e-10,0.0,-817238942053.5691,-637795403020.933,-149971439.92029938,19404054283.767696,-30745502468.126766,-890943589.2601613,4230303274.811666,-321720194951.28265,6162683704100.132
4070468771.112942,-8.19119649302018e-10,-769124.9011500012,-102193277723.27422,-764689410756.7433,2755375841297.22,12936036189.178465,-44136307339.7728,3964879452.7458425,-4.056754931980322e-13,-1365213594157.3523,5499406112624.404
49396484803.86054,-8.013127004041482e-10,-1538249.8023000024,-132067273471.34592,-727269714684.6174,-478523475469.7098,6468018094.589233,-28153216647.460342,-1128880979.8860948,67949257470.29268,76007943666.91093,3576050283697.0684
11423973607.14936,-7.83505751506278e-10,-2307374.703450004,-175598834341.33646,-1527185644357.422,988252414604.296,0.0,-6731431721.993855,-2291338714.398124,135898514940.58536,51549827170.76263,1380288536316.4397
23236293342.883965,-7.656988026084083e-10,-3076499.604600005,102621333268.1063,-1492195721228.145,4845868864609.451,1.0728836059570313e-07,-66430518816.53901,305200018031.5945,0.00054931640625,-1.30385160446167e-08,2814819123926.583
37764697618.56739,-7.47891853710538e-10,-3845624.505750006,126105936188.2441,-1195652949384.04,-112136435385.49324,2.1457672119140626e-07,-68138827066.45166,1069445978.8186564,-928817803.9246567,9.778887033462524e-08,2988115608006.619
1767315834.910339,-7.300849048126684e-10,-4614749.406900007,254915984330.6625,-1503433589230.4463,-93058289055.10884,3.218650817871094e-07,-57887247515.459724,406349098.9307291,-1857635607.849863,2.086162567138672e-07,15021445048395.97
743273321.3736942,-7.12277955914798e-10,-5383874.3080500085,902512092229.505,-1346666413536.0508,-25179462392.826984,4.291534423828125e-07,-127530999002.76416,193304737772.59256,-2786453411.775069,-646762360.0099154,7631687155379.838
2595716308.1696625,-6.944710070169285e-10,-6152999.20920001,1025632796399.9312,-691711783984.8739,-42780031660.2309,5.364418029785156e-07,-39466474048.00488,-117251600537.524,-3715271215.7002754,-431174906.6732769,108978799121.90756
8810348130.179678,-6.76664058119058e-10,-6922124.110350011,1763719198530.0044,-755676407947.6072,-295610680300.11755,21986.190300742124,-43391986648.84198,102081881575.36932,-4644089019.625482,-215587453.33663845,-188912668201.7385
-602830626.626585,-6.58857109221188e-10,-7691249.011500012,375553255329.8547,-1023354868125.9764,23843779389.654545,43972.38060094781,-167008899045.9838,-155735025782.04532,-18467583055.39424,1.9557774066925052e-08,323909714823.9714
-3792932975.2119255,-6.410501603233183e-10,-6409374.17625001,-640062416023.3804,-2118050652994.858,-774226447373.917,65958.5709011535,-237730220329.9667,-135710510669.97444,-32291077091.162994,-20737468704.28553,922434139236.8486
89977747203.82988,-6.23243211425448e-10,-5127499.341000007,203746544022618.9,-1739857613491.445,-670948367147.9087,87944.76120135917,-513891834306.29565,-6768605651.079772,-46114571126.93176,-41474937408.57106,135980812505.21117
130740805433.66046,-6.054362625275786e-10,-3845624.505750006,,-1531886840902.6794,-522016359016.8184,109930.95150156484,-464411951806.00256,16647313775.470428,-59938065162.70051,-62212406112.85659,-149599543705.144
312659864475.78986,-5.87629313629708e-10,-2563749.670500004,,-3236143822896.0825,-2569828676115.9424,131917.14180177054,-610904780795.4592,-31796334234.46252,-73761559198.46927,-82949874817.14212,961201363815.7231
-35297806241.936,-5.698223647318387e-10,-1281874.8352500014,,-1900295448535.0847,-1029239076216.7064,65958.5707294567,-865160214549.5801,-106649568471.5838,-87585053234.23804,-6992911657.51799,1271992876331.77
64426345762.848114,-5.52015415833968e-10,-9.094947017729282e-13,,-936681752477.797,-1556815547191.2322,-0.0003428571428568,-927384433693.7988,11513949896.933523,-101408547270.0068,68964051502.10614,1211133250559.319
76920996802.00363,-5.342084669360988e-10,-6.063298011819522e-13,,-1323574371211.2922,-402364773362.2049,29281857368.123043,-608618385857.0863,124311560250.45882,-115232041305.77554,182386295.8846504,-308274063928.9375
202665500228.00284,-5.16401518038228e-10,-3.031649005909761e-13,,-926364501192.7184,503345021442.2992,58563714736.24643,-858644046677.5863,-289294426910.9023,-129055535341.5443,91193147.94232535,31898461158.394184
69141208052.12721,-4.985945691403589e-10,0.0,,-848705896136.749,302097532945.89667,87845572104.36983,-1190968634559.2246,95641166825.26768,-142879029377.31305,3.352761268615723e-07,1453568134739.92
251597691634.89987,-4.807876202424884e-10,9.1552734375e-05,,-520354086790.2907,365638390693.5397,-86747133780.47324,-818797951626.2848,14275059263.132711,-156702523413.08182,499431740179.1744,-196249408186.6605
5412130245.741879,-4.6298067134461887e-10,4732924090.728521,,-871101391245.5426,141985590071.3174,3681.825067544328,-406929020656.4166,216005938103.5753,-170526017448.8506,16303396492.47224,1284615121602.579
118398909964.36604,-4.4517372244674886e-10,9465848181.456951,,-584951416271.0109,499481449021.6099,828576862.4244335,-306998965784.1305,-97098708629.76431,-184349511484.6193,-334902715484.35175,-94034579058.79892
95538136126.25365,-4.2736677354887896e-10,14198772272.18538,,-524153044504.65234,335643972951.1016,795433787.9274561,-472014537957.0272,813906480346.291,-198173005520.3881,57574838247.79143,820623121280.0947
154909825695.82678,-4.09559824651009e-10,18931696362.91381,,-514879939974.37805,51299247870.10721,762290713.4304788,-742010982841.501,369530099011.7088,-211996499556.15683,11205151454.448875,187763837777.49567
76498903351.21074,-3.9175287575313896e-10,23664620453.64224,,-664920144754.5531,50793829218.38205,729147638.9335015,-337443133546.5005,348803262863.8522,-225819993591.9256,19812982514.841988,599476143223.6044
13476308922.35262,-3.73945926855269e-10,28397544544.37067,,-1103175305200.2417,44405015207.648895,696004564.4365242,182320400769.7311,-25118426554.60909,5.7220458984375e-06,4274475389359.363,-715171044870.7332
1547999974.6875668,-3.56138977957399e-10,-192576872097.04385,,-1275423462518.7727,2055451997234.1936,662861489.9395468,440263325644.1459,-28187536444.38496,450670009278.7232,7064464923094.484,-1194173577170.8127
-206429811.73701057,-3.3833202905952905e-10,250002976758.3282,,-700206255096.8679,-157101920874.74536,629718415.4425695,294956800404.6316,40763156999.99196,901340018557.4464,47504820564.15159,-622778235087.8646
-126059.17074483295,-3.2052508016165915e-10,664511764640.5804,,-492767716914.7646,-387699462475.5504,596575340.945592,931380093755.0028,-172339305767.55164,1352010027836.1697,476287595479.6104,-875458408385.3123
-41133462.67436721,-3.027181312637892e-10,-4398066289.58564,,792429656683.3328,-82360590828.1684,563432266.4486147,363027602692.6413,-50188365147.40646,1802680037114.8928,202895832524.6519,-639452327798.8344
23009053764.832363,-2.8491118236591924e-10,176366024347654.56,,165064694937.40506,-230121219787.36057,530289191.9516374,507788263527.8848,127043893015.94092,2253350046393.616,229998112520.3421,1658536081017.3904
4667459316.358865,-2.671042334680493e-10,163716154733.7705,,425759601117.2619,9266684881913.229,497146117.45466006,334473213755.2394,900820658962.6262,2704020055672.34,180779203824.26828,-519749489742.0784
12399104294.048897,-2.492972845701793e-10,86782721.91452527,,615222675158.4022,442248446358.6534,464003042.9576827,-864216437610.6,749741656361.3422,3154690064951.0625,301227808657.427,-42707702401.55981
10012375417.497822,-2.3149033567230936e-10,-20878044573.66125,,775877282964.6583,-349869720599.75726,430859968.4607054,-1324958862196.1023,5631096211.397518,3605360074229.7856,6.5192580223083504e-09,19015015159.31565
10865091888.458733,-2.1368338677443943e-10,-41842871869.23703,,301208342404.9118,-85543411429.29538,397716893.9637281,-993723949829.27,9937841841.547297,4056030083508.509,83186212979.96709,-146647795818.52072
-22656676.44948341,-1.9587643787656948e-10,-62807699164.812805,,399487986837.07965,-268508889652.5376,364573819.4667507,-909037855089.1917,2233595036.0057893,2034476369953.0183,260140786995.97928,-354171179581.4947
10808356069.093674,-1.7806948897869947e-10,0.0,,687835372705.0703,195686735672.0562,331430744.9697733,-1826657354265.7373,2357336346.90655,12922656397.528105,264475673824.3329,498554586593.3385
40828789163.99288,-1.6026254008082955e-10,3434647223.075511,,815899258089.9985,-604045346525.9182,298287670.472796,-1776378549067.3914,576096113707.2908,1699865497360669.8,834950451536.3477,-376531553464.239
10962594785.025473,-1.4245559118295962e-10,6869294446.151022,,1470953609289.7742,-40532774472.45265,265144595.97581863,-2108289443784.1467,1702927537692.0964,3399718072064942.0,937588313095.2858,-46916661342.83823
-1078046283.4430838,-1.2464864228508967e-10,62756671.450786255,,978961500364.2772,-1725917519504.5215,232001521.4788413,-1800428058155.5544,-36731976824.67328,5099570646769215.0,649249125243.4553,644923201232.038
3810018318.770745,-1.0684169338721972e-10,-335260297.95953006,,3327365759463.754,-741390096799.7955,198858446.981864,-1586486753171.1816,-1209171030021.6345,21983442348.637974,360909937391.625,580938968128.9635
4897992005.038495,-8.903474448934975e-11,-223506865.3063534,,1908235077274.405,-899868402767.5742,165715372.48488665,-1535607040642.8176,-1681067367403.7856,1145659134.798476,-164632106108.90765,1338062139673.328
