Counts_Peak,Counts_Peak.1,Counts_Peak.2,Counts_Peak.3,Counts_Peak.4,Counts_Peak.5,Counts_Peak.6,Counts_Peak.7,Counts_Peak.8,Counts_Peak.9,Counts_Peak.10,Counts_Peak
44.0,35.666666666666664,124.0,,,,72.25,202.0,93.0,108.0,,187.0
44.0,36.0,130.0,,,,74.0,203.0,146.0,110.0,,175.0
47.0,29.0,125.0,,,,75.75,186.0,91.0,97.0,,206.0
73.0,67.0,138.0,,,,77.5,189.0,131.0,108.0,,214.0
77.0,69.0,2190.0,,,,79.25,170.0,88.0,108.0,,190.0
75.0,71.0,,,,,81.0,194.0,95.0,110.0,,214.0
72.0,34.0,,,,,82.75,211.0,148.0,115.0,,181.0
86.0,240.0,,,,,84.5,196.0,152.0,100.0,,195.0
56.0,73.0,,,,,86.25,199.0,144.0,66.0,,181.0
60.0,111.0,,,,,88.0,194.0,92.0,100.0,,203.0
86.0,177.0,,,,,83.0,193.0,161.0,124.0,,196.0
110.0,28.0,,,,,78.0,195.0,156.0,137.0,,190.0
116.0,117.0,,,,,73.0,190.0,148.0,91.0,,166.0
82.0,41.0,,,,,68.0,193.0,161.0,79.0,,162.0
101.0,212.0,,,,,63.0,194.0,81.0,80.0,,181.0
77.0,117.0,,,,,58.0,193.0,91.0,105.0,,175.0
107.0,159.0,,,,,53.0,192.0,156.0,83.0,,172.0
49.0,44.0,,,,,48.0,197.0,152.0,92.0,,152.0
78.0,154.0,,,,,80.0,195.0,153.0,105.0,,122.0
94.0,65.0,,,,,54.0,193.0,149.0,133.0,,208.0
76.0,123.0,,,,,42.0,194.0,82.0,108.0,,198.0
51.0,127.0,,,,,48.5,194.0,83.0,111.0,,204.0
97.0,170.0,,,,,55.0,161.0,147.0,111.0,,189.0
90.0,107.0,,,,,50.0,185.0,89.0,114.0,,219.0
77.0,122.0,,,,,45.0,165.0,91.0,113.0,,187.0
