Amplitude_Median,Amplitude_Median.1,Amplitude_Median.2,Amplitude_Median.3,Amplitude_Median.4,Amplitude_Median.5,Amplitude_Median.6,Amplitude_Median.7,Amplitude_Median.8,Amplitude_Median.9,Amplitude_Median.10,Amplitude_Median
82.6,72.8421052631579,75.44444444444444,79.4,93.3,80.5,86.05,83.5,76.8,82.07272727272728,63.75,85.4
82.3,72.78421052631579,76.07222222222222,80.1,92.8,81.2,84.59166666666667,81.1,69.5,83.86818181818182,74.2,84.4
82.7,72.72631578947369,76.7,78.75,92.1,82.0,83.13333333333333,79.75,69.8,85.66363636363636,70.3,87.8
83.0,72.66842105263159,76.55555555555556,78.7,91.6,81.6,81.675,78.5,68.1,87.4590909090909,68.1,87.7
82.9,72.61052631578949,76.41111111111111,78.3,91.8,81.7,80.21666666666667,77.94999999999999,62.5,89.25454545454545,68.7,87.1
82.5,72.55263157894737,76.26666666666667,78.1,91.9,85.3,78.75833333333333,71.9,66.1,91.05,68.8,86.9
82.0,72.49473684210527,76.12222222222222,78.3,91.3,84.8,77.3,96.2,68.44999999999999,95.35,67.7,86.4
81.9,72.43684210526317,75.97777777777779,77.6,91.4,85.0,85.5,95.3,66.5,90.925,67.9,86.2
81.8,72.37894736842105,75.83333333333334,77.6,91.6,88.75,77.1,97.1,78.55,86.5,79.8,85.4
79.6,72.32105263157895,75.6888888888889,78.7,92.1,85.30000000000001,77.4,96.7,64.8,86.775,68.0,85.1
80.2,72.26315789473685,75.54444444444445,73.8,92.3,80.0,77.7,95.5,69.82499999999999,87.05,71.6,84.9
78.6,72.20526315789475,75.4,73.8,91.9,80.8,77.525,95.2,74.85,87.32499999999999,67.55,84.2
78.1,72.14736842105263,76.44999999999999,73.3,91.8,79.2,77.35,94.95,62.6,87.6,68.4,85.2
76.8,72.08947368421053,72.32499999999999,74.5,91.7,89.8,91.5,94.6,68.7,86.9,68.7,86.1
76.6,72.03157894736843,68.2,74.7,90.9,79.5,88.0125,94.65,75.1,86.2,69.85,86.7
76.3,71.97368421052632,68.8,73.8,91.1,81.3,84.525,96.1,75.75,82.9,69.5,87.2
75.5,71.91578947368421,74.65,73.5,91.1,82.4,81.0375,96.5,74.3,83.30000000000001,69.5,88.0
75.1,71.85789473684211,69.4,80.4,91.2,92.7,77.55,96.8,76.35,83.7,70.7,88.7
74.3,71.80000000000001,69.15,76.9,91.3,91.4,82.82499999999999,95.0,72.1,84.1,69.7,88.9
73.9,71.7421052631579,72.16666666666667,74.55,89.7,78.8,88.1,94.65,73.4,84.5,76.8,89.1
75.8,71.6842105263158,75.18333333333334,78.0,89.1,77.8,78.8,95.6,74.6,85.5,77.75,89.1
75.6,71.6263157894737,78.2,80.0,88.5,78.69999999999999,87.6,95.1,76.4,84.6,76.85,89.6
72.7,71.56842105263158,63.6,74.75,88.7,78.2,88.3,84.1,77.3,86.9,82.45,89.4
76.5,71.51052631578948,66.225,73.3,89.5,78.9,79.9,80.85,77.8,89.2,95.3,89.4
76.9,71.45263157894738,68.85,75.55000000000001,89.8,88.6,71.5,82.0,76.5,85.75,75.5,89.1
76.9,71.39473684210526,71.475,75.5,89.8,88.3,78.33333333333333,82.3,77.1,82.30000000000001,67.85,89.1
77.0,71.33684210526316,74.1,75.1,89.2,88.0,85.16666666666667,82.5,75.0,82.0,71.2,89.4
77.0,71.27894736842106,76.725,76.15,89.0,82.2,92.0,82.1,74.2,75.1,94.3,89.1
77.3,71.22105263157896,79.35,77.1,88.1,77.7,91.45,82.6,74.3,76.8,95.0,88.8
76.8,71.16315789473684,77.905,77.3,88.4,75.7,90.9,82.6,74.8,78.5,93.7,88.7
76.6,71.10526315789474,76.46,77.1,88.8,87.19999999999999,90.35,82.8,76.2,79.15,62.400000000000006,88.7
76.2,71.04736842105264,75.015,75.1,88.7,75.0,89.8,81.3,75.3,79.8,70.3,88.7
75.7,70.98947368421052,73.57,72.4,89.1,76.3,85.27,81.5,73.4,78.65,73.45,89.0
75.0,70.93157894736842,72.125,70.2,89.3,81.75,80.74,81.2,72.7,78.15,72.25,89.3
74.5,70.87368421052632,70.68,68.6,89.2,82.0,76.21000000000001,81.1,73.7,77.65,71.05,89.3
74.1,70.81578947368422,69.235,68.4,89.0,81.6,71.68,80.7,74.7,77.15,67.85,89.3
