Energy_Median,Energy_Median.1,Energy_Median.2,Energy_Median.3,Energy_Median.4,Energy_Median.5,Energy_Median.6,Energy_Median.7,Energy_Median.8,Energy_Median.9,Energy_Median.10,Energy_Median
11700.0,34871.97368421053,315900.0,,1280000.0,67050.0,556000.0,738000.0,115000.0,2326640.625,60850.0,364000.0
5120.0,34390.78947368421,363916.6666666667,,1150000.0,77550.0,707500.0,680000.0,108000.0,2533312.5,96500.0,1260000.0
13550.0,33909.60526315789,411933.3333333333,,1140000.0,75750.0,944000.0,661000.0,38900.0,2739984.375,411000.0,865500.0
18400.0,33428.42105263158,459950.0,,1160000.0,72600.0,939680.0,635000.0,15100.0,2946656.25,73700.0,1165000.0
19300.0,32947.23684210527,507966.6666666666,,1150000.0,53500.0,935360.0,537000.0,6110.0,3153328.125,165500.0,943000.0
27300.0,32466.052631578947,555983.3333333333,,1190000.0,68000.0,931040.0,127000.0,66500.0,3360000.0,85500.0,920500.0
29400.0,31984.86842105264,604000.0,,1230000.0,68600.0,926720.0,39400.0,332500.0,87530.0,96800.0,996000.0
29900.0,31503.68421052632,520500.0,,1240000.0,153000.0,922400.0,23700.0,363000.0,120582.22222222222,112000.0,1320000.0
28600.0,31022.5,273000.0,,1350000.0,162000.0,918080.0,15150.0,105500.0,153634.44444444444,59700.0,519000.0
25000.0,30541.315789473683,37500.0,,1400000.0,169000.0,913760.0,10900.0,74600.0,186686.66666666663,54500.0,377000.0
34100.0,30060.13157894737,41900.0,,1560000.0,164000.0,909440.0,20100.0,119000.0,219738.88888888888,66250.0,353000.0
34300.0,29578.947368421053,49100.0,,1540000.0,191000.0,905120.0,7595.0,8120.0,252791.1111111111,115000.0,1030000.0
31500.0,29097.763157894737,110000.0,,1480000.0,201000.0,900800.0,7400.0,6415.0,285843.3333333333,66600.0,425000.0
33300.0,28616.57894736842,4750.0,,1460000.0,192000.0,896480.0,140500.0,8940.0,318895.5555555555,63800.0,441000.0
33600.0,28135.394736842107,106500.0,,1440000.0,170000.0,892160.0,357000.0,6500.0,351947.7777777777,63950.0,442000.0
35900.0,27654.21052631579,208250.0,,1440000.0,169000.0,887840.0,459000.0,8750.0,385000.0,71800.0,474000.0
37600.0,27173.02631578948,310000.0,,1550000.0,168000.0,883520.0,518000.0,9340.0,604000.0,16800.0,512000.0
41750.0,26691.84210526316,381795.0,,1580000.0,213500.0,879200.0,581000.0,10020.0,823000.0,20300.0,535000.0
57600.0,26210.657894736843,193740.0,,1620000.0,237000.0,874880.0,579000.0,9310.0,760000.0,48100.0,583000.0
47300.0,25729.473684210527,5685.0,,1550000.0,83700.0,870560.0,574000.0,9800.0,697000.0,22350.0,618000.0
54900.0,25248.289473684214,4120.0,,1610000.0,258000.0,866240.0,574000.0,272000.0,634000.0,20275.0,637000.0
63700.0,24767.105263157893,7080.0,,695000.0,273000.0,861920.0,563000.0,307000.0,47400.0,18200.0,636000.0
36600.0,24285.92105263158,23786.666666666668,,1100000.0,305000.0,857600.0,576000.0,291000.0,33900.0,65200.0,639000.0
34900.0,23804.736842105267,40493.333333333336,,1420000.0,326000.0,853280.0,441000.0,274000.0,20495.0,379450.0,668000.0
31500.0,23323.552631578947,57200.0,,697500.0,369000.0,848960.0,370000.0,11900.0,506050.0,29400.0,698000.0
28900.0,22842.36842105264,62766.66666666666,,253000.0,434000.0,844640.0,385000.0,9055.0,20835.0,622000.0,766000.0
28450.0,22361.18421052632,68333.33333333333,,50400.0,262000.0,840320.0,463000.0,296000.0,16000.0,268900.0,761000.0
28750.0,21880.0,73900.0,,,450500.0,836000.0,742500.0,488000.0,8210.0,378845.0,709000.0
19750.0,102940.0,79466.66666666667,,,333500.0,2801700.0,1070000.0,225500.0,55900.0,12400.0,743000.0
8820.0,184000.0,85033.33333333334,,,409000.0,4767400.0,1610000.0,105150.0,63150.0,28100.0,837000.0
19900.0,387000.0,90600.0,,,444000.0,6733100.0,1800000.0,66310.0,50400.0,27900.0,856000.0
18000.0,208200.0,3425000.0,,,401000.0,8698800.0,2190000.0,27470.0,31800.0,24050.0,840000.0
32200.0,29400.0,2582260.0,,,381000.0,10664500.0,2340000.0,218000.0,36000.0,4690.0,864000.0
55500.0,27452.14285714286,1739520.0,,,279000.0,10218613.636363637,2525000.0,301000.0,49100.0,24650.0,822500.0
45450.0,25504.28571428572,896780.0,,,218000.0,9772727.272727272,2505000.0,320000.0,62200.0,3790.0,830000.0
38500.0,23556.42857142857,54040.0,,,289000.0,9326840.90909091,2770000.0,330000.0,24965.0,26400.0,328500.0
48500.0,21608.571428571428,18000.0,,,253000.0,8880954.545454545,3150000.0,12300.0,42400.0,617000.0,261000.0
4750000.0,19660.714285714286,1610.0,,,236000.0,8435068.181818182,2920000.0,13250.0,38450.0,34400.0,296000.0
98700.0,17712.857142857145,23100.0,,,226000.0,7989181.818181818,3140000.0,63700.0,45350.0,28500.0,305000.0
214000.0,15765.0,19950.0,,,222000.0,7543295.454545455,2770000.0,42000.0,42300.0,22350.0,302500.0
427925.0,13817.142857142857,16800.0,,,228000.0,7097409.090909091,1840000.0,336000.0,54050.0,5005.0,239500.0
138100.0,11869.285714285714,399366.6666666667,,,254000.0,6651522.727272727,2190000.0,349000.0,50700.0,547900.0,1090000.0
23700.0,9921.428571428572,781933.3333333334,,,297000.0,6205636.363636363,2200000.0,417000.0,45400.0,594000.0,641000.0
22950.0,7973.5714285714275,1164500.0,,,255000.0,5759750.0,2690000.0,341000.0,45150.0,38160.0,1050000.0
22200.0,6025.714285714286,10870.0,,,266000.0,5313863.636363637,3060000.0,247000.0,44900.0,95100.0,215000.0
313000.0,4077.857142857141,5500.0,,,268500.0,4867977.2727272725,3260000.0,380000.0,56050.0,103000.0,319000.0
17700.0,2130.0,5746.666666666667,,,284000.0,4422090.909090909,3170000.0,33000.0,40500.0,66950.0,338500.0
19200.0,2307.8571428571427,5993.333333333333,,,279000.0,3976204.545454545,3320000.0,35900.0,53400.0,36840.0,1220000.0
17400.0,2485.714285714286,6240.0,,,284000.0,3530318.1818181816,3340000.0,47200.0,62400.0,6730.0,1050000.0
19500.0,2663.5714285714284,17270.0,,,298000.0,3084431.8181818184,3270000.0,47400.0,52675.0,178365.0,288000.0
18650.0,2841.428571428572,292135.0,,,282000.0,2638545.454545454,3020000.0,47600.0,42950.0,350000.0,396500.0
26100.0,3019.285714285714,567000.0,,,254000.0,2192659.09090909,2830000.0,47800.0,77500.0,73600.0,355000.0
24000.0,3197.142857142857,458830.0,,,234000.0,1746772.7272727266,2560000.0,48000.0,52900.0,28000.0,396000.0
26100.0,3375.0,350660.0,,,229000.0,1300886.3636363633,2500000.0,54950.0,71000.0,79500.0,455000.0
33000.0,3552.857142857143,242490.0,,,213500.0,855000.0,2340000.0,61900.0,92000.0,32200.0,558000.0
31500.0,3730.714285714286,134320.0,,,230000.0,758435.7142857143,2240000.0,63700.0,10300.0,28100.0,556000.0
37500.0,3908.571428571429,26150.0,,,224000.0,661871.4285714286,1640000.0,60850.0,11850.0,38600.0,584000.0
35000.0,4086.428571428572,15500.0,,,222000.0,565307.1428571428,2275000.0,58000.0,40650.0,59400.0,560000.0
37300.0,4264.285714285714,3485.0,,,211000.0,468742.8571428572,2580000.0,55150.0,10800.0,142000.0,534000.0
26950.0,4442.142857142857,1300.0,,,219000.0,372178.5714285715,2745000.0,52300.0,51885.0,256500.0,548000.0
31600.0,4620.0,4585.0,,,231000.0,275614.2857142857,2820000.0,55512.5,50056.66666666666,312000.0,416000.0
29500.0,4797.857142857143,3470.0,,,210000.0,179050.0,2775000.0,58725.0,48228.333333333336,299000.0,378000.0
33100.0,4975.714285714286,13000.0,,,206000.0,144472.0,2470000.0,61937.5,46400.0,356000.0,414000.0
36200.0,5153.571428571428,13100.0,,,207000.0,109894.0,2440000.0,65150.0,72450.0,394000.0,406000.0
38500.0,5331.428571428572,7430.0,,,166000.0,75316.0,1225000.0,89500.0,3285587.5,351000.0,397000.0
36100.0,5509.285714285714,18980.0,,,206500.0,40738.0,1100000.0,24350.0,6498725.0,360000.0,383000.0
39150.0,5687.142857142857,30530.0,,,223000.0,6160.0,824000.0,24400.0,9711862.5,346000.0,372000.0
40500.0,5865.0,6530.0,,,214000.0,6072.222222222223,592500.0,33100.0,12925000.0,370000.0,350000.0
37050.0,6042.857142857143,4700.0,,,204000.0,5984.444444444444,417000.0,24500.0,97450.0,394000.0,345000.0
31800.0,6220.714285714286,1519295.0,,,183000.0,5896.666666666667,468500.0,25650.0,50600.0,347000.0,276000.0
35100.0,6398.571428571428,4130.0,,,270000.0,5808.888888888889,504000.0,25500.0,59250.0,374000.0,268000.0
32550.0,6576.428571428572,5375.0,,,307000.0,5721.111111111111,1040000.0,26100.0,13200.0,359000.0,275000.0
31800.0,6754.285714285715,6378.333333333333,,,274000.0,5633.333333333333,824000.0,21100.0,69700.0,355000.0,267000.0
34800.0,6932.142857142857,7381.666666666667,,,281000.0,5545.555555555556,820000.0,21900.0,52000.0,337500.0,260000.0
29400.0,7110.0,8385.0,,,343000.0,5457.777777777777,765000.0,25900.0,68450.0,358000.0,253000.0
27900.0,5305.0,13300.0,,,286000.0,5370.0,1210000.0,41550.0,45600.0,363000.0,257000.0
26300.0,3500.0,2520.0,,,250000.0,5282.222222222223,811500.0,27500.0,81750.0,378000.0,264000.0
25950.0,5485.0,3225.0,,,260500.0,5194.444444444444,895000.0,30500.0,39200.0,397000.0,260000.0
24800.0,7470.0,3930.0,,,283500.0,5106.666666666667,869500.0,31200.0,60600.0,355000.0,275000.0
24300.0,7386.25,4965.0,,,184000.0,5018.888888888889,928000.0,32800.0,11700.0,320000.0,302000.0
23700.0,7302.5,6000.0,,,182000.0,4931.111111111111,992500.0,34500.0,118300.0,287000.0,311000.0
27850.0,7218.75,7035.0,,,173000.0,4843.333333333334,1590000.0,37600.0,15650.0,277000.0,336000.0
27100.0,7135.0,8070.0,,,190000.0,4755.555555555556,1010000.0,35800.0,56775.0,283000.0,370000.0
53900.0,7051.25,7815.0,,,198000.0,4667.777777777777,984500.0,37900.0,97900.0,281000.0,416500.0
85850.0,6967.5,16100.0,,,,4580.0,971000.0,41800.0,28000.0,277000.0,476500.0
72400.0,6883.75,603150.0,,,,4492.222222222223,1010000.0,47000.0,102500.0,249000.0,486000.0
135000.0,6800.0,327675.0,,,,4404.444444444444,1060000.0,50500.0,104000.0,253000.0,508000.0
218000.0,6716.25,52200.0,,,,4316.666666666667,1140000.0,54100.0,86700.0,247000.0,536000.0
261500.0,6632.5,32650.0,,,,4228.888888888889,1130000.0,53100.0,106000.0,247000.0,485000.0
160000.0,6548.75,47700.0,,,,4141.111111111111,1190000.0,52000.0,116000.0,255000.0,470000.0
266000.0,6465.0,39962.5,,,,4053.3333333333335,1200000.0,54100.0,110000.0,255000.0,463000.0
319000.0,6381.25,32225.0,,,,3965.555555555556,1240000.0,55700.0,130000.0,230500.0,413000.0
354000.0,6297.5,24487.5,,,,3877.777777777778,1280000.0,56300.0,107000.0,241000.0,398000.0
96400.0,6213.75,16750.0,,,,3790.0,1310000.0,59900.0,115000.0,262000.0,415000.0
51600.0,6130.0,20125.0,,,,23176.666666666668,1300000.0,59200.0,102500.0,280000.0,413000.0
34900.0,11000.0,23500.0,,,,42563.333333333336,1320000.0,61300.0,99500.0,401000.0,375000.0
29800.0,11397.272727272728,26875.0,,,,61950.0,1360000.0,62600.0,54000.0,432000.0,357500.0
18350.0,11794.545454545454,30250.0,,,,512500.0,1450000.0,66600.0,59550.0,344000.0,384000.0
18150.0,12191.818181818182,33625.0,,,,8585.0,1490000.0,59400.0,56800.0,420000.0,388000.0
17400.0,12589.090909090908,37000.0,,,,10800.0,1530000.0,49200.0,52800.0,461000.0,602000.0
50800.0,12986.363636363636,5175.0,,,,14750.0,1610000.0,49800.0,55800.0,359000.0,623500.0
19500.0,13383.636363636364,7991.5,,,,289500.0,1600000.0,49100.0,53800.0,448000.0,587000.0
17800.0,13780.909090909092,10808.0,,,,310000.0,1675000.0,50550.0,54500.0,438000.0,647000.0
55550.0,14178.181818181818,13624.5,,,,148000.0,1730000.0,54400.0,58500.0,521500.0,629000.0
42400.0,14575.454545454544,16441.0,,,,410000.0,1680000.0,46200.0,58300.0,628000.0,646000.0
31250.0,14972.727272727272,19257.5,,,,242000.0,1710000.0,42900.0,58900.0,635000.0,552500.0
33200.0,15370.0,22074.0,,,,394000.0,1740000.0,39100.0,58800.0,704000.0,629000.0
35400.0,60810.0,24890.5,,,,883500.0,1810000.0,38000.0,63100.0,778500.0,479000.0
37200.0,106250.0,27707.0,,,,1530.0,1890000.0,46900.0,63900.0,845000.0,472000.0
36300.0,500000.0,30523.5,,,,2340.0,1900000.0,33300.0,59700.0,958500.0,520000.0
37100.0,538000.0,33340.0,,,,476000.0,1860000.0,28900.0,65400.0,983000.0,507000.0
40100.0,18300.0,1828120.0,,,,564500.0,1860000.0,32900.0,65800.0,1030000.0,503000.0
39800.0,45416.66666666667,3622900.0,,,,507000.0,1780000.0,31200.0,68650.0,1090000.0,470000.0
41800.0,72533.33333333334,1839050.0,,,,428500.0,1335000.0,80950.0,72000.0,1250000.0,430000.0
