Duration_Central_moment_3rd_order,Duration_Central_moment_3rd_order.1,Duration_Central_moment_3rd_order.2,Duration_Central_moment_3rd_order.3,Duration_Central_moment_3rd_order.4,Duration_Central_moment_3rd_order.5,Duration_Central_moment_3rd_order.6,Duration_Central_moment_3rd_order.7,Duration_Central_moment_3rd_order.8,Duration_Central_moment_3rd_order.9,Duration_Central_moment_3rd_order.10,Duration_Central_moment_3rd_order
54866.46882111712,-3.033643511834701e-12,-4872.312000000007,1209569.975912369,-2105974.562681295,-2236681.5980379847,8.731149137020111e-11,-528024.8429710147,-1540741.1534940954,-80918.6980740731,-21715.68868749999,-3861977.0138584296
66598.6340985489,-2.9558577807620168e-12,-5481.351000000008,4367551.724357114,-2521239.240708611,-1230697.7624282276,15.676171875075775,-312562.4974911754,1066135.0912937175,-101148.37259259254,-10857.844343749985,-3734487.8936664006
-59201.79012289088,-2.878072049689332e-12,-6090.390000000009,-438757.68535929313,-3015185.819879421,1556007.2529092724,31.35234375006424,-1233052.5981411142,-1210565.2693399433,-294530.9920601853,2.182787284255028e-11,-1843154.2026374228
-235757.12892252847,-2.800286318616648e-12,-5075.325000000008,-3053679.64582377,-6987942.31917581,-4079475.7047094353,47.02851562505271,-2307980.08701646,-1039448.5226400666,-487913.6115277781,-193986.18112500024,-1068451.6029837497
1234052.580648741,-2.7225005875439626e-12,-4060.260000000007,56713460.55305859,-5140340.737594738,-3947481.717755213,62.70468750004117,-3447050.179648118,-77284.5945548381,-681296.2309953708,-387972.3622500006,-1745432.2277020682
1596932.9147087408,-2.6447148564712786e-12,-3045.1950000000047,,-5615762.44072791,-2009733.218866142,78.38085937502963,-3040945.3785941605,295120.3211201763,-874678.8504629636,-581958.5433750008,-1676590.261895453
2124950.048042824,-2.5669291253985934e-12,-2030.1300000000035,,-9047342.315278552,-9651090.460110355,94.0570312500181,-3890203.058880698,165508.34673995152,-1068061.4699305564,-775944.7245000012,125405.91293953634
-535023.4992303229,-2.489143394325909e-12,-1015.0650000000014,,-4945756.491377764,-3658490.576978337,47.02680133929477,-5183035.156430731,-183156.9492955169,-1261444.0893981492,159247.7446842601,-645994.7158640292
1369366.7685962664,-2.411357663253224e-12,-2.131628207280301e-14,,-3324264.72586597,-7536683.044112502,-0.0034285714285693,-4481184.668804394,-222464.8119306512,-1454826.708865742,1094440.2138685214,-1832262.0739338663
1507610.093424002,-2.33357193218054e-12,-1.4210854715202004e-14,,-3869312.9110347447,-2628529.8126768502,560217.9406278667,-2879127.483456002,-146641.13626245002,-1648209.3283333348,20716.442740741088,-1904466.4560670229
2566342.668060845,-2.2557862011078552e-12,-7.105427357601002e-15,,-2596811.293502483,2801894.180626936,1120435.8846843047,-4596281.208768362,-2092503.644474206,-1841591.947800928,10358.22137037061,-992860.1341550816
1121318.0818117985,-2.17800047003517e-12,0.0,,-2511968.668896862,3563690.8306959863,1680653.8287407428,-6208053.437575089,815189.8807756698,-2034974.5672685204,1.3096723705530167e-10,-610247.9505811215
2892597.726984108,-2.100214738962485e-12,2.0954757928848267e-09,,-1593082.990054453,3930186.012882316,-929318.5845804064,-4279306.830779917,524923.1717545317,-2228357.186736113,3440203.658999996,-1587538.6036248675
209675.3140082963,-2.022429007889801e-12,154189.48165432285,,-2888013.79719437,1882707.656415298,9.65023413788438,-2192986.823064076,91927.18106546384,-2421739.8062037057,635372.8874074077,-131526.8916171534
1924715.5275054465,-1.944643276817116e-12,308378.9633086436,,-1904196.971912282,3917967.630283704,72126.37918992594,-1626525.8551051177,-566698.5873236128,-2615122.4256712985,-4056307.731259264,-1397224.9263770287
1225818.265564627,-1.8668575457444318e-12,462568.4449629644,,-2214097.1099744285,3080268.511908321,69241.3240223289,-2522596.5164319444,4159958.995279971,-2808505.045138892,956032.2510000014,-1661081.3594878826
1189119.550200114,-1.789071814671747e-12,616757.9266172851,,-2242827.755777932,1563817.7461878364,66356.26885473187,-5146947.13344439,2280720.2773370715,-3001887.664606484,400168.7775359984,-2062336.52791678
825079.2060520698,-1.7112860835990625e-12,770947.4082716058,,-3666038.533187106,789998.3970233405,63471.21368713483,-2996675.531293476,2851367.7717375737,-3195270.284074077,642190.9972499994,-3342363.285481684
104070.47424793386,-1.6335003525263773e-12,925136.8899259266,,-3794741.095358874,639972.8049011374,60586.158519537785,221256.24355097968,-286648.3172211503,2.3283064365386963e-10,14956096.014056856,-7792327.6669808915
43441.05691592931,-1.5557146214536928e-12,-2066277.530156247,,-3946384.805462518,877046.5428155208,57701.10335194075,1784359.9820056828,-247689.42393512768,1958895.0858436225,18941283.01234116,-5150996.320369892
-20802.971769052107,-1.4779288903810084e-12,1836453.632438784,,-2648511.370433162,-2278195.964839953,54816.04818434372,1876286.964161297,472261.3282728684,3917790.171687245,1178461.493999999,-3774359.497942899
-1273.4067607036272,-1.400143159308324e-12,4021912.2827272494,,-1768647.3368663115,-2573455.0286901547,51930.99301674668,4024604.2715652087,-1722264.1550355337,5876685.257530866,3773304.81282422,-3803693.796420382
-11558.19308568502,-1.322357428235639e-12,-180633.20578636805,,1372129.1927068732,-1200549.4295185246,49045.93784914964,1563824.0186405615,-81438.30879661656,7835580.343374489,1786996.4077499982,-3343283.687664731
257260.3498571347,-1.2445716971629545e-12,154868487.03603506,,156222.88466611883,-2350894.5904046926,46160.8826815526,3202507.6652888088,2090312.6979259243,9794475.429218112,1816008.674046653,301750.63917831186
22376.21266104041,-1.1667859660902698e-12,611066.3813280076,,-196154.52383168484,2048350.548928036,43275.82751395556,2851269.1420748606,3186385.206625856,11753370.515061732,1793690.4385714256,-2088675.3569965768
175963.125068774,-1.0890002350175854e-12,16080.397406250013,,-204240.5642576688,-984577.4761959288,40390.77234635853,-5576741.905561375,3667084.1242412985,13712265.600905357,1678481.4814635585,-1371908.4430729155
142770.64567448385,-1.0112145039449001e-12,-478950.0939760805,,228748.4380198969,-2538647.1361940512,37505.71717876149,-7008307.296526842,207053.581383676,15671160.686748978,1.2732925824820995e-11,-740044.0959694324
124335.58244657693,-9.334287728722157e-13,-973980.585358411,,-717271.7031958685,-1271722.5667600238,34620.66201116445,-4932860.465467622,306494.0823103175,17630055.7725926,1263278.7505439967,-1145947.949548776
-1218.5027367945809,-8.55643041799532e-13,-1469011.0767407415,,-287119.57084665954,-1811500.581883181,31735.606843567417,-4522086.067975998,57701.418422417824,9113471.9175463,2062446.8039533645,-1376930.1246695505
146434.807005938,-7.77857310726846e-13,0.0,,-355155.0841968646,-928040.1434229196,28850.55167597037,-10515501.46520464,56114.48946159356,596888.0624999993,3025690.460927999,348840.76229159447
474403.1583957539,-7.00071579654162e-13,158655.57224999994,,-1749210.2652512698,-3853542.370595807,25965.49650837334,-8926392.349693894,2652700.886457899,310364948.6053135,5503428.680851316,-1332196.7491444328
113935.03575980249,-6.222858485814771e-13,317311.1444999999,,90378.161822215,41043.93588377364,23080.441340776302,-10802600.973335352,9466863.708026323,620133009.148127,5349342.4317407375,-1471900.30423177
-128443.72377369268,-5.445001175087927e-13,12453.323597667648,,-560884.5312977979,-8061673.790407533,20195.386173179264,-8239542.366416598,-1157144.4494239504,929901069.6909404,4440495.6855,-898383.9654042862
