Energy_Root_standard_squared,Energy_Root_standard_squared.1,Energy_Root_standard_squared.2,Energy_Root_standard_squared.3,Energy_Root_standard_squared.4,Energy_Root_standard_squared.5,Energy_Root_standard_squared.6,Energy_Root_standard_squared.7,Energy_Root_standard_squared.8,Energy_Root_standard_squared.9,Energy_Root_standard_squared.10,Energy_Root_standard_squared
9115559.284849174,92187.60052137676,495553.9627527965,11573397.14633521,433561785.00008565,11062891.032078596,8361885.087769709,8447594.765547173,348715.72605777334,128770198.56453308,146352.36588453225,64515007.68238557
11006595.598867072,91492.80066688205,466073.6375730906,87450106.99320115,371587400.9611378,9141040.857451629,6442703.28025811,7047518.686871287,139801.4037840822,144860090.17213032,110634.67087671928,67795532.6690911
9088002.583626391,90798.00081238734,436593.3123933848,15741827.037862156,355006142.12237096,10196051.740795748,4523521.472746511,872391.5921190438,5543.013620766234,160949981.77972755,79175.48105316443,54914213.02023184
8720985.194322944,90103.20095789264,407112.9872136789,14528170.816749128,349575928.48749346,18488791.22585111,2604339.665234912,1020290.1009026796,15123.438762397922,177039873.3873248,122675.78774966153,57867643.73432704
9352080.24797157,89408.40110339793,377632.662033973,21605658.63376364,313308445.5890717,11367646.52187514,685157.8577233133,16998007.647956863,60392.4366125428,29477275.04366711,216218.6761128649,62010251.978180185
9206497.182452183,88713.60124890323,348152.3368542672,8736698.9656139,330996107.1088899,11402754.397186017,5650125.396838551,9539669.80560648,215537.3976830935,15644262.306167554,274077.2133906794,55956573.52680648
10951194.088637091,88018.80139440854,318672.0116745613,12728719.71499966,313280588.0189513,28746633.328179494,191713.3276535568,29582092.16739073,219784.3488513229,1811249.5686679955,2132006.4292820506,58829865.33260721
5036045.353935964,87324.00153991384,289191.68649485544,20106583.251644224,370400420.4082696,37662016.62404046,6625992.513578626,33053100.70526667,2550590.017329324,1735690.8212812692,2991284.694040338,60564012.61332756
11228068.4066183,86629.20168541913,259711.3613151496,8533416.195084123,369521981.0585367,29125086.2703718,1548637.4656452038,36508081.87360711,1815297.3494929213,1660132.0738945426,2489501.5513150417,61773851.31564892
6965476.986438187,85934.40183092443,230231.0361354437,1432842.1814701017,287194738.8464798,14104645.054205475,1539326.9465203374,37187959.072796665,1080004.6816565194,1584573.326507816,210814.21785306607,59898987.86000562
7943283.576619936,85239.60197642972,201685.0019213129,702901.4811479629,251717907.25305936,127123902.28597848,1530016.427395471,35451854.676448174,10004.923787815676,1509014.5791210898,2749231.4956547404,54604718.08636048
