Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
374565.9545298187,1709222.1484903805,420277.777368587,5755775.849328546,3435397.008408368,12402012.764628168,510762.3339443046,310640.6717975502,228015.2365303688,741551.4103939832,87323.61706903695,2803841.320074966
250449.3458121353,1523137.9535229416,317211.2090835142,13656975.063827995,3946035.516768082,3715509.341098671,532544.2820691391,131524.74415853844,10113127.231090331,1476378.9974708352,116973.17964484768,2874935.658502214
313417.665220584,1337053.7585555026,214144.64079844137,13838440.12100189,4245246.331322962,4687680.429674074,554326.2301939735,138508.48687925088,50627.84378843984,2211206.584547687,136091.32962830513,2295521.568774946
402291.41801008,1150969.5635880637,111078.07251336856,678744.3441158683,3948277.188855793,8776888.160194384,576108.178318808,4581392.776913731,8982230.30247592,2946034.171624539,19493.19292706568,1990620.541194097
395957.7637311108,964885.3686206248,8011.504228295707,2263345.4893432334,3562374.0863530226,12447646.66662155,597890.1264436424,171999.6711695167,431436.48040849855,3680861.758701391,207797.65344312863,2371611.060529712
290646.7010716165,778801.1736531858,19878.55785155319,4180395.4291452,5234747.746290924,8517477.325227581,619672.0745684769,1391372.126024041,92537.98177027064,4415689.345778242,17327.68906279429,2162327.5153147043
387295.4702462624,592716.9786857469,31745.61147481067,432715.8763903972,6545740.5520275,7253590.27725995,553134.8884778786,205592.3223197437,75924.02254114389,5150516.932855094,27764.826269540707,2096552.8012655328
414966.25713789416,406632.783718308,43612.66509806815,1151414.6817261984,5995772.597112669,4385621.740354221,486597.7023872805,3520824.8027336,57363.69594525792,5885344.519931946,97993.1352734174,2080793.7637120425
425182.3307222586,220548.58875086912,55479.71872132563,179682.4969468182,5981731.069844875,3139013.1989774946,420060.5162966823,875593.2909972918,112524.8945447526,6620172.107008798,42831.45284649094,1921061.03077318
490685.01200074906,206558.75073133773,67346.77234458312,501848.662623822,5988809.47904598,408254.9383929388,353523.3302060841,9359086.0348773,138078.0223197279,7354999.694085649,11302717.149182351,1658081.7869676223
589844.0313773924,192568.9127118064,79213.82596784059,1011528.6340916584,5586741.730025087,290464.6950141885,1105646.5356334622,4353710.701272757,251398.48357727643,2568994.355774259,7017663.2292478,1872843.618398716
554990.8446791116,178579.07469227497,91080.87959109808,17745064.96837268,5595227.322893084,350665.50249897287,1857769.7410608404,21080920.02268114,158409.78735413414,1789329.48335403,20998.169583149305,1930458.0762268857
542424.0256512304,164589.23667274357,102947.93321435557,873236.4964580566,6467434.213526241,106326.45832529174,2609892.9464882184,844224.4293103846,142897.79492894758,30177810.722449698,21520.652081865646,2087703.537977944
473980.9132489343,150599.3986532122,114814.98683761305,439272.4745536647,6093154.1772040175,2209958.655925679,3362016.151915597,8226916.470937774,292538.5704118438,15106959.813930484,31344.33120832312,1821745.384183136
644145.387409858,136609.5606336808,126682.04046087051,1352575.7353414055,6909587.1462006895,249090.3870872505,4114139.357342975,969861.5752743758,265808.4213065869,36108.90541126939,21893.493829247127,1772230.6359250972
625324.225280651,122619.72261414945,138549.094084128,658494.4556382005,7327571.35383154,397476.6739619012,4866262.562770353,344614.7719797668,124755.03544795395,8080093.249797736,23558.286417491647,1752957.988758599
552012.6382598265,108629.88459461804,150416.14770738548,463084.8752229818,7165104.500095302,2311345.003191856,5618385.768197731,2217048.311020759,51785.51472867954,16124077.594184203,31407.409502132065,1728294.68908824
498717.0684875608,94640.04657508669,162283.20133064297,1706320.2810545615,6848402.746685791,536587.587662531,6370508.9736251095,3127517.007345876,350893.7201394937,24168061.93857067,255874.8916214709,1626083.9928384342
482213.6761214997,80650.20855555529,174150.25495390044,1401526.958401,8437573.773192352,336618.3565682302,7122632.179052488,4037985.703670992,86536.42778236997,32212046.282957137,107095.08563265948,1612362.8107298624
418336.37202755886,66660.37053602388,186017.3085771579,618802.4695567964,9772060.798128355,332316.0919833542,7874755.384479866,2816151.700602776,64947.98277596208,40256030.6273436,99105.14977419036,1574720.142633683
394084.8301397568,66169.07284734325,197884.3622004154,460681.2162893666,12438602.891319465,205051.3792247316,8626878.589907244,3340264.307439358,302445.5999168957,48300014.97173007,12150.505705067952,1408800.8618361151
368560.0699717847,65677.77515866263,209751.4158236729,3418598.7530982345,10580862.551668933,286843.0284604179,7246161.979732979,1616903.343341997,61389.48444155562,56343999.31611653,305027.8959842385,1358604.1782135842
335775.94187482627,65186.47746998199,221618.4694469304,364527.7461117568,8558992.96903456,302102.44889008725,5865445.369558714,836436.5201169149,201331.11831011123,64387983.660503,40590.843037088285,1431195.3005498855
452750.8450689628,64695.17978130136,207437.68694327355,2559911.298324428,7344140.855371476,333561.31830999686,4484728.7593844505,1537894.6592477837,49427.2603175616,72431968.00488947,26832.849051774097,1596626.061686752
355369.0224832108,64203.88209262073,193256.9044396167,471430.5283287561,7441315.840250466,306172.5544423663,3104012.1492101857,436195.7960595219,3919.502519453202,80475952.34927595,12678.223607672877,1390790.471086604
311265.30916147487,63712.584403940105,179076.12193595985,424010.77105408726,7311448.188867985,602397.3699210526,1723295.539035921,589064.7644076725,10693.88610375106,88519936.6936624,17012.07088420545,1378974.1373266117
332102.1070982418,63221.28671525947,164895.33943230298,593329.2352876287,6642125.762250081,624822.3613327632,342578.92886165663,9813804.291235212,30196.2183062714,14738637.521833556,22665.8759585204,1469783.9309211555
