CWT,EMD,FFT,Hilbert,SPWVD,STFT,Time
,"[9.277328148405795e-05, 0.6435938098182995, 0.4741467554332084]","[np.float64(0.006048239915823803), np.float64(0.6057118561710402), np.float64(0.7724051027701103), 'RMS_Kurtosis']","[0.00041032470305436353, 0.6635989633948816, 0.30435466106905834]",,,"[0.0003056828231162781, 0.5989277615808226, 0.36899763392291646]"
,"[3.4714132708217604e-06, 0.6482008127926496, 0.36453519872350304]","[np.float64(0.000931175456401534), np.float64(0.6586534440616073), np.float64(0.9692337766994716), 'RMS_Mean']","[0.0001243252832232658, 0.6506933769178668, 0.2651232392237435]",,,"[2.290358289793056e-05, 0.6402725505786728, 0.3456144735490011]"
,"[0.0002151946646799345, 0.5515762582089113, 0.578856167009508]","[np.float64(3.46318829244352e-05), np.float64(0.5448564360809258), np.float64(0.8576603182058565), 'RMS_P10']","[7.605387824648202e-06, 0.5761267190859028, 0.5770415701741618]",,,"[4.6825677572158875e-05, 0.6147772182466061, 0.5560841737024207]"
,"[1.9071044024362993e-05, 0.6141796978531671, 0.22118234018800292]","[np.float64(3.293086930106215e-05), np.float64(0.6347480637276556), np.float64(0.31780082800403575), 'RMS_P11']","[0.00013014477934567437, 0.6695648908914213, 0.2547974289047784]",,,"[0.0005307698578587115, 0.6827748328768735, 0.09219283983826675]"
,"[9.506466839353037e-05, 0.6358283270017961, 0.18211089702349398]","[np.float64(1.6285184946590592e-05), np.float64(0.6168231881497188), np.float64(0.7300509592989909), 'RMS_P12']","[0.00012113735003312781, 0.6543678770209382, 0.2679305590673038]",,,"[0.0005320110417073951, 0.6834961863533294, 0.22727243630351424]"
,"[9.973942989889573e-05, 0.6215681597314252, 0.11371979620634279]","[np.float64(0.0001675850605592083), np.float64(0.649444002709309), np.float64(0.9574329584745388), 'RMS_P13']","[0.00013057208862654775, 0.6120300674382306, 0.34216083414311904]",,,"[0.0001430917498554153, 0.6343499131254235, 0.3570316425378361]"
,"[0.00018836870457905608, 0.5448336130989194, 0.4542581146922969]","[np.float64(0.0009402098661171476), np.float64(0.5979506434608478), np.float64(0.7718657349933831), 'RMS_P14']","[0.0002460837792992582, 0.5879421032482258, 0.5526589721539807]",,,"[0.0003483084549562518, 0.6178590570427303, 0.5213488785311389]"
,"[0.00023637529494654336, 0.629199428689225, 0.4778804842756693]","[np.float64(7.385556410016703e-05), np.float64(0.5956112141826427), np.float64(0.7534567807658659), 'RMS_P5']","[0.00011486118350338692, 0.6042332950496215, 0.5560197141633723]",,,"[0.00010249826677641467, 0.6206368348205084, 0.5449139490366168]"
,"[1.2890313993985103e-06, 0.5286644874399976, 0.4719135582202865]","[np.float64(0.00031663331801098926), np.float64(0.5916108607945338), np.float64(0.7601689387328903), 'RMS_P6']","[6.147491423110635e-05, 0.5643507965956946, 0.5816580801982572]",,,"[9.123731872291707e-05, 0.6037082192184233, 0.5596337489337097]"
,"[0.0002670124559028819, 0.6155427452366228, 0.5128914142447597]","[np.float64(0.0026526561670140447), np.float64(0.5973579821539005), np.float64(0.7615316767443207), 'RMS_P7']","[7.388569759216035e-06, 0.5943073593073596, 0.5771799145585318]",,,"[2.9441297983275917e-05, 0.6148630621079598, 0.5661645683562418]"
,"[1.4175134684463186e-05, 0.6147923844862621, 0.7479616332405064]","[np.float64(0.0024146104133338786), np.float64(0.601929204582266), np.float64(0.7682727728425459), 'RMS_P8']","[0.0019245451757823606, 0.5879912830933237, 0.7865160882239101]",,,"[7.2802013895700846e-06, 0.5681862355331744, 0.774539758766177]"
,"[0.0006900767466370417, 0.5986247312777925, 0.8062177101185314]","[np.float64(0.00011665383382160159), np.float64(0.6603806284418529), np.float64(0.35431732398248555), 'RMS_P9']","[0.003430697485159978, 0.5904969520275646, 0.798957328119071]",,,"[3.250091757438234e-05, 0.584035250463822, 0.7985351839641076]"
,"[0.00024409809589541476, 0.5919155107930617, 0.7353834674608306]","[np.float64(0.00165807535174467), np.float64(0.6050223812468714), np.float64(0.7905286117147623), 'RMS_Skewness']","[4.852859248389088e-06, 0.5974789439585358, 0.7281567662857877]",,,"[0.0008160052235533719, 0.614037091026887, 0.714871640508891]"
,"[0.00030605204934477936, 0.6084745413316842, 0.44387902009489855]","[np.float64(0.00011218583196775239), np.float64(0.628074918279), np.float64(0.9467877863177614), 'RMS_Variance']","[0.001171390931664379, 0.5890308331124656, 0.7900764873427939]",,,"[0.0011012944871467006, 0.575775097917955, 0.7838134590055171]"
,"[0.00024409809589548415, 0.5909431781370555, 0.7252676515094759]",,"[4.852859248423783e-06, 0.5921298995788792, 0.729428259739207]",,,"[0.0008160052235534135, 0.6145490620490622, 0.7106818107550417]"
,"[0.00011295722458851132, 0.6187332508761084, 0.7524488089353889]",,"[0.0012759326712602909, 0.5978842359454603, 0.7568207509106254]",,,"[0.00038045636849656783, 0.6124628206260859, 0.7654980466122442]"
,"[2.2792054202615264e-06, 0.7035655387696204, 0.7756823611720833]",,"[7.676638104554649e-05, 0.6731557558088175, 0.5033962518031848]",,,"[0.00013054777422987635, 0.6628964572842122, 0.5641621928081264]"
,"[2.3849489805150698e-05, 0.7029945224843183, 0.8687657293307137]",,"[7.112793452597509e-05, 0.677167741555497, 0.6023908786666912]",,,"[0.00028238919764137903, 0.6807272432782635, 0.505713592302412]"
,"[0.0004237396792496212, 0.6091536354801659, 0.7531899508521742]",,"[0.0003334606396340478, 0.5942976411343759, 0.7398015753313976]",,,"[0.0006954033799691783, 0.6278565538769622, 0.7545220990305443]"
,"[9.488711248065987e-05, 0.6996585387401715, 0.569696844681183]",,"[2.3594218244604725e-05, 0.6724872633035899, 0.5394157009757861]",,,"[7.688621750426728e-05, 0.6663440527726241, 0.533215411186464]"
,"[1.136355244872253e-06, 0.6539658980475305, 0.4382229566749148]",,"[3.0783865930344295e-05, 0.6553962364166446, 0.41264470678475557]",,,"[0.0003342465642134154, 0.6705595311717758, 0.5594023923247012]"
,"[0.0015755497591769807, 0.6196287952410399, 0.7457346406327285]",,"[0.0008196775399826051, 0.6298103483817766, 0.7481227862430813]",,,"[0.0032011660675343723, 0.6608043996819508, 0.7471331505974305]"
,"[0.00013187099650495415, 0.6280004122861264, 0.3595980138951698]",,"[8.246333588944957e-05, 0.6497412904555762, 0.40386554263740276]",,,"[1.1847200264120117e-05, 0.6430146950555111, 0.36900542855915336]"
,"[5.387136390713754e-05, 0.5585122360632566, 0.5816650006030748]",,"[0.000915209298882641, 0.5658325234855849, 0.7441002753948491]",,,"[0.000321040293631461, 0.5865497541007743, 0.7242866495237242]"
,"[0.00013730037475884194, 0.6578331419147746, 0.5722874447321873]",,"[0.0001948070010287864, 0.6568184763082722, 0.5037878240739545]",,,"[0.00030929010370470134, 0.6495684247725065, 0.6151710091405368]"
,"[4.414176497853292e-05, 0.6056506022322349, 0.18361075422972284]",,"[0.00021551215331054412, 0.6047156698177109, 0.19194869880185722]",,,"[1.5360435553231355e-05, 0.5980269163942633, 0.15738478411487128]"
,"[0.00032992834234512464, 0.7076602762317048, 0.2623458388803209]",,"[0.0001773579652230503, 0.702816208734576, 0.2338319228625959]",,,"[3.130073492910168e-05, 0.6864418234826398, 0.19244508476223385]"
,"[4.5287416196046135e-05, 0.609178446270283, 0.10783274888992282]",,"[0.00013662372703786285, 0.6049699620107785, 0.09040565192346879]",,,"[0.00040420289698022555, 0.6096090644049827, 0.08283421680804194]"
,"[0.00013706444870755473, 0.6989246694348736, 0.10841500209497959]",,"[9.813947208456471e-05, 0.69187442942545, 0.10486749431722482]",,,"[0.001105156117000002, 0.687074240951792, 0.06799735130808707]"
,"[0.0001398974736471232, 0.6577219719056453, 0.630255499450089]",,"[0.00025229588773836853, 0.6069442235768765, 0.708667648955996]",,,"[0.0005743837603606663, 0.7040552757899695, 0.6186858398898168]"
,"[0.0004996285030062497, 0.652193067703272, 0.6663651275800343]",,"[0.00010738202818570686, 0.6095005448066672, 0.7200223283506229]",,,"[4.1596929453783984e-05, 0.6818623553317432, 0.6588106918418134]"
,"[0.0005793640148277577, 0.6709886768560238, 0.4999375402744745]",,"[0.0002846561082763821, 0.6629362134464177, 0.480282732962822]",,,"[6.92660305122092e-06, 0.6801401772830344, 0.4505533372393356]"
,"[0.00020112062619277032, 0.6172300262096179, 0.2551468417179642]",,"[9.506635677135333e-05, 0.6055654209735842, 0.7123651255583829]",,,"[0.00013184940151048444, 0.6904262744058665, 0.632716191795538]"
,"[0.0005793640148276933, 0.6694828754012428, 0.4980974981152723]",,"[0.0002846561082763717, 0.66655358247195, 0.47850752303931654]",,,"[6.926603051416076e-06, 0.6831105515799393, 0.45819449368903326]"
,"[0.0001719572115480364, 0.675910416114498, 0.7016936006146416]",,"[0.00013953356693727215, 0.6697658803781253, 0.6925570822188829]",,,"[0.0029606876010219996, 0.6601359071767235, 0.7471109133713226]"
,"[2.970530838764321e-05, 0.69750198780811, 0.7223191430953415]",,"[0.0005712476367091684, 0.6617015637423799, 0.4952533946178322]",,,"[2.709397740219277e-05, 0.6104878964572844, 0.5902810021426818]"
,"[4.776825537974687e-05, 0.6708033689666345, 0.5853700651473921]",,"[0.00044073286153904073, 0.6583305356774746, 0.5450465354194708]",,,"[0.00019100933979465662, 0.6084122566775627, 0.5473372458291976]"
,"[0.00015244103301405298, 0.6730520952969931, 0.7051085491633188]",,"[0.0009017314022902179, 0.7670431722472537, 0.5654701211593676]",,,"[4.10505530095695e-05, 0.6377266837470917, 0.7219897712350624]"
,"[0.00011046464085272094, 0.7101479812704301, 0.5286864720548733]",,"[0.003613650357752851, 0.6582018435079661, 0.5078703146174485]",,,"[0.0001751499215391361, 0.6076464351974559, 0.5850031327233629]"
,"[2.3671309982341293e-05, 0.7172216332420416, 0.6198848446180543]",,"[0.00778551914844311, 0.6683351002738759, 0.46723396790245697]",,,"[0.000429652001477987, 0.6102769679300293, 0.5997454137845948]"
,"[0.0006277137022546314, 0.6305119710221749, 0.7079834584670671]",,"[0.00033756851900337836, 0.7133960597225902, 0.7279657565827973]",,,"[1.3478080619938604e-05, 0.6040119857466797, 0.7410289171623227]"
,"[0.00019862701392940607, 0.6259133610154018, 0.24055303171647827]",,"[8.931510316909086e-05, 0.6332479312071146, 0.5260563318018766]",,,"[0.00016059503068502345, 0.6724544276585094, 0.28702679624001476]"
,"[7.046457232323666e-05, 0.6451551226551229, 0.5978140368220146]",,"[0.00018698243346904064, 0.6196996201077836, 0.25576388309197423]",,,"[0.000130381083776214, 0.61352195423624, 0.24635876661018663]"
,"[0.00028639258543605196, 0.7070998615896575, 0.637827046303727]",,"[0.00015831669311118512, 0.7009486998262507, 0.5811803103174806]",,,"[0.00018071722585759342, 0.6922423947934151, 0.5798969674374329]"
