Amplitude_Skewness,Amplitude_Skewness.1,Amplitude_Skewness.2,Amplitude_Skewness.3,Amplitude_Skewness.4,Amplitude_Skewness.5,Amplitude_Skewness.6,Amplitude_Skewness.7,Amplitude_Skewness.8,Amplitude_Skewness.9,Amplitude_Skewness.10,Amplitude_Skewness
4.471638883084057,2.841184576599211,2.3948676295288243,2.352028015025068,3.8216491640810855,3.87023748122938,2.894503122288016,4.919792075680461,3.050797446575085,4.117550983810689,2.8947772210517737,4.586572478407899
4.529293737493013,3.061261035939564,2.406284656838384,2.397103661521307,3.96333292811609,4.350509206563967,2.917124646569117,5.125432580412236,3.2201705538881136,4.147635508145941,2.8999616594430906,4.334828479047369
4.2049197152620845,3.317323644062177,2.3725230324340534,2.419954812832368,4.0930037333356335,4.759190161506129,2.9467209544682684,4.8402055063255816,3.360681667746781,4.091958135425621,2.847433935437946,3.614764686266875
3.856746575766958,3.5844005427796004,2.3218024831166493,2.431480240043416,4.259679576455255,5.128298749662294,2.9917849935623617,4.752813440705269,3.4971684331991457,4.050102201985026,2.7456321662391865,3.1129191814082704
3.6824447401579374,3.914621246739192,2.274040927055365,2.446530241641264,4.492543460812801,5.517307841375205,3.081122429002005,4.997439399643185,3.699200951107487,4.063975163371863,2.626687999320122,3.1088018271187585
3.704526257264738,4.333432405281493,2.2383164826167867,2.4739367502358425,4.744103860848669,5.921700044542213,3.228044753525438,5.437536677379332,3.995070274899424,4.11688933899827,2.523300318789856,3.607121243073212
3.887381115797266,4.765166827904564,2.222368087367164,2.5105701634285595,4.870223532300495,6.286214873627175,3.413149687813413,5.957143137405951,4.294738156028172,4.070765073027107,2.4327589775116323,4.142704260814994
3.730135317843623,5.553804890513823,2.259732220987104,2.626653122595396,5.133639730139538,6.69443945428363,3.8068069204808848,5.866544477816097,4.889437857582173,4.289676804935455,2.479366674493127,4.1515300745849055
2.1476328596119894,6.514285208301497,2.3041847597056027,2.631401317034728,5.687575933792327,6.920633735802701,4.347583447277271,5.14990235970344,5.603579352808951,5.075780090674161,2.593553403107437,3.643631715763762
0.4649992857244225,6.539404532072635,1.9943808687354545,2.210858185820208,5.50891452855476,6.741722562125101,4.268225306860627,3.826915550316996,5.321256750402255,3.526473515264492,2.381535402142685,2.9277378470132054
-0.8316782213468711,5.888964033668022,1.2992036089502588,1.460189824670264,4.706204049844325,6.640260214599648,3.6160205941304473,1.4070699463986325,4.47599065441278,0.9635229412692856,1.8103432083213264,0.8285170680366889
-1.5758855479361027,5.260500529989102,0.5758659308011368,0.5711636545884663,4.097625121992572,6.3162666483714,2.936107618096617,-0.5826337669257443,3.5270576350876506,-0.6545756920701938,1.1609475220798346,-1.2526208204729472
-1.925522354138616,4.7732638660834334,0.0847133286334157,-0.1909446549043072,3.4707403524834097,5.688789903396823,2.1432543685759016,-1.5778114123881308,2.666416738110791,-1.467166913182819,0.7305176957040554,-2.240014566163952
-2.08974557600952,4.313073623058587,-0.2158874639271368,-0.6348941482181605,2.6734829441107872,4.798453300577836,1.4298279875113171,-1.9819640036144623,1.9593784420186653,-1.843965037652883,0.5257766654985974,-2.6279431381018576
-2.194034395851642,3.943982270111954,-0.3715463653574705,-0.8948572678949298,1.876979769206493,3.7784805632883582,0.9133319161725086,-2.1059987759344265,1.4664816563191283,-2.0195077919021385,0.5022414830890889,-2.7881109348566744
-2.2552033568051995,3.750257928655604,-0.368578693161184,-0.937565887188398,1.277189700229907,2.887608843956444,0.6214582251009875,-2.115636848250102,1.2360113973232487,-2.089064991125221,0.6461387650537751,-2.852676625417048
-2.2851997217001845,3.7861961361135807,-0.2275718418799572,-0.6399534626843608,1.0024971394387905,2.3948886255753066,0.5786393957020988,-2.050269113410532,1.367044603661743,-2.082508495795404,0.9137093219502228,-2.8636381507837827
-2.297552564442072,4.045797314841064,0.0932254236184868,0.1726131899707609,1.1290565791225575,2.485483147871963,0.8088194599870591,-1.8810996710244416,1.936314391420893,-1.99018878321614,1.3386950083599276,-2.824504078333313
-2.2924693880247475,4.516632454041796,0.6948516004276468,1.38557294471486,1.7140611486796864,3.2595081332768627,1.367766910079382,-1.4437415854759652,2.939158757672262,-1.7049593109612389,1.913002014580632,-2.6785437490413893
