Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation
232276327706.18512,5771642518930.858,4997194119321.446,50634402584664.54,155294684586.73807,3840671361322.424,5645301355584.514,913365727206.3108,2666672518117.666,7162951762609.682,3617797775221.818,27462820412.12894
226428928531.32104,5772055974168.744,4849613575067.078,51015069484041.05,151735478994.0608,3975247480667.11,5611067638535.779,957619468717.694,2636866361958.2407,6695675910179.78,3614599829997.088,26069293542.82255
220535563640.7805,5772275912966.754,4703401240953.919,51267961011487.34,148984780091.03207,4105018130062.816,5575535973668.593,1006100938871.8306,2605241982073.037,6318997562593.926,3611011531367.736,24850486196.97266
214623537040.96936,5772281809167.747,4560376681830.196,51379835129136.89,146946235802.71106,4229583137456.353,5537706495003.798,1056229042938.9164,2571816312488.2456,6019550052538.664,3607158955217.45,23789536112.1211
208719225350.82748,5772056280215.427,4422284665039.446,51343285923091.25,145368303567.40714,4348567592588.2896,5496666372408.844,1106042051704.011,2536623741660.782,5786952424227.63,3603174731824.054,22825731044.0146
202850706580.9896,5771533332883.083,4290281231138.0566,51151426904419.41,143983886059.9259,4461651623047.657,5451584633283.192,1154485865417.2395,2499715347538.8896,5614028386469.564,3599198479880.9883,21900118804.02101
197042071484.5488,5770798902753.135,4165234473167.688,50799030177036.51,142576640694.75748,4568533677414.61,5401744340095.084,1201173360210.422,2461156670306.2114,5496904203116.317,3595359963438.103,20980285089.67063
191315157701.50943,5769911165949.456,4047582912842.4814,50283114000616.0,141023578318.76523,4668904943985.446,5346554442316.559,1246406198465.042,2421026327756.616,5435011253435.037,3591781016738.544,20046531454.785988
185685682621.0086,5768932144015.512,3938059455178.251,49603043205076.47,139315827154.62976,4762500117808.866,5285511045179.803,1291055275621.6003,2379413841464.6235,5430900880642.195,3588564080644.2715,19096533251.82508
180162921534.9354,5767924816882.202,3837241417244.3496,48760496716009.85,137555432804.11456,4849051737737.923,5218253223326.483,1336201259488.712,2336418145158.2754,5489544474231.152,3585788614013.159,18162398878.17185
174750281330.92822,5766935258217.914,3744942386765.983,47759594757990.31,135933626862.22862,4928272466707.509,5144616928751.442,1382837200804.3828,2292146228209.1133,5617659721864.532,3583506085295.477,17319882933.747444
169443940812.98996,5766019831911.187,3660652947732.1,46607016308158.81,134643812215.0154,4999840862427.362,5064550793302.162,1431625731005.7578,2246709957798.783,5822500900794.55,3581719370015.87,16678623359.066557
164234764395.9423,5765215942413.466,3583305700195.867,45311247862429.695,133375119363.04398,5063581060052.454,4978099119959.513,1482166738012.4587,2200220886949.876,6110450680319.239,3580436915242.6943,16373497016.465076
159111549011.8268,5764523496056.226,3512332466892.132,43882052429128.14,131436925597.9762,5119410008761.241,4885467526928.49,1531431964746.3662,2152796261488.0645,6485803176244.3,3579684425113.0605,16364845696.967129
154072224572.55777,5764027535449.953,3447838986042.359,42333457236701.92,128561800803.09612,5167206384689.274,4787008952990.309,1578230993434.0642,2104554249786.6804,6950820149326.761,3579467330202.145,16639340686.150906
149116413711.47366,5763762930638.816,3389755556856.981,40682296509782.81,124651294055.42436,5206871481516.804,4683157050570.353,1626261376765.786,2055614001829.66,7504712562692.482,3579746000273.596,17355355745.58768
144243858292.21768,5763711360044.329,3338083325535.62,38945820876080.71,121718710063.84676,5238335559090.452,4574421460734.046,1675495987935.6553,2006089304884.8977,8143503980584.091,3580439934303.7573,18484352694.75032
139460430770.11005,5763905720736.885,3292873426719.7617,37142354878376.0,119961091257.9278,5261561184392.601,4461396196645.947,1724610635086.473,1956088595084.668,8860524819696.068,3581451031427.2275,19847243953.22957
134781247739.13536,5764352386378.844,3254179674477.2456,35291403925573.27,119121887552.66344,5276566055938.552,4344728752791.838,1772150072314.4326,1905715991802.988,9646895914734.031,3582655158863.641,21261951419.10764
130228507607.94946,5764986949025.325,3221767726625.2046,33412996427595.566,118831411161.83044,5283430202960.786,4225118012007.22,1816822614845.844,1855070273355.769,10491921756710.484,3583914189111.291,22572948198.03219
125835160907.04044,5765720022456.058,3194894321221.4663,31527415256471.945,118693104823.77794,5282290402630.595,4103316123826.106,1857643719419.459,1804244719605.056,11383492494326.797,3585074087786.006,23664578806.08015
121641265637.12115,5766505702492.016,3172261276132.087,29654859286689.28,118358864607.08331,5273366399010.084,3980090142116.488,1894016499940.462,1753327404112.5344,12308422899313.674,3585976701754.844,24460585511.767845
117689742142.60716,5767341929242.917,3153499860891.364,27815049949173.75,117581277637.41808,5256948011313.256,3856204946662.8994,1925747302065.548,1702401433809.082,13252769923049.371,3586460028846.58,24921312204.496857
114019187401.43932,5768150362011.073,3138354190494.853,26026802481425.12,116240604416.10144,5233372006476.579,3732457696808.324,1953026026405.6147,1651545671320.117,14202140087871.29,3586366838495.923,25041184169.81903
110660383599.15178,5768822115541.39,3125504020075.7417,24307560307351.22,114350839114.92188,5203024291624.77,3609693982513.757,1976332850889.354,1600835268470.379,15141978464730.652,3585542961000.1807,24846586071.95946
107618651530.38338,5769300861945.177,3113489236447.437,22672900553434.66,112022277438.96812,5166323897773.981,3488713176084.304,1996312863903.7444,1550342516614.866,16057888566986.523,3583848148364.4785,24393433404.365417
104923662053.64693,5769497713315.116,3100957972524.0312,21136022685011.188,109501857441.45651,5123698371977.37,3370292951846.156,2013634636541.0808,1500137295609.827,16935944315203.486,3581151516752.4443,23763369411.25791
102593070763.59451,5769322005637.415,3086898381086.5884,19707117549544.21,107185102639.24074,5075562404923.036,3255201176595.428,2028846938471.4604,1450287108209.9397,17762996702201.965,3577326221255.9424,23056922909.281116
100615075180.97102,5768659085225.008,3069708340306.68,18392479850288.223,104984204343.45064,5022793595660.345,3144191696836.93,2042069131971.9685,1400855997701.5537,18526839423840.64,3572295661176.209,22355013483.295628
98961929364.96468,5767435078923.806,3049661564098.7656,17195656394756.545,103035096550.69048,4966249080670.632,3038019515136.797,2051348364277.224,1351911688756.9236,19216681044809.79,3565994989338.464,21559706246.65881
97597933730.09966,5765605963019.692,3026949556464.703,16116631431920.695,100757182115.05862,4906679453131.73,2937423584892.0635,2054159015801.6448,1303521731340.0164,19823366938933.805,3558399976078.599,20691813147.546738
96478070823.6342,5763122123920.836,3001996454130.0454,15151156151551.578,98035632214.0475,4844760489995.991,2843098863148.601,2052031039466.8013,1255754417260.179,20339723171358.04,3549533482155.1865,19929221107.30936
95556603145.88783,5759936810676.063,2975530733839.262,14291361264045.766,96195301496.53522,4781101774076.466,2755693010040.6274,2046382104222.5044,1208677647185.5703,20760523534726.01,3539442294423.058,19360154314.56696
94791533609.27022,5755997981059.8125,2948292288457.3257,13526671573906.71,94846295880.65228,4716257960193.136,2675771532294.0254,2037661027920.268,1162360193466.236,21082485473117.074,3528182006470.253,19076372005.347965
94161608625.49573,5751256584340.212,2920996457704.744,12844595719805.428,94262956486.78938,4650646843500.087,2603763783123.572,2025552147844.9429,1116868671078.2988,21304337123047.992,3515818688960.492,19008385356.77667
93658524712.37506,5745665380268.436,2894196123665.0576,12231715007541.902,94256797447.37062,4584650273024.517,2540036874607.2974,2009571062285.1875,1072267318775.6804,21426835073941.145,3502411889010.0166,19038179473.22212
93289262941.42143,5739099439859.926,2868126266540.1714,11675096821517.998,94512747215.3865,4518581984013.784,2484865076461.653,1989421908909.3533,1028617347755.4362,21452641830362.76,3488129135605.4043,19025351852.913197
93078882136.85454,5731515666167.884,2841531799503.8096,11160116894349.049,94778067077.67462,4452648948489.559,2438311363144.7305,1965048799667.9023,985978834482.7476,21386204466721.816,3473173400319.0435,18881437010.115967
93069038796.59212,5722933426962.551,2814547734349.888,10679046294282.11,94901856822.94531,4386966073169.4814,2400227584470.5547,1936674444841.1104,944412228597.7228,21233550173767.17,3457736678874.824,18532442340.63124
93313502980.74664,5713354004375.173,2787218050860.689,10228223722922.85,94847856278.02464,4321556020466.244,2370234831340.006,1904778570800.879,903971598595.3872,21002047692040.816,3442015647402.5767,17968303336.93949
93872152939.17334,5702760035796.096,2759168014598.001,9804076557574.404,94683503030.02948,4256348019981.2886,2347695928717.699,1870037013846.461,864704670458.9595,20700123957178.016,3426200767421.346,17195009276.943256
94801362820.65472,5691135407410.731,2729649197721.9883,9404553170212.06,94550919111.39282,4191193676615.19,2331861948158.1016,1833270961758.444,826652536819.603,20336958029890.047,3410479121475.3164,16250022838.228395
96144288598.40588,5678481745629.083,2697858948594.0938,9028791292129.863,94566267432.7904,4125871498992.776,2321785912329.4155,1794956410857.379,789849868492.2576,19922141065318.938,3395035563110.541,15234983105.372507
97925689756.72893,5664798368523.669,2662832460161.123,8676203570531.414,94453516523.11652,4060075354446.253,2316327386981.878,1754949626238.6714,754320832175.8372,19465313722739.934,3380056344447.834,14251379958.817455
100145750662.15897,5650070801624.185,2624136094425.8125,8346830536961.57,93757501068.69923,3993546431915.3296,2314303600584.099,1711990393540.376,720086334615.5778,18975794872696.92,3365717114737.612,13261636741.086111
102788964721.59377,5634376255984.828,2582014805061.3667,8046437438652.14,92240071692.09853,3925989064837.0864,2314490470309.644,1666514557672.536,687160020526.081,18462797400645.465,3352196545781.56,12429610520.470198
