Amplitude_Mean,Amplitude_Mean.1,Amplitude_Mean.2,Amplitude_Mean.3,Amplitude_Mean.4,Amplitude_Mean.5,Amplitude_Mean.6,Amplitude_Mean.7,Amplitude_Mean.8,Amplitude_Mean.9,Amplitude_Mean.10,Amplitude_Mean
74.93257426605459,79.53438332386811,86.3702154709209,83.39134480864168,100.8487086444893,89.27068817844606,94.30671248390104,106.08699031243462,81.15322177630043,94.31657137062786,81.16516090902603,93.7927987409102
53.60092356891539,61.86818571979367,70.52676723630486,62.85489331159784,73.31535015048722,66.32232430753717,72.12732001721358,75.78245621957802,60.33729411328676,68.34417476239668,62.0600464800427,66.96677378113964
35.20547157462496,48.06598127197735,59.154905903878095,46.86689087741022,49.71216292529196,47.72596490842604,54.05099158894452,49.079207392837546,43.02800802188434,45.6603594169315,47.492805610532216,43.11969355005711
21.31842079203245,37.99816407276207,52.04786978727622,36.15824949538262,31.10917442764056,34.61038989010523,41.34258391125259,27.512831364970666,30.4458984308186,26.99097623775761,37.33050404497011,23.561377164906485
15.146773458489916,31.32215592938835,48.323199414353375,31.474686857657414,20.779311804571325,28.46412308742069,35.06814707609837,17.180013909624392,24.176034007887417,16.276271291440057,32.07050459566566,12.824684878186329
17.064410738942783,32.31228686147633,46.7691855623024,31.82683728933562,24.1903725000455,28.67260039392039,35.27540364662898,20.68494730966629,25.568948402594305,20.701882583283137,32.744267760673544,16.94879063774397
20.49358272697049,33.23156075951081,45.487289516632494,33.072183546692706,29.256928483918948,30.24975945349172,36.60327743148085,26.61236200609636,27.918923367506576,25.972153941874115,34.43717861743859,22.536769330331957
22.315456419313417,33.03054232145372,43.70189570455079,33.59348502782582,31.8525074257802,31.04341565773329,36.83642674879553,29.86319085039791,28.970403837255287,28.505342596095584,34.86162580681587,25.48197997674808
22.18212811684565,31.56616331873908,41.16878892731582,32.846006728351,31.780231161804632,30.34852307039388,35.54746416647838,30.050622277203484,28.350706374847785,28.365063516749743,33.75516025234962,25.638846504189257
20.383892552630336,29.01185194209158,37.94373696575123,30.86920491974372,29.42842974909482,28.24983514292101,32.877521097062385,27.67344818274048,26.247825547453324,26.036745721478333,31.338725392215867,23.515744787422225
17.420525938397923,25.76729400553689,34.2866599372774,28.044645826719663,25.476931986269072,25.14599798878957,29.2649624693297,23.50060059139296,23.12785832227022,22.16269193298922,28.040424222354986,19.77826093148952
13.929778451034288,22.30640686868352,30.601714739786622,24.904625259188915,20.77661530893424,21.641131038613228,25.31128610443232,18.51616506804632,19.593746125384605,17.518269907035105,24.402656771332023,15.263013083573268
10.737544422204616,19.14765812777745,27.28331192265636,22.06746161536333,16.313362314952787,18.47904352076418,21.71462610576913,13.969092218880167,16.348863837020968,13.10080309411063,21.043824352324087,11.02429329713516
8.753939755459868,16.846374618973417,24.626875250226743,20.102008017567066,13.39850480140744,16.315448187787865,19.150201737284583,11.243413839962308,14.14740831118073,10.289684482887822,18.63691765715821,8.391042474817382
8.367017074996225,15.838029836589412,22.75366910141418,19.12515276143397,12.93221415909752,15.401242819288928,17.888952097549332,10.89127041680534,13.369627046698795,9.992874046090517,17.442201986907527,8.242164728154197
