Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
25501,13.77699248,30.36449615,6.490874142,45.84951611,2.52883345,4.615663133,6.082675841,42.2910289,100.8564241,151.0688469,5.275455773,34.35406476,9844733600,16580627735,5.810911755,39.50554208,4.753327338,9.795999363,6.390296265,45.1591414,0.749163732,1.33519942,5.784103402,38.71646197
26001,13.99543284,30.43389023,6.536078549,46.92181093,2.722997563,5.247440686,6.147753593,43.31283776,113.3299193,200.1278908,5.386752148,33.87804273,9964967876,16257067963,5.646253015,38.40262167,5.095225739,10.53096888,6.190835259,43.32246342,0.720220556,1.38039373,6.269450164,44.49980375
26501,14.95698132,36.33990132,6.619331831,46.90795729,3.193542285,8.045564729,6.550093546,45.56017768,144.4596019,390.2520755,6.517125179,44.70146824,10767934239,21049677519,6.254628383,43.79983486,5.957313696,16.49947801,6.698840436,47.13116586,0.772613243,1.698512367,6.470767496,45.59188573
27001,16.08865681,40.28685924,6.442250682,44.17244337,3.779911158,9.359323474,6.008637988,38.70490753,189.0416048,524.9216679,5.650721598,33.44335927,12334870861,24616251300,5.866014358,38.41895794,7.453967717,21.55091102,6.016811739,38.00411622,0.838326421,1.875812764,6.319448741,43.30802011
27501,15.50832799,37.57918746,6.607229184,46.75629409,3.666860796,7.628638018,6.297657449,43.99591476,167.8857575,376.6037133,6.315710754,43.92735978,13076237555,21554550782,5.647086126,37.64998478,6.637003998,17.83701183,6.665763716,47.04558365,0.843706878,1.760408414,6.37427421,44.78825708
28001,15.51117761,36.72220651,6.589116203,46.64811679,4.123737102,7.251712287,5.851724788,39.48672633,179.0703553,344.3396527,6.158973501,42.57773203,16556780940,21575818597,4.336716808,24.35841405,6.376122357,17.30264651,6.770947579,48.34129414,0.908946448,1.740605082,6.147624286,42.50692653
28501,15.75929694,36.36323086,6.533294007,46.04722754,4.857802778,6.860029323,4.77889922,28.88092614,206.202947,321.8084081,5.316765391,34.1360534,21474609256,23015612092,2.635543441,8.540916243,6.230221981,18.33791405,6.817145713,48.82377152,0.999321536,1.694192194,5.744883424,38.50579641
29001,15.79548522,35.06212741,6.46420719,45.38994167,6.194936329,8.907867264,3.251109035,11.19106073,234.1898563,320.8529445,3.568758698,14.92802011,41878121169,69571492679,3.142920927,10.48652886,6.444415406,23.44108022,6.841761941,48.35763449,1.064117979,1.576179394,4.942023245,30.49808357
29501,15.73135516,33.54227638,6.502011234,46.66019485,10.97608872,20.72257437,3.273619989,11.30997253,366.9956014,679.6141469,3.699412448,15.23190545,93974798199,1.95445E+11,3.172450948,9.646429972,8.607153904,31.61629959,6.020775041,37.48609026,1.346457307,2.626089362,5.278887972,31.97814356
30001,17.04505644,40.66352437,6.615401977,47.26364577,21.78522832,68.99678672,5.245088398,29.26587108,652.6870014,2005.052091,5.546356206,33.0000392,2.09017E+11,6.71968E+11,4.783026131,23.77717593,6.488562807,18.31422541,4.657640928,21.84327219,2.106749732,6.554141933,6.190851868,40.08113727
30501,19.16842386,49.70809399,6.348376172,42.75375475,26.57348379,98.62369263,5.317329655,28.39259338,863.7692834,3107.462898,5.354602786,28.82938716,2.33073E+11,8.98308E+11,5.271027809,27.90270571,3.827877152,9.145176967,6.314076112,44.25088719,2.645660697,8.705284964,5.503903284,30.98415527
31001,17.89495546,46.21485323,6.679255436,47.30324739,17.08821687,52.16404341,6.27577181,42.13845763,600.6117287,1728.483279,6.369299714,43.43478944,1.35548E+11,4.546E+11,6.183430107,40.68464099,2.580368244,3.578369027,4.059475103,19.69597923,1.989410583,5.527898761,6.31801634,43.14187499
31501,17.70113065,46.00234356,6.721915371,47.92627302,15.3172928,45.20213746,6.807707896,48.6433961,556.2079874,1465.49791,6.722789105,47.87928676,1.20756E+11,4.27278E+11,6.730511911,47.5661317,2.285217135,3.37180455,4.894795404,29.62826046,1.860718207,5.154566882,6.793899399,48.6273166
32001,17.98349883,49.126185,6.679104511,46.94428522,15.03756632,48.63919896,6.806352507,48.03666307,530.87528,1412.25316,6.740792429,48.42138789,1.60874E+11,6.25764E+11,6.490438151,43.92810258,2.006736492,3.097347674,4.937512702,29.9036024,2.293880623,5.753951985,6.121032715,39.88812106
32501,17.81287223,46.43442386,6.386253548,43.07737734,14.55201874,51.64288718,6.604950859,44.96009444,540.9361614,1796.312958,6.876483869,49.73391692,2.32531E+11,8.51413E+11,5.536304502,31.9884856,2.481498227,5.64989025,5.80826841,38.59756683,2.446310492,3.954186531,3.542253018,13.5192592
33001,15.44950772,34.78851176,6.572497326,46.96564839,14.65723769,53.35357543,6.539317562,44.41671183,861.2752525,3190.985828,6.139700665,39.46514316,1.27804E+11,3.85994E+11,4.821978783,25.05024327,4.518402132,14.55741141,5.512390134,32.00009126,3.282221026,7.459098756,5.080431623,29.4243411
33501,14.81708888,30.95010992,6.354164845,44.60648464,15.62063042,48.82539457,5.434986122,30.37600946,1042.050001,3578.128778,5.178854712,27.45211226,45445397649,1.21091E+11,5.48556937,32.12037552,4.346080874,11.22607572,4.334092253,18.84582235,3.329782881,7.369881063,4.386501869,20.71644038
34001,13.84736234,28.31449714,6.430038274,45.93150566,9.555184016,21.82814975,5.210160799,30.26996122,506.6132664,1309.377697,5.53589205,33.98126217,21218756113,35084338594,5.642520897,38.62842561,3.196174656,6.605662887,5.609982708,37.56510179,5.353198266,18.67147688,5.358784504,28.75616195
