Frequency (Hz),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
0.0274,7.861592568741101,1.5560659303157376,3.4549075253581245,19.86758161022441,10.63576676548218,16.06309493433491,2.995791698796541,9.989533556668633,286.6932838279884,384.3607850821164,2.835868706063414,9.067918788569717,388629870654.59546,744987926850.2714,2.1856640385096724,3.8517625789862278,26.447510966322415,34.99594463068446,2.101376265252877,4.568313804931461,9.57418195221292,7.71503062526124,4.310658727823326,21.11604640936531
0.02745,8.470780283188642,1.5235807138050128,2.969478812304224,18.637924057317427,10.520635988779592,16.04891329700468,3.0766166357611464,10.423496611237095,290.04081566764796,382.1147797216628,2.887189722874694,9.408106366810147,381918609256.9892,727943267461.0627,2.1744071138555885,3.7960837405143284,26.45548315463186,34.932735944013004,2.1371419881503244,4.743255556265593,10.422363821444584,8.041060390968632,4.204254409792911,20.459614666967248
0.0275,8.74632479359772,1.4970593581772609,2.5962178925355643,17.623770493481754,10.371869786096553,16.116857559482067,3.1257839335951427,10.684583405426217,289.97190073557135,379.1003978949256,2.9343444616602734,9.69439837315408,375373852428.8508,711699451153.5249,2.162290769692347,3.7530569804302747,26.529643746022547,34.981755738521294,2.162681472468954,4.864653346911973,10.911443182809588,8.405954138604088,4.1170129392345585,19.870349443833753
0.02755,8.67796438350856,1.4649899992771633,2.4490760379926275,17.117629757886295,10.227603958093821,16.244691655797148,3.1542355905055137,10.832273497221447,285.5820455786208,375.3387502445215,2.9792954482700083,9.93412619985879,369219113965.11005,697931330441.7578,2.1530465296461765,3.7342495594046454,26.6057161297283,35.19216233312322,2.1713550632887,4.906156652872114,11.020529627216797,8.793576426793056,4.076309246946606,19.53742541896442
0.0276,8.269812633919138,1.4227475929326172,2.575324760059389,17.23579556148255,10.092488355864049,16.43777459010983,3.1614861440765543,10.861218717742343,275.9921994471662,371.4453002938997,3.0086454705709706,10.06772058293239,363705352704.895,688544994668.3846,2.1542827063456844,3.7620501193570703,26.663444155467026,35.590295098272335,2.1625102550629136,4.868861663304553,10.747140262491799,9.201479822359218,4.084623054133117,19.458497187821276
0.02765,7.54030542000562,1.374547233230054,2.954133910283919,17.993933690229873,9.998240580769133,16.68981943090039,3.150050721985498,10.779585353471646,261.5983908597843,367.6395752769532,3.0130011649685566,10.056671884885384,359117315616.0068,685430590263.6929,2.1769205585115463,3.8755540680901897,26.715318937749448,36.18657205542167,2.1411610009924193,4.781566324571912,10.107327359130098,9.637223901917947,4.128505331300946,19.522386399565555
0.0277,6.52170153732199,1.33518440482341,3.4542712123976616,19.016809291128308,9.970872721203254,17.001414548844433,3.1176072927896183,10.57311843209809,245.25454878248198,362.98717211507426,3.0010397324866505,9.953412080903604,355848827681.4484,690122519149.2311,2.232147063699206,4.132264482977808,26.81118472852191,36.969087628028205,2.1175424771529117,4.699432823016562,9.13510934134048,10.114084347610246,4.184712679729023,19.565425927334594
0.02775,5.259258576831201,1.3310113690436118,3.791625551677373,18.936101666143248,10.05667696616392,17.36038884212833,3.0650776998349074,10.248520221605522,231.703352172547,356.0846585375165,2.9820418102153403,9.826763915777018,354219087972.4043,703609723697.1744,2.3261453458473293,4.5931101852520175,27.054791006634826,37.88814765890023,2.1060904417215682,4.699039991649118,7.8816674131487465,10.646369852567618,4.2257638739769225,19.418128175049763
0.0278,3.8103542650267404,1.3971186813908483,3.6921298593965344,16.01348464949992,10.37364926562225,17.706966416110212,3.007997064433657,9.892654868692006,223.63374316770796,347.44129506844394,2.9252276058766564,9.556694357567807,354436021919.477,726171719378.1261,2.456598253460156,5.294105116679253,27.5911372923911,38.86045029622188,2.122226501418467,4.86341136359715,6.434225567158412,11.233980149738782,4.234818571436547,19.00317147918131
0.02785,2.244327156149364,1.568494990272603,3.2520737105798965,11.090925593750134,10.996961504708178,17.98962512558512,2.959494564979585,9.572313329214943,225.1678340806675,336.36512088932966,2.8241305817955515,9.14927704819095,357369086293.2411,756999061709.7915,2.6149696619312617,6.22959142354237,28.519230202511338,39.820422363240155,2.17691148778372,5.2553384327432635,5.044266140525798,11.821663446723623,4.217248313422426,18.42391484028792
