Specimen #1,,Specimen #2,
Crack density,Cumulative AE energy,Crack density,Cumulative AE energy
[mm-1],[eu],[mm-1],[eu]
0.6375,3.83E+09,0.7125,2.86E+09
0.6375,3.83E+09,0.7125,2.86E+09
0.6375,3.83E+09,0.7125,2.86E+09
0.65,3.83E+09,0.7125,2.86E+09
0.65,3.83E+09,0.7125,2.86E+09
0.65,3.86E+09,0.7125,2.86E+09
0.65,3.89E+09,0.7125,2.86E+09
0.65,3.92E+09,0.7125,2.86E+09
0.65,3.92E+09,0.7125,2.86E+09
0.65,3.92E+09,0.7125,2.87E+09
0.65,4.15E+09,0.7125,2.87E+09
0.65,4.15E+09,0.7125,2.87E+09
0.65,4.15E+09,0.7125,2.87E+09
0.65,4.15E+09,0.7125,2.87E+09
0.65,4.15E+09,0.7125,2.87E+09
0.65,4.15E+09,0.7125,2.87E+09
0.675,4.16E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.33E+09,0.7125,2.87E+09
0.675,4.34E+09,0.7125,2.87E+09
0.675,4.34E+09,0.7125,2.87E+09
0.6875,4.34E+09,0.7125,2.87E+09
0.7,4.47E+09,0.7125,2.87E+09
0.7,4.61E+09,0.7125,2.87E+09
0.7125,4.61E+09,0.7125,2.87E+09
0.7125,4.70E+09,0.7125,2.87E+09
0.7125,4.70E+09,0.7125,2.87E+09
0.7125,4.70E+09,0.7125,2.87E+09
0.7125,4.70E+09,0.7125,2.87E+09
0.7125,4.70E+09,0.7125,2.87E+09
0.7125,4.70E+09,0.725,2.88E+09
0.7125,4.70E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.725,2.88E+09
0.7125,4.71E+09,0.75,2.88E+09
0.7125,4.71E+09,0.75,2.96E+09
0.7125,4.71E+09,0.75,2.96E+09
0.7125,4.71E+09,0.75,2.96E+09
0.7125,4.71E+09,0.75,2.96E+09
0.7125,4.71E+09,0.75,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
