Duration_Central_moment_4th_order,Duration_Central_moment_4th_order.1,Duration_Central_moment_4th_order.2,Duration_Central_moment_4th_order.3,Duration_Central_moment_4th_order.4,Duration_Central_moment_4th_order.5,Duration_Central_moment_4th_order.6,Duration_Central_moment_4th_order.7,Duration_Central_moment_4th_order.8,Duration_Central_moment_4th_order.9,Duration_Central_moment_4th_order.10,Duration_Central_moment_4th_order
93661538.80682486,4982623.8933100505,276242844.05413806,3367870529.409861,469614271.99142313,105690026.6598238,33931890.52828437,2724682404.7325296,185936284.1974064,584809918.1868085,210256090.7183181,2078048531.560788
171212732.4260571,4922871.203541153,328326500.5449463,1673788401.45374,343859970.2337764,538042470.7806082,635956369.3580177,457874.5493006544,76665980.3592117,295918925.16332686,317629384.6590459,1788123157.697459
137129106.3715046,4863118.513772257,380410157.03575456,7012457556.030721,611127787.2179834,521508038.68486017,6866791.241862505,137568575.4575142,161675.39770944373,7027932.139845225,468701773.6289567,1838679381.768499
171209294.89167586,4803365.824003359,432493813.52656287,2490744351.999455,666215571.2924064,187434606.1637397,45470971.49507021,902965819.0654756,96186744.77759402,5270956.052627305,396483902.9608458,3047259211.697229
353080239.98098195,4743613.134234462,484577470.0173711,1302977157.4316697,765906805.1644694,106784510.3527116,8032301.794846976,219104857.5011404,271998.6152034446,3513979.9654093846,76706889.1839204,2300464602.5624776
527314731.3563189,4683860.444465565,536661126.50817937,404730377.75193495,706231830.764395,60788099.62191277,536947350.1521246,448173.3026343927,1218229848.6181526,1757003.8781914646,256107595.34636104,3178584400.391091
621203219.6532048,4624107.754696667,5631983.989301464,105441342.31851073,692887469.0306824,218905698.8009293,1065862398.5094024,46090442.13578984,187818381.77604872,27.790973544396813,106805529.26333404,3305297869.407842
500678223.18062615,4564355.06492777,14963102.361633629,29089181.15223515,578742765.6122369,555978887.2888302,2024137634.2674828,417242960.5999246,5603579.511023743,492430335.388364,42530187.3771404,2854621777.2527184
893236924.2135513,4504602.375158872,24294220.73396579,130878198.97951792,834212698.840699,169337188.5474741,1518145008.6886768,39731118.432951,44880931.76640182,984860642.9857544,48593194.21504594,3869884716.0616126
129705994.4021149,4444849.685389976,2135615.6741159,82765403.38883609,527444663.64128846,123251261.22707136,1012152383.109871,138301903.758732,754424515.9938531,91835048.20708609,97393134.15933608,5719523365.260688
131314090.23640268,4385096.995621079,411446421.09077287,249020454.7864422,773345292.1451644,522219805.9850098,506159757.5310652,13902537.4578493,157707715.95341167,19879199485.971485,308852492.8746243,5355567059.138052
66482529.31258805,4325344.305852181,9226376714.999475,601640967.7650627,985553295.9204966,333440720.5321899,167131.95225942053,1285616.474807968,174639548.4137412,39666563923.735886,307659323.29497504,7742993809.237605
101425843.48708647,4265591.616083284,14945.874833951802,276679240.1589991,100256057063.87357,620900981.8882842,21038817.46901372,1623574690.4845834,37166514.8687788,59453928361.50028,404178469.8151871,7791448805.94087
203280224.06467348,4205838.926314387,10065.214690327088,650920563.1904796,891717713.327935,264035491.49648264,41910502.985768005,448918287.8995048,158631260.97149208,79241292799.2647,34240050.169889264,3670813570.3963313
137244329.8014474,4146086.2365454896,5184.554546702371,23471509.803668804,866923575.2990376,25727763.55593915,454725760.59634,827131985.733515,44443109.30110029,2045783423.042181,4385747.330382442,4975280378.411993
153115579.2556706,4086333.546776592,303.8944030776556,337781223.13511896,838683787.2387042,3076653.998116927,1635304363.566795,2673546093.712376,18567185.401831582,61902061.50809136,63659910.655309625,3304310526.23642
328507469.3045505,4026580.857007696,672992.0804901231,751840663.3814604,574379113.768365,1180803.0528986277,589802833.7156445,279823345.0055501,53796924.49455282,58717040.458679646,104005420.38837044,2622977264.6932607
47958834.31255518,3966828.167238798,3755764.9445600025,1603761080.2682705,554303901.8335773,423854.7490555559,296824705.3984014,154998861.11173815,95411194.1182636,55532019.409267925,314085376.44864243,3746660946.769253
111933279.35763004,3907075.4774699006,6838537.8086298825,181028771.4925117,506965296.5708307,27041042.5677378,3846577.08115826,52171853.60824127,3813096.3877458577,33018281.198090903,162802740.72472274,4466221365.557783
27429154.07237344,3847322.7877010033,9921310.672699764,204133931.66064703,470531550.3645139,2646792590.438932,103325393.57286918,33146125.563593607,112061945.5984644,10504542.98691388,2319168470.813568,2980647441.241412
