Energy_Root_amplitude,Energy_Root_amplitude.1,Energy_Root_amplitude.2,Energy_Root_amplitude.3,Energy_Root_amplitude.4,Energy_Root_amplitude.5,Energy_Root_amplitude.6,Energy_Root_amplitude.7,Energy_Root_amplitude.8,Energy_Root_amplitude.9,Energy_Root_amplitude.10,Energy_Root_amplitude
1247.7603010391476,399976.9001597968,1288154.1732880496,,554553.6034423878,20059.487453085272,967357.7218713444,166309.26096341287,1308.022721647992,15994038.296840848,116098.3581933447,610043.6676828512
2365.9995377686023,387083.54901088175,221938.8982398497,,541534.1678509079,47084.80149814107,1035134.9267051952,229007.45351017435,1242.9227091873677,19654903.078073543,122650.50990378953,634068.6161727608
8270.640461794159,374190.1978619667,120719.34198182936,,602734.4948811543,64702.24431043294,1102912.1315390458,175584.8082798501,5499.776558179069,20556501.9221038,211360.3734174755,566233.0936555478
6031.440439612476,361296.8467130516,19499.78572380904,,682411.7036779977,95548.79594980668,1170689.3363728966,205998.3476162769,34371.2253546535,21458100.766134053,146133.00698243483,538074.2393320177
6079.637476348779,348403.4955641366,4054.09397323093,,788936.471132033,98222.85718301668,1238466.541206747,165261.30521079618,99323.72245229328,22359699.610164307,256755.86766962352,484151.1632275886
3604.930865863372,335510.1444152215,148728.10550127304,,799813.0475881575,164846.48691955506,1306243.7460405978,164417.81972282156,38048.12402408923,480302.0293843213,367378.7283568122,510749.1485384532
1948.5345870378635,322616.79326630646,650776.6983752741,,883392.695427794,97273.68883535164,1374020.9508744483,168263.92125324943,49298.17248864084,71052.20844764837,316257.13337469264,507038.7787939493
643.4383838644617,309723.4421173914,1152825.2912492752,,1003122.9469770528,82182.74399227806,1441798.155708299,126870.21868098636,79183.43995258691,177928.34842142713,242048.16264505603,472302.2756576207
1425.108375588338,296830.0909684764,1654873.8841232762,,1019227.9523278888,153893.69492474734,1509575.3605421495,138855.09912593904,27739.437874251205,435479.200087414,290250.4908653163,441823.8691934537
909.0359505948944,283936.73981956136,2139308.7472968507,,875661.65899873,233356.0536751596,1577352.5653760005,137705.6443301998,101844.8913554894,359783.51961827045,408046.1562631998,442302.9994794632
