Energy_Max_Min_difference,Energy_Max_Min_difference.1,Energy_Max_Min_difference.2,Energy_Max_Min_difference.3,Energy_Max_Min_difference.4,Energy_Max_Min_difference.5,Energy_Max_Min_difference.6,Energy_Max_Min_difference.7,Energy_Max_Min_difference.8,Energy_Max_Min_difference.9,Energy_Max_Min_difference.10,Energy_Max_Min_difference
50682.34368788924,1193054.521704203,542921.4662336272,,4246380.6893216185,4446637.334534038,107533.38214145252,1667592.8133741224,1405937.6552172448,4180491.570034248,257433.35296229488,4523941.803362589
118577.51337403798,1149893.9660902896,517479.0016221048,,3828958.891213077,2829175.232345358,266603.7683056297,10808991.049645942,2060205.1387903527,4478078.654695309,898759.9359195346,90560487.7471672
136104.55424875347,1106733.4104763763,492036.53701058245,,3763364.223477508,2096333.3387837503,273674.8296492968,1048352.2039637977,1976758.48976829,4775665.73935637,831083.3120835358,4652852.273482055
768401.2103477903,1063572.8548624634,466594.07239906007,,86456686.92962365,1600151.0208199236,280745.8909929639,1427075.5828119123,499416.3445137717,5073252.824017432,462799.7001967672,3562464.61865555
168879.5037952161,1020412.2992485502,441151.60778753774,,4156092.588880397,1360693.188864831,287816.952336631,1608640.6819105432,1626100.445707331,5370839.9086784925,4028778.4998117792,4615599.675839439
141117.5522934388,977251.7436346372,415709.14317601535,,4614378.850985,983947.6756899056,294888.0136802982,1513100.66374072,393175.3316219783,3340946.0535779507,97235121.0346653,5827937.761447531
25598.799238604297,934091.188020724,2726175.430376155,,10083171.641270012,51583641.95289052,301959.07502396527,893763.2307043762,355628.936299112,5578668.412700735,114925667.59688544,4260137.159483408
31245.98445658312,890930.6324068108,24203441.08032885,,59705504.80400311,12836867.97726592,309030.1363676324,761839.8301290354,312618.85731072223,7816390.77182352,38394798.60804828,3365034.391872588
16419.102424025048,847770.0767928977,2713693.140265692,,3998492.167269647,774779.0965765778,316101.19771129946,729786.4780289193,273530.73164680577,10054113.130946305,40625588.92227911,2721977.6429784056
12145.424565228834,804609.5211789845,18771506.83181325,,29958424.6796981,2409617.017563009,323172.25905496656,906786.9781899597,105102.2530544046,12291835.49006909,7609468.144452671,2645988.5404877784
183536.90331677336,761448.9655650714,77888269.98330963,,34188355.635161445,452950.2553504843,330243.32039863366,575582.4108004002,151037.58561142752,14529557.849191874,868694.505844249,3711455.0301769897
188638.3853076144,718288.4099511581,16677425.35486232,,10817061.331763186,70711465.68969235,337314.3817423008,783780.1169667474,185300.00791465715,16767280.20831466,437737.79354501487,3332713.7923615226
216561.9946940206,675127.854337245,33572466.70737644,,10723979.904786866,56540152.527088255,344385.4430859679,1248104.369330224,205972.622273568,19005002.567437444,513487.96945594734,2790706.5634429324
1381705.9580489611,631967.2987233319,23637673.62330164,,12070094.06001011,3088897.2924920167,351456.504429635,1181644.3397316623,29666.3571149569,21242724.92656023,360523.3944966165,2961731.620187617
187501.1823129836,588806.7431094188,13702880.53922683,,10388022.08069389,10562599.57770453,358527.5657733021,975173.0072067984,9438.507423027502,23480447.285683017,524057.0048201876,2650225.0371844554
40954.14057675912,545646.1874955057,3768087.455152024,,11741149.002323138,318119.7128757008,365598.6271169692,1131942.8000487802,9345.066596570416,34238001.255798034,484641.60670013697,3188596.222781485
221702.795711978,502485.63188159233,452560.2668420706,,52712673.49134029,17159018.939223997,372669.6884606363,1370239.2023409014,14832.58742455479,44995555.22591305,397242.7909381076,3759491.514647601
231311.16521673487,459325.0762676792,259672.44006556063,,56418769.87084642,7515108.573765101,379740.7498043034,1327278.3976830416,549150.965262814,96294150.3075569,564334.8732658252,2410227.7133111684
157890.18689198166,416164.5206537661,66784.61328905064,,11927577.326548118,750582.4259345613,386811.81114797055,1294541.660065564,366388.532317572,147592745.38920075,508289.0569317151,2710659.383435984
144186.04726384446,373003.965039853,27301.43136702449,,11866161.539528605,3852823.6719837887,393882.87249163765,1266017.4455390766,376614.8437598497,198891340.47084457,633965.3174881118,4069647.260818634
226818.69725337383,329843.4094259399,1929191.1619296924,,44245129.1286772,75509513.57032827,400953.9338353048,1317980.9107467046,460594.59503998,4616556.670748081,759641.5780445084,3473438.79022644
92403.81702728575,286682.85381202656,1534368.5930329154,,86713957.87792838,543363.3225320498,408024.9951789719,1782433.8465271457,471692.80799567566,15202.686928901065,710982.5999567278,2629888.3307873663
28742.43171524268,243522.29819811345,1139546.024136138,,81175593.41882381,713540.0650871765,415096.056522639,947550.2690570148,499216.1503965198,215082.68575140112,566642.6637003508,2561377.6423338926
35487.07961938055,200361.7425842004,744723.4552393612,,97751944.08302478,862482.7013177737,422167.1178663061,1434361.104520202,585309.0378394214,871210.1346028049,1112214.7736601802,3594753.605802798
118116.07570550455,157201.18697028724,2842482.494052337,,109555053.22733396,100785278.68324414,429238.1792099732,1253775.211501432,1759362.2546189376,104267.35199967936,830802.4250763869,4938989.212119496
258448.8150638553,114040.63135637411,4940241.532865312,,19692348.19206224,1024228.8436174853,436309.2405536403,1754045.1004523195,325075.8267497466,253499.93824284864,706949.777896731,2845618.991905922
184714.51901240923,70880.07574246073,7038000.571678287,,,1139098.3207162456,443380.3018973074,77659188.18132243,583343.1556591501,287321.4539976158,831882.0309976706,3513513.7107827323
73301.03929298607,139594.8224842265,9135759.610491265,,,1005308.0803121404,4256439.789605917,28519876.238281623,568373.1784504228,661072.0591350027,617374.4733968428,6537745.531383276
195313.0109832959,208309.56922599225,11233518.64930424,,,14720764.264018057,8069499.277314529,2981027.678777116,235845.2311718072,36587.77328653184,640717.701598398,7558767.274901394
6859.392302756866,186921.6054404213,13331277.688117214,,,1059601.2239394342,11882558.76502314,4198291.692486657,148994.79435822627,35911.35770173959,755577.192546891,2632253.291492125
15701.575500088707,10660.530654151298,21169524.890255988,,,1233238.4279817191,15695618.25273175,4749305.918547562,62144.35754464536,35545.8757253085,2483736.416905808,6819268.264819812
91159.19434689004,149036.49980569482,16230470.462398771,,,1098264.224840065,19508677.74044036,4231453.99694523,259761.213576619,56835.39591428421,1283592.0469632975,3131798.4960560044
183101.6712624069,157263.1223639279,11291416.034541553,,,1177783.9925227722,18754996.069356475,7310639.702100827,404465.8258466452,55121.2241133512,619979.5791338447,4558516.943738749
