Rise-Time_Central_moment_6th_order,Rise-Time_Central_moment_6th_order.1,Rise-Time_Central_moment_6th_order.2,Rise-Time_Central_moment_6th_order.3,Rise-Time_Central_moment_6th_order.4,Rise-Time_Central_moment_6th_order.5,Rise-Time_Central_moment_6th_order.6,Rise-Time_Central_moment_6th_order.7,Rise-Time_Central_moment_6th_order.8,Rise-Time_Central_moment_6th_order.9,Rise-Time_Central_moment_6th_order.10,Rise-Time_Central_moment_6th_order
467887.8576314434,441304.478418538,154447167.8214414,,12964293882430.17,466390294448.7098,908705242.5344884,235395276570.62125,399682567200.2954,437150244.5759026,31588671446.89914,11667436586.037731
1606178.182192083,427535.2172947519,1782863.1250978082,,21533583927528.67,578566971.4279109,848389026.5190525,159983172965.12558,337620498610.02673,509764999.2858423,89180814353.83653,3621516951176.703
40892800.17985024,413765.9561709658,1190358.7023509345,,12347036271629.99,9716784503.627462,788072810.5036167,104763848777.95064,786507757.6837136,582379753.9957819,144687.503073964,28127319583.75845
307074.4468904357,399996.6950471797,597854.2796040606,,8059643503093.138,5481544244.571499,727756594.4881809,283177380737.86487,67607700836.73711,654994508.7057216,81620.15869015279,161598678341.28528
1268041.9613533854,386227.4339233936,5349.856857186968,,6171307689523.025,98168942.36225724,667440378.4727451,74057743467.36736,22746836.77057064,407443180.6185271,16094589.743224332,28093071348.51857
548914.9489091544,372458.1727996075,806402.8848828343,,17986923151383.96,4928858373.392639,607124162.4573092,56936647846.98731,7896774.558240338,159891852.53133258,2311789.014164108,165935635385.0101
15544.149901283052,358688.9116758214,505043.1802830847,,17290324870245.203,148388644762.8428,546807946.4418734,84041702632.19003,550216338.618892,222330462.74835685,791463.0575062835,37359945892.0726
107605.17605620172,344919.6505520353,203683.47568333507,,11764411696305.91,520968073475.8445,486491730.4264376,59411402771.85062,2846127.200354023,284769072.96538115,82161392.590195,293641449369.9708
86664807.40868334,331150.3894282492,7967006.227481963,,7859728630938.633,2986164027875.022,426175514.4110017,29059715121.37689,233809896.50331265,347207683.1824054,41081164.71714075,29186167416.050457
498255.7033279842,317381.1283044631,1895009.9053542267,,20911836478525.56,796495116197.0643,365859298.395566,80808490862.70656,563175540493.4415,2360949322.671581,936.8440864992132,43462007615.81614
250188.4839937767,303611.867180677,26248386.86475496,,9499084152923.68,24953794752.305763,305543082.38013005,76393012635.1067,3695452994404.424,5280871243.263898,12485215658392.26,4805938710233.853
20477.0694850168,289842.6060568909,50601763.82415568,,48321880324979.61,106755285.69349474,245226866.3646944,35895366668.85554,890426506974.0853,1557232.3361341795,8516163.574308027,15880801838.30384
