Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
11855.396901244743,-186077.19737185503,-784357.4300890402,-70994.08548822168,-40288.44693454787,-166.28246775733018,-442462.24920115614,-409578.2871147874,7989.644548562223,-13463013.229660915,-14316.278783702788,-95048.55610753816
4877.588124982317,-148213.77462839993,-755859.8111422893,-19808.948641657626,-97207.42691427335,-520.3588072226665,-447357.5591670168,-502402.9903341778,9529.195693337537,-13965201.697283637,5354.183383994798,-121026.31235759276
283.3100172082014,-110350.35188494484,-727362.1921955384,-73329.43131927877,-68524.45045397765,-5322.87700837982,-401391.7371180774,-110424.61839258212,-12540.653364982869,-14467390.164906353,-27516.59214800086,-135924.82582831886
1594.3840122877384,-72486.92914148973,-698864.5732487877,-33011.396798092675,117047.67647668198,-6184.382897974434,-355425.915069138,36491.46620493064,-32390.18118927079,-14969578.632529069,3631.451149021989,-140661.18263346734
-2299.9644041996453,-34623.50639803463,-612531.9208904705,-4126.546868793633,-53241.133117849706,3619.197560773736,-309460.0930201986,69249.60835412459,-30160.13240588727,-15471767.100151785,-921.5504306097037,-132438.2723369739
-1364.8794122164234,3239.916345420468,-526199.2685321533,-33623.92152266757,-193485.77770934,-3.9013063737216034,-263494.2709712592,1060166.846586732,-4702.1912420614135,-15973955.567774504,193.58695051925807,-71220.46626056472
-162.74163258819786,41103.33908887557,-439866.61617383617,-34708.56605278997,-239926.5993054692,11986.302242684726,-217528.4489223197,-780523.2714760337,-2372.673796127886,-16476144.03539722,-1466.8498104400023,-112730.43063744689
-3914.580464916505,78966.76183233067,-353533.963815519,-18053.16790000907,-261203.2932056,6876.116319117851,-171562.62687338033,320843.264769258,1127.26808973097,15544888.991050432,-1024.8782129250244,-138403.74871593298
-11495.76653637992,116830.18457578577,-267201.31145720184,-5244.851934046273,-386755.7279327218,6911.034979852407,-172072.5518792575,3996230.608736333,-12852.736481045538,7766855.11588069,7927.095231937351,-91682.5255150542
-25276.478919402354,154693.60731924087,-180868.65909888467,-23215.098379544208,-192372.29301170527,28642.96209068668,-737202.1724065902,-335394.0108842135,-613300.4124346059,-11178.759289053152,9409.754333640583,-117203.98450721812
-21977.82961309287,192557.030062696,-94536.0067405675,-82720.66398652621,41171.32008691971,-63080.36606589944,19984.40187484189,885327.3040062649,-327495.3872939321,413726.4390684141,4578.646671709961,-151992.50602974326
-29194.322026398684,230420.45280615104,-8203.354382250342,-280.9513707757913,141703.38377471705,-63788.39246544644,-25480.535194087293,218516.51761412824,156855.67444751953,838631.6374258812,4913.926301338411,-168180.9058155619
-17693.86019708795,268283.87554960616,78129.29797606687,-4006.4153007314167,66269.79645446912,-38775.22757580042,-2857797.0555540742,125759.5738482018,74156.86082562763,1263536.8357833484,-2973.9547995395155,-167962.582755252
-29814.151829604823,306147.29829306126,-31438.704838700687,-1452.7558632910104,101968.70342018615,-51834.03279473786,-5690113.575914061,896674.5995581273,-58783.783333389336,1688442.0341408155,27441.636306634024,-158925.2585563118
-15215.568726410693,344010.7210365164,-15114.87427239384,-5625.091273994932,128113.44068165345,77944.44214881115,1228634.1888633275,112527.5704993754,61.79829631183699,649902.5005599877,-724.7435738586779,-122266.52208363028
-61711.05659487461,381874.1437799715,1208.956293913003,-1981.7218154044008,-39162.42949238947,-81911.26825742326,871444.5035913009,-22981.88905311389,-846.80967596875,-388637.03302084014,2995.489158541757,-118863.48492926614
-29118.548933887385,419737.56652342656,382599.52777999465,-18343.750353710435,67492.02989086158,-71098.77779444371,514254.8183192742,122870.59298220673,13993.4500383119,3599609.013269035,-5392.425219887002,-84741.86547960315
18272.854268087,457600.9892668816,-17124081.87580575,-40330.42458422756,-29657.205813919016,-110569.89112748772,157065.13304724754,-12529.5733671447,-29938.170416769302,1846558.063806264,-3455.371331901109,-58647.96182528534
