Energy_envelope_Central_moment_3rd_order,Energy_envelope_Central_moment_3rd_order.1,Energy_envelope_Central_moment_3rd_order.2,Energy_envelope_Central_moment_3rd_order.3,Energy_envelope_Central_moment_3rd_order.4,Energy_envelope_Central_moment_3rd_order.5,Energy_envelope_Central_moment_3rd_order.6,Energy_envelope_Central_moment_3rd_order.7,Energy_envelope_Central_moment_3rd_order.8,Energy_envelope_Central_moment_3rd_order.9,Energy_envelope_Central_moment_3rd_order.10,Energy_envelope_Central_moment_3rd_order
630605880015860.1,-4782.545454545452,4.046137086960046e+16,1.6675479127468347e+20,-9.875720647580387e+18,93348744021608.7,-14894.545454545454,2.217709185601681e+19,5703294377014987.0,-2.612483299634851e+22,2110274694109152.0,3.245961085217602e+17
2030852606104574.5,-2583.2727272727243,4.357378401341588e+16,4.19390047953011e+19,-1.4130181857355729e+19,1273348195526400.2,-16756.363636363636,4.419831701963814e+19,-2100418178605.8792,-3.483311066179801e+22,1300439537290126.8,3.53574826714365e+17
-62629775468310.68,-384.0,4.66861971572313e+16,1.175743967223411e+17,-4.0697742904325135e+18,5114627188669339.0,-18618.181818181816,1.1095438213161857e+19,-343225316823554.4,-4.354138832724752e+22,981915446299571.0,4.138473954388708e+17
262249759584545.84,1992207640759535.5,4.979861030104672e+16,2.7627829711026284e+16,1.6447543363039549e+22,533984783855987.3,-20480.0,1.883248007681178e+19,-8503082535617283.0,-5.224966599269702e+22,-11832338306760.186,4.4581599725787136e+17
199776975171438.1,3984415281519455.0,5.291102344486214e+16,1.426475448260069e+21,1.116811291571184e+20,1912234429164728.0,1.1483491683043885e+17,6.25705788158598e+18,0.0,-6.095794365814652e+22,1.2381604886916958e+17,5.256938802296982e+17
149906249750851.8,5976622922279374.0,5.602343658867756e+16,3.17266222869762e+16,5.086484702100366e+18,471270109424279.75,2.2966983366089818e+17,2.1979852285619428e+18,-116352781254816.6,-6.966622132359602e+22,-5066938620572.834,8.531001493374337e+17
9.13296033974801e+17,7968830563039294.0,1.209289244451547e+17,8.05478449696263e+20,2.0350996612536865e+19,6.956874640156616e+16,3.445047504913575e+17,3.8897809948564593e+18,966800714939238.0,-7.837449898904552e+22,-3272352406123.3257,1.7670207134796726e+18
1.2474589932423875e+17,9961038203799214.0,1.8583441230163184e+17,2.9285851127743866e+17,1.4645841871433066e+19,1.871382255968845e+16,4.593396673218168e+17,-4.339499928560087e+16,-0.361328125,-8.708277665449503e+22,-2668315981591.7603,1.469913871464637e+18
-58004607152588.18,1.1953245844559132e+16,2.50739900158109e+17,4.906504327911659e+16,1.234864062730671e+19,1034791604624058.0,5.7417458415227616e+17,1.3055933178743409e+19,-0.15234375,-9.579105431994453e+22,-3344278043690.304,1.436090609730051e+18
-551000998048648.1,1.3945453485319052e+16,3.156453880145861e+17,5.449447729339451e+18,1.1558125714428555e+19,2980825393084641.0,6.890095009827355e+17,7.782490000001055e+19,6112313061838.654,1.7480033544927277e+21,2663661664745.596,2.035670242360703e+18
-852473065537078.6,1.5937661126078972e+16,3.805508758710633e+17,6059006934570526.0,1.3667968446763713e+19,3695446862941041.5,-2.125585171777708e+18,12288.0,-792372467200417.1,8.740016772463639e+20,1.404436059404543e+16,1.3452262552863698e+18
4.073319848392753e+16,1.7929868766838892e+16,4.454563637275404e+17,1.2013237143259494e+17,6.886080739955431e+18,-6.796434407112153e+16,-1.3906577483777645e+17,6.493418231189392e+18,0.0,-131072.0,2.754666984402635e+16,1.2401299064015004e+18
1464064572855904.8,1.992207640759881e+16,5.103618515840176e+17,1.3196366246561062e+18,2.5127467860124804e+21,9.101718823930096e+16,4.586296559807404e+18,-4.47657519996119e+19,7126836060764713.0,-98304.0,1756747999740378.8,1.8015066927314647e+18
6.791593122994433e+16,2.191428404835873e+16,5.752673394404947e+17,3.423135812070719e+18,2.28723723864986e+21,1.698349290940838e+17,2.656875563642962e+18,-1.5192789858568804e+19,0.0,-65536.0,617884522078796.5,2.106525261511025e+18
9101527506055936.0,2.390649168911865e+16,6.401728272969718e+17,1.1324496574938514e+16,-1.925421317717412e+18,2.571647121440776e+17,1.3284377818214815e+18,-4.824943565960433e+18,0.0,-32768.0,86558443036226.86,1.6419101537297306e+18
1.41661278282113e+17,2.589869932987857e+16,0.0,110405589338417.0,4.533677146138722e+18,2.472234436543349e+21,1408.0,-6.088943934915459e+17,1.2941246103196914e+16,0.0,1.3941749692608574e+17,1.0737941570387087e+18
5.228805616446823e+18,2.789090697063849e+16,1.0439953065799632e+17,150295220242310.16,5.081120782002385e+18,-4.880113061810864e+17,2.9677585023010742e+19,-1.724116287514549e+19,-13214370563605.713,-5.21875,-29031928234247.105,1.0341651491814158e+18
1.776210244932038e+17,2.988311461139841e+16,2.0879906131599264e+17,1066456427201126.4,5.951001711575717e+18,7.805393611911672e+17,2.225818876725806e+19,-5.728363884735142e+18,-119952348088700.22,-10.4375,1280183747330903.0,9.674435493529832e+17
2.334652913581477e+18,3.187532225215833e+16,7.748266816300237e+18,1.0220775022276284e+19,5.622547199625723e+18,8.6728062222431e+17,1.4838792511505371e+19,-1.8623189103957795e+19,98621553973124.98,-1472.0,138230514115832.77,3.254871888835265e+18
8.204131007525344e+17,3.386752989291825e+16,0.0,3.921036422998663e+17,7.12740316464636e+18,1.4178608815556105e+22,7.419396255752684e+18,-2.0206469121614365e+19,-265404382296547.38,6.67394455942387e+21,498065095258111.8,5.802837448361402e+17
626532200871110.9,3.585973753367817e+16,-2.154405679896469e+21,-3459304809895082.5,5.615166582836194e+18,-3.2141195325644457e+18,0.0,1.4803288982445258e+18,62782730019542.766,1.334788911884774e+22,3.3419368036245434e+17,-1.032182153476661e+17
871892451119738.6,3.785194517443809e+16,0.0,1.8807461449931244e+18,1.5369041101012183e+19,2.057921065280153e+18,0.0,1.037751808544698e+19,81661717188872.38,2.002183367827161e+22,-1096931870128244.4,2.797212261517172e+17
1.259126646934367e+18,3.984415281519801e+16,0.0,3.17991994886938e+18,2.947983840608676e+19,3.850095660277428e+17,0.0,6.49710938317338e+17,-702645397034497.0,2.669577823769548e+22,-25606079091690.43,-1.1258925618684765e+17
8.405610690108971e+16,4.183636045595793e+16,0.0,1.9680677366761536e+16,5.057363036183566e+18,-61692407140896.77,8.581193092015305e+17,-8.159013755537901e+19,180991965997673.1,7.715620689750085e+21,9.609875111754056e+16,-8.912857225245123e+16
2099365891690632.0,4.382856809671785e+16,0.0,2.8372370469954827e+20,5.107995734109965e+21,114133958097913.56,7.042713831508347e+19,-4.257238302586245e+20,173553567341305.84,2.8004318626312765e+18,7516415291283768.0,-4.854424827035795e+16
8.448453351106006e+16,4.582077573747777e+16,3.992965503059481e+18,6.025202161350685e+18,2.518691741725448e+18,-9549773300915936.0,1.2406146327387282e+18,1.104567374456209e+20,5545209175201.492,2.3012802842872184e+18,2.657968982226882e+18,1.5552461077751402e+17
-11271706710735.508,4.781298337823768e+16,3.3274712525495675e+18,3.789532643960275e+19,-3.5242803587497466e+17,4.024478536684585e+18,4.5312488264103967e+18,2.557158631576251e+19,-12264778278074.213,1.80212870594316e+18,-2.893721117004887e+18,-2.721765519525233e+16
21344930231483.254,4.98051910189976e+16,2.6619770020396544e+18,3.675224586651226e+17,-3.9039839909032006e+17,-5.6762315813243e+19,7.821883020082065e+18,1.6578092925810323e+17,715278048038.6852,9.0106435297158e+17,-1.195146661150157e+17,4.148612840720391e+17
17787309545826.773,5.179739865975752e+16,1.9964827515297408e+18,2853768809532862.0,2.5722325437553454e+18,1.63457587627642e+22,2.081592256472966e+19,3.402209972052577e+17,2772235628650.7188,0.0,1.7972571919630766e+19,5.0861078128001926e+17
596492651742036.8,5.378960630051744e+16,1.3309885010198272e+18,2064207632172932.8,1.0749869774558022e+18,-2720419002790393.0,3.380996210937725e+19,3.606347403896148e+19,24749874784929.816,137.0,3.3733056904397706e+18,-5.638361557035921e+16
2015612352623215.2,5.578181394127736e+16,6.654942505099136e+17,1578631885258007.8,1.2537960005249242e+18,-72.0,4.680400165402484e+19,153394492742712.88,2897117889148.4062,8.313644827312408e+16,1.74430832792103e+21,-2.9678790263882566e+17
9493697725478.36,5.777402158203728e+16,512.0,204367602736480.28,1.1321329748319957e+19,1.4844484193110164e+16,3.510300124051863e+19,216232826331465.03,121644956870.84972,4.15682241365646e+16,-2.952664144875595e+18,7.565871880181517e+16
-3856174348602.1367,5.97662292227972e+16,-512.0,3.375003732307825e+17,1.569368372678048e+18,5.329333515550201e+17,2.340200082701242e+19,404573428219690.8,1818093984141.598,5120.0,2.358990551962683e+18,2.269618507615304e+17
108240491565025.66,6.175843686355712e+16,-2.4633093561555068e+16,3065449406547492.5,4.348743748649547e+19,-2.151824382554127e+17,1.1701000413506208e+19,1060459610363923.2,1187981129869.1365,-4.290952414660325e+20,5446140443429619.0,6.094563229216042e+17
525463311935399.9,6.038602715547807e+16,-4.926618712310962e+16,-173708575207890.06,5.111091999981277e+18,6.478176077213097e+17,0.0,4.135205563305792e+16,1427511318529.623,-8.58190482932065e+20,-6.93169259160471e+16,3.8338954006779686e+17
-44457824478977.56,5.901361744739902e+16,-7.389928068466418e+16,1.9490312366213902e+19,1.3564960495118723e+19,1.0554849716927398e+18,6.4,2899311324015884.5,6.05632086753248e+17,0.0,0.0,5.900340308298095e+17
-53611423314084.375,5.7641207739319976e+16,-9.853237424621874e+16,2.170206905857848e+19,1.7853945623160244e+19,1.574036283930072e+18,12.8,-3863509106384792.0,11978081541820.44,1.5794456665844294e+17,-6.375,5.78108290124126e+17
2414879581548.548,5.626879803124093e+16,-1.231654678077733e+17,2.048477621883808e+19,1.62107407057583e+19,1.1816100199632454e+17,19.200000000000003,-980157977103999.6,1159150126978.5393,3.158891333168859e+17,-12.75,1.1040103486429978e+18
-697218120062.9437,5.489638832316189e+16,-1.4779856136932784e+17,367254301504294.8,1.0145000340091907e+20,2.638988251639445e+17,25.6,3467803620557234.0,4685732048691441.0,4.738336999753288e+17,-2905469644293207.0,2.168899943390941e+17
-993521392543.9384,5.352397861508284e+16,-1.724316549308824e+17,1.055174652976654e+17,1.016637262725802e+19,1.2665409048507738e+22,32.0,9108117382885120.0,1.2947721159616776e+16,6.317782666337718e+17,-1936979762862124.5,1.1100051737293507e+17
28356651003224.46,5.215156890700379e+16,-1.9706474849243696e+17,8.866910506975553e+19,5.61332058201376e+18,6.971442023653269e+16,1.8253589628034929e+18,-3632897960967513.5,1221480814790781.2,7.897228332922147e+17,-968489881431042.2,2.592975779264189e+17
860634273660.4318,5.077915919892474e+16,-2.2169784205399152e+17,4.528602409825571e+20,1.0835000693689004e+18,1.3717430993281571e+17,3.650717925606985e+18,1.4916305343485288e+16,-2641436526224.388,1.7455852325444736e+16,40.0,3.780364138601355e+17
389426534901.48535,4.94067494908457e+16,-1.4779856136932768e+17,-1572044748577821.5,4.32891965723113e+17,3.869023028207253e+20,5.476076888410478e+18,84209353056207.78,624377359831435.1,-7.548111286413252e+17,-7.521832491842342e+16,5.748129101175952e+17
-6058128906859.179,4.803433978276665e+16,-7.38992806846638e+16,6.286204643927237e+18,-2.336808299296156e+17,-1.1840789677210755e+17,7.30143585121397e+18,-988201147741305.8,15012220737452.855,-1.5270781096080952e+18,-1.504366498368469e+17,6.717284038038273e+17
94445704101658.88,4.66619300746876e+16,48.0,,-4.29533680939061e+17,-4.020228044184842e+16,9.126794814017464e+18,652254730771842.5,2.676185124201036e+16,-2.299345090574865e+18,-2.256549747552704e+17,7.427551484937047e+17
38313872855958.16,4.528952036660856e+16,32.0,,-3.121990640653099e+17,4.7931592368290696e+16,1.0952153776820955e+19,-949630231643001.2,6840083712415728.0,-3.0716120715416346e+18,-3.008732996736938e+17,7.262878507257174e+17
10488588568504.922,4.39171106585295e+16,16.0,,-9.662114954118104e+16,6413665957358258.0,6.468906788948227e+18,2097048502141352.8,1.178191505857358e+17,-3.843879052508405e+18,-1.4079851598457226e+17,5.034310287785216e+17
-89067325247439.72,4.254470095045046e+16,0.0,,1.4939325561173164e+20,5681903234815663.0,1.985659801075499e+18,-6335766218926603.0,1.9399836789553885e+17,-4.616146033475175e+18,1.927626770454933e+16,9.257759498364544e+17
-63886287914742.95,4.1172291242371416e+16,0.3802083333333333,,4.6312262086464696e+16,8411121963247259.0,9.314822335587344e+18,-1480318837326715.2,2.120793541050192e+17,-5.388413014441945e+18,-1122762219101930.4,6.634629766072344e+17
7.62695983969303e+16,3.979988153429237e+16,0.7604166666666666,,-4.167625318982697e+16,7720978834342886.0,1.664398487009919e+19,-2070514504500111.5,9.99634224973849e+16,-6.160679995408715e+18,0.0,6.177840787534493e+17
836839446148106.4,3.842747182621332e+16,1.140625,,-4.1543752132548456e+16,-5354913239377327.0,2.3973147404611035e+19,-1325858599192289.8,1.261622100832984e+17,-6.932946976375484e+18,1.0,5.02987078906843e+17
83200183165.66602,3.705506211813427e+16,-16.0,,2.517355856160268e+18,1.701284796781595e+19,2.570929950281609e+18,7987999340771939.0,1.1638542303121453e+17,-7.705213957342255e+18,2.7615258531278884e+16,2.55004708645417e+17
