Energy_envelope_Impulse_factor,Energy_envelope_Impulse_factor.1,Energy_envelope_Impulse_factor.2,Energy_envelope_Impulse_factor.3,Energy_envelope_Impulse_factor.4,Energy_envelope_Impulse_factor.5,Energy_envelope_Impulse_factor.6,Energy_envelope_Impulse_factor.7,Energy_envelope_Impulse_factor.8,Energy_envelope_Impulse_factor.9,Energy_envelope_Impulse_factor.10,Energy_envelope_Impulse_factor
5.491709664045128,1.4206673539195698,1.4564410186937742,18.228241497891105,1.275781687700674,2.376013169176637,1.9069280549420355,1.2893784660131176,1.4696769469293909,1.0588240545294991,2.771104766456527,3.047246647316006
3.528600511711794,1.4444470486922567,1.4458178036941238,7.256134285673057,1.120288721525639,5.107014863080589,2.541256677951528,1.0770551150336525,2.094139664741161,1.4889918551721264,1.832347858728384,2.830773869954132
3.562334203498465,1.4682267434649434,1.4351945886944737,3.557587726682486,1.2576918357295055,5.767899188442228,3.1755853009610204,1.136298178341297,1.5264142989817455,1.9191596558147537,2.938272378879101,2.94068983060916
8.648279310963604,1.4920064382376304,1.4245713736948231,21.91902025563052,1.4556329377250916,6.604772467036822,2.875158502430984,1.869292258928161,2.149568651841784,1.846086039104353,3.200719960633901,2.988132866374933
5.245997320511673,1.515786133010317,1.4139481586951728,13.633789318863842,1.5327975649429624,10.567852541609753,2.5747317039009463,1.230699758529536,4.392718348305562,1.7730124223939523,3.449043931906973,12.451221422447286
2.087217794790473,1.539565827783004,1.4033249436955224,21.7316678488064,1.806864312075482,1.7946169986034315,2.2743049053709097,1.2563053525791432,2.3384177643336,1.6999388056835518,1.785265393550864,2.4658279499938134
2.9061435605878176,1.5633455225556907,1.392701728695872,15.48986817879997,1.8819570045298928,14.117655752729462,1.9738781068408728,13.603366684278337,4.500682986927881,1.6268651889731511,3.073027734897491,3.476233450588256
2.6149298830715573,1.5871252173283774,1.3820785136962217,32.203863948007694,1.7002342587457275,2.6024310834117856,1.6734513083108356,1.3710063302567606,1.390189264044517,1.5537915722627504,2.9266712938015407,3.65508998838015
7.579785616337077,1.6109049121010643,1.3796439409996883,33.79166835131761,1.7697648044987822,5.575195799960129,1.3730245097807987,6.399238756654256,1.3647956197315363,1.4807179555523498,2.30274780032662,3.149317860695728
2.194248780607321,1.634684606873751,1.3772093683031548,3.8240482769117374,1.9930836961473,2.5972345222783946,1.306361498792298,1.6157228554036231,1.1822517358060374,1.407644338841949,1.8613445135183857,3.6350420994461663
2.324392933501584,1.658464301646438,1.3747747956066214,6.713472111147349,1.7918817135478584,2.3728833335640847,1.239698487803797,19.099096513211013,1.062968694090906,1.3345707221315486,2.28325231122895,3.5654463064117623
2.5665329909899683,1.6822439964191247,1.3723402229100878,1.7745923927470302,2.003423339945732,1.871620864524212,1.1730354768152966,3.311672405240184,1.066302486996592,1.2614971054211477,2.8191220360306657,3.0003854784540698
2.9316900109536905,1.6573440540202429,1.3699056502135545,1.7911985379806992,6.567051170920477,1.2546461341121693,1.106372465826796,4.991817495821721,1.0284700740095247,1.1884234887107472,6.651911110777704,3.3459619969817376
10.405735663468064,1.6324441116213606,1.367471077517021,1.8758682643122868,1.9952196376977311,1.4459812930076603,1.13402780833122,3.176331815841099,1.311509130489494,1.1156990036249694,8.637577210035934,3.031184490100008
7.587000501304682,1.6075441692224786,1.3650365048204876,2.620803935273216,1.8320889964056184,1.2047272675188248,1.1616831508356442,4.816817075689873,1.2585263659775223,1.0099024309429034,4.430369724164401,3.8724228045528575
10.70760162457346,1.5826442268235963,1.362601932123954,1.3243559381857692,1.905044258279334,1.748557330983646,1.1893384933400686,3.9015852941549154,1.2281929951311743,1.914753396058502,2.3861692919638124,2.9667487218391946
2.152896468763809,1.5577442844247145,1.3601673594274206,1.2276784577043118,2.031725080773873,2.725536611446562,1.2169938358444927,7.138921729392707,1.5526174577427143,1.5100651744139542,2.0325534342093228,2.975277220680344
6.484021328715254,1.5328443420258324,1.3577327867308873,2.033001130586868,8.466617518823513,1.2270813338207165,1.2446491783489169,1.156584628605008,1.2342034619326958,1.1053769527694064,2.5731542582161087,3.3385663652717
2.578922657296675,1.50794439962695,1.3552982140343537,2.062649786243532,2.0091162455695954,1.3684458434349265,1.272304520853341,1.4577697848773312,1.2261799503997497,1.167312033599982,2.223913619431205,3.312002444261869
1.5793422914497115,1.483044457228068,1.3528636413378203,2.2655426579271896,2.217051870882856,31.57386655637024,1.2999598633577651,1.7295044826272543,1.0634697046166388,1.229247114430558,2.813488276668,3.1000992419270714
2.0048962967521544,1.458144514829186,1.3504290686412868,41.94988750932109,2.1628759076035227,1.924547102143623,1.3276152058621893,2.344988691815153,1.3735594246545697,1.2911821952611335,3.444252278928346,2.996742723427361
2.25966105949665,1.433244572430304,1.3479944959447534,25.715942266701383,1.909181992924562,1.3683497914067426,1.3552705483666136,2.960472901003052,1.0119984100801194,1.3531172760917092,3.874845203039604,2.7399806793101726
1.3893372264636654,1.408344630031422,1.3455599232482198,3.979694450788589,2.132587630405524,1.8779379814218928,1.3829258908710378,2.736716196073241,1.0542135904045986,1.4150523569222848,3.0781106330817045,3.2005824820615616
1.5378586318977585,1.411541167428246,1.3431253505516865,3.442898589164561,26.72042846949668,1.4156500998230443,1.410581233375462,2.7199525119843107,1.1894872484116898,1.476987437752861,1.5901922926270675,2.9039232526807943
1.745294495487698,1.4147377048250704,1.340690777855153,76.57094959900706,6.4233631495294485,1.876835830076168,1.6246709255384897,2.379312834707175,1.011663135387593,1.5389225185834363,6.298973033543477,3.909597326701347
1.5799817367156428,1.4179342422218946,1.3382562051586195,4.595405920393657,2.3757946582067127,1.550325735985504,1.8387606177015168,3.3129737515743103,1.0299481760789306,1.600857599414012,1.6103047443527865,3.1438160776518824
10.966618191141457,1.4211307796187187,1.3795670487861318,107.18170899043469,2.7982008762758026,6.215954420215689,2.052850309864545,2.801223623163132,1.128439699099447,1.6627926802445878,1.3537826322183275,3.284006775087032
6.638332590537106,1.424327317015543,1.4208778924136438,11.663079298018117,2.2295450603613727,7.0909159482099176,2.2669400020275727,1.069660289682297,1.020867909778738,1.7247277610751637,1.2154198225521684,4.071098013697203
1.6414588829469996,1.4275238544123672,1.462188736041156,5.245899375881307,2.237138825073212,1.9106977210065288,2.4810296941906005,1.3883670484467394,1.0136795926517863,1.786662841905739,1.165592380704189,3.826827978104131
1.5609261231777998,1.4307203918091913,1.503499579668668,40.994622923337246,2.3519529009402547,2.059693399406108,2.695119386353628,1.6421161497015238,1.0244678205802709,1.6958030404500657,1.2130208249187229,3.625610551547952
1.8260277952441428,1.4339169292060157,1.5448104232961803,4.77639677999843,2.1045350245307333,2.500522310885882,1.2614904546194896,1.4044576299550906,1.1153152093192285,1.6152638326359243,3.8681388925894233,4.984860229517538
