Energy_envelope_Central_moment_5th_order,Energy_envelope_Central_moment_5th_order.1,Energy_envelope_Central_moment_5th_order.2,Energy_envelope_Central_moment_5th_order.3,Energy_envelope_Central_moment_5th_order.4,Energy_envelope_Central_moment_5th_order.5,Energy_envelope_Central_moment_5th_order.6,Energy_envelope_Central_moment_5th_order.7,Energy_envelope_Central_moment_5th_order.8,Energy_envelope_Central_moment_5th_order.9,Energy_envelope_Central_moment_5th_order.10,Energy_envelope_Central_moment_5th_order
8.770039180790666e+29,-1.006198969378303e+17,2.9890911769213463e+31,2.1852134395692286e+39,7.379714430687167e+37,1.1825658659922275e+34,3.278524333038443e+27,2.302208662978784e+24,-2.308282907803926e+28,-1.4027077848921074e+28,0.0,2.8551405851013897e+32
7.666133562923776e+28,-1.3486355002555037e+17,1.4945455884532936e+31,2.77340864571383e+31,1.1160441004238625e+28,2.0133005058246288e+36,0.0,-5.226678505744693e+24,8.017966328082214e+29,-1.122166227913686e+28,1.7336506401453328e+34,3.840201322441656e+32
-6.751968822997476e+28,-1.6910720311327043e+17,-1.475739525896764e+20,1.909093954679743e+38,-1.0442259418494495e+28,1.057209728022548e+28,-1.6468880949262697e+28,4.67614754090908e+29,3.239275670729862e+30,-8.416246709352644e+27,1.330139297837402e+27,1.0854663947491056e+33
2.9608316779378485e+29,-2.0335085620099053e+17,-2.8168184750756845e+32,4.672042873093599e+39,0.0,2.0812047898938345e+28,-1.0979253966175115e+28,4.209605248932986e+23,3.715014574897786e+29,-5.61083113956843e+27,1.2261832754029948e+33,2.712018868568485e+32
1.3934669447440764e+29,-2.375945092887106e+17,-2.50383864451172e+32,6.525158180556522e+30,2.57936856155297e+30,2.1671480174653548e+30,-5.489626983087536e+27,1.237258895063054e+34,1.963084669642524e+29,-2.805415569784215e+27,1.011223904581012e+35,1.1826979768262127e+32
4.730128040783425e+31,-2.7183816237643066e+17,-2.1908588139477542e+32,4.325140905679839e+35,1.5754046106291834e+31,1.465394074017119e+34,43980465111040.0,7.889566384581471e+27,-1.1800250835511024e+31,0.0,4.211380990699823e+29,5.857469186771178e+31
3.852964120098529e+29,-3.060818154641507e+17,-1.877878983383789e+32,4.087010047241836e+29,-7.997526206850992e+30,2.3150283790739274e+39,3.742384405681934e+29,-8.168069647306595e+25,1.8974617161306208e+31,422212465065984.0,1.0599788435214398e+27,2.0657824043083065e+31
6.189027344028524e+29,-3.403254685518708e+17,-1.5648991528198248e+32,4.9319570468541045e+29,4.2366615974430975e+30,2.0206234700816543e+37,7.484768811363867e+29,-1.5743504360232807e+27,-2.0746632320508183e+29,844424930131968.0,2.5214426337628143e+27,4.338310241076515e+31
2.759652804275048e+31,-3.745691216395909e+17,-1.2519193222558595e+32,1.0734925778771936e+37,5.317287502019293e+30,1.853799910632864e+37,6.237307342803222e+29,8.324333824372124e+29,2.1604752359379663e+29,759982437118771.2,6.255255402429716e+26,4.677048768081375e+31
1.3070010860744873e+30,-4.08812774727311e+17,-9.389394916918947e+31,1.7592733720821092e+38,-1.0223750322713007e+31,2.40078709087647e+36,4.989845874242578e+29,2.9849385906585004e+27,1.826040778587934e+36,675539944105574.4,1.203672369646996e+27,6.581324020226239e+34
1.5036334109130728e+27,-4.4305642781503104e+17,-6.259596611279299e+31,4.170663302958065e+38,-3.352726374284629e+31,1.3554652689075412e+32,3.742384405681933e+29,4.857401305081255e+27,4.06567634071383e+34,591097451092377.6,-2.198122604958409e+24,8.624336743461981e+30
4.7941610216375926e+28,-4.773000809027511e+17,-3.129798305639648e+31,1.9452784838758923e+32,2.009673015965037e+31,8.92664610412297e+37,2.494922937121289e+29,5.605454230202493e+36,1.5036330983716972e+36,506654958079180.8,5.908445652324964e+25,3.35465508612208e+31
3.266819028236962e+28,-5.115437339904712e+17,0.0,1.5196101984017832e+35,-9.592924398655996e+30,1.864927986092824e+34,1.2474614685606444e+29,-2.116830388191604e+28,8.025025168101744e+29,422212465065984.0,4.281776587984361e+27,7.911050905334708e+31
8.948139437079126e+29,-5.457873870781912e+17,1.911659766061731e+27,4.264622561062536e+36,1.4486631309158196e+32,1.30289952445423e+35,0.0,2.00201868088789e+34,4.647396841700796e+28,337769972052787.25,9.771683120316172e+25,1.6271672917144591e+31
-1.893422682271064e+27,-5.800310401659113e+17,3.823319532123462e+27,5.752756040856688e+29,1.355175321371052e+32,1.411976448971214e+33,0.0,1.926129897808967e+29,-3.402552115150977e+26,253327479039590.4,5.288009967075745e+26,3.2961720879613747e+31
-5.875908584713239e+27,-6.142746932536314e+17,5.734979298185193e+27,1.623468282710985e+32,-8.94778945243435e+31,1.6268834790525032e+32,0.0,4.551387550010172e+36,-9.117314534928848e+25,168884986026393.62,2.368604469890369e+28,3.0797147003248887e+31
-1.4040429988437786e+27,-6.485183463413514e+17,7.646639064246924e+27,1.2135275202571111e+28,-2.063434251586484e+32,-9.158559697918784e+31,0.0,2.4422943379171622e+31,-1.055683958195011e+24,84442493013196.88,7.100864318606827e+30,1.102853251553383e+31
9.687474686827852e+25,-5.896388989403315e+17,9.558298830308656e+27,8.086250757658532e+29,7.252736611439671e+34,-1.225334397388382e+30,0.0,1.7723605339923662e+36,-1.7683143019504715e+25,0.0,1.032436658215706e+37,1.0399823216248324e+31
