RMS_envelope_Impulse_factor,RMS_envelope_Impulse_factor.1,RMS_envelope_Impulse_factor.2,RMS_envelope_Impulse_factor.3,RMS_envelope_Impulse_factor.4,RMS_envelope_Impulse_factor.5,RMS_envelope_Impulse_factor.6,RMS_envelope_Impulse_factor.7,RMS_envelope_Impulse_factor.8,RMS_envelope_Impulse_factor.9,RMS_envelope_Impulse_factor.10,RMS_envelope_Impulse_factor
1.6608335763551318,1.1439927828858951,1.142182141849823,1.5070382849870705,1.1423028586909303,1.3338295212799725,1.1517827057869758,2.072980227670368,1.2183697169043377,1.0418810085486998,1.9107206846399605,1.2894151888011427
1.4825922981244355,1.1372460867644805,1.1461766266784308,1.4943033644826529,1.2432412808227102,1.1281128249632373,1.1601722487829125,2.871958193870711,1.1289923251872025,1.0405779873773362,1.5204123445868925,1.358302154665432
1.3935632605265145,1.1304993906430656,1.1501711115070383,1.4673192863232654,1.0562722616356348,1.224646923173869,1.168561791778849,2.2206598040013046,1.0913154597126171,1.0392749662059726,1.4016752819985503,1.3552989222138927
1.460926968861748,1.1237526945216507,1.1541655963356463,1.407561980546507,1.0601944629757618,1.3099472707800164,1.2235164817134965,1.5818160574732707,1.1091903919067725,1.0494583302311429,1.2007303584747249,1.3373183489460527
1.4509988274993353,1.117005998400236,1.1581600811642545,1.3636348252805248,1.247385993115814,1.218987169142007,1.2784711716481434,1.9908449456281727,1.151209362816214,1.0596416942563127,1.332013885383673,1.4212176144720188
1.4064606079393651,1.1102593022788212,1.162154565992862,1.3998723646711273,1.2495574656329231,1.3645375482428506,1.266702369647763,1.9704757302877527,1.1460823002960967,1.0596478540318603,1.3863443625424223,1.465820820441655
1.4122981059282664,1.1035126061574063,1.1661490508214698,1.3281338768286834,1.3173134150245955,1.3222377868976372,1.2549335676473827,2.4357874716171426,1.0763643073253943,1.0596540138074078,1.2960914915607713,1.574949759784112
1.4738951190733034,1.0967659100359914,1.1701435356500778,1.3549802587038924,1.379786757194092,1.3716234922218364,1.2431647656470024,2.4471069845773505,1.0663885740640546,1.0596601735829552,1.1531194765302668,1.563895014337462
1.4519579171199692,1.0900192139145766,1.1741380204786855,1.3925338890515546,1.3728680143530891,1.437351561826648,1.231395963646622,3.120015676775825,1.2052097609098122,1.0596663333585028,1.3557351056823477,1.530434176965335
1.4496009003048211,1.0832725177931617,1.1781325053072933,1.432695947887295,1.4130877703232028,1.2869486219122614,1.2196271616462415,2.1706622877189523,1.1356960009859225,1.0596724931340504,1.432862861942101,1.584847280244461
1.3805954813945345,1.0765258216717468,1.2054557048504455,1.5089810908554608,1.2714058488275404,1.474143425219345,1.2078583596458614,3.259484321556031,1.337940896409567,1.0596786529095978,2.224694473885608,1.687934684785937
1.307161301853848,1.069779125550332,1.2327789043935984,1.4427109241419882,1.4018327871232972,1.567669500398987,1.1627677539506989,2.333690219572471,1.806268431507677,1.0596848126851452,1.816334466377563,1.5892069401417104
1.3438557726153344,1.063032429428917,1.2601021039367508,1.2897964566495892,1.40380194951737,1.5798916660375746,1.1176771482555363,1.8677166990561,1.2559198182612108,1.0596909724606929,1.502486013631763,1.7137047617027286
1.4035840964977198,1.0562857333075022,1.2874253034799037,1.287534695010504,1.384496648516398,1.687401661110358,1.0725865425603738,1.3717994017272777,1.2075540030612908,1.0596971322362403,1.4475988840774396,1.6792222761877311
1.3598455609371314,1.0563291177806315,1.314748503023056,1.3179302299822544,1.5029056307620046,1.23840228871222,1.0274959368652112,1.2731707581422331,1.2558926069164953,1.059703292011788,1.580011186282907,1.691834479890192
