Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
2.116537591964504,1.1900191572368637,1.16422277360388,1.7484928941405955,1.2482468327161147,1.187168023788744,2.0664298311197733,1.6835310636560537,1.6345099958040463,1.239206873841418,2.6033784035719667,2.3318916501850686
1.4958862509383328,1.0883417862643514,1.1731050552044255,1.8479344346587163,1.2449643683412286,1.1518172955803587,1.6032553357194,3.098350016323998,1.4071432667954888,1.2260380231056522,2.278849153977314,2.3864387612549685
2.3547999089429195,1.1022336226261045,1.1819873368049714,1.9787179256523528,1.1536650419083667,1.1164665673719734,1.2185029356452384,1.8279087620481984,1.302133050375086,1.2128691723698866,1.4169783510291836,2.426996026401716
2.195361663349605,1.1161254589878575,1.190869618405517,2.6045850666617145,1.3355291740571062,1.081115839163588,1.0727231529150103,1.368486936017841,1.7067330999885784,1.199700321634121,1.740283618978351,2.400535299081032
2.4933211536802857,1.1300172953496106,1.1997519000060626,2.374649888758684,2.107824866773228,1.3147171271305629,1.6405534010328506,1.4033606768625977,1.2916391834629724,1.1865314708983554,1.169984921982072,2.4385993448879497
2.6058662638376244,1.1439091317113637,1.2086341816066084,1.6883738007192588,1.204307224258417,3.425565025554682,1.063632503661516,1.723220166511046,1.2211236164668915,1.1733626201625895,1.8526762966454144,2.3946022771508897
2.6526963572794697,1.1578009680731167,1.217516463207154,1.98871138430725,1.1438404626624268,1.5805446225638689,1.4822124192126254,2.1378430309720007,1.2350820385355938,1.160193769426824,1.775327963097585,2.5146349164323327
2.4041110830056245,1.1716928044348698,1.071837524328855,3.661980234489463,1.056662303525905,1.741222805412969,1.4452372006877616,1.6272359235404097,1.483759302878532,1.1470249186910584,2.09076645743102,2.410822454786879
2.112495066788164,1.1855846407966228,1.075014610453409,2.661080070778151,1.1957216993973672,1.4993480729959796,1.4082619821628977,2.808452433463459,1.1018807555157382,1.1338560679552927,2.18170634379927,2.480928973679126
2.2982296657466708,1.199476477158376,1.0781916965779632,3.1416589695904,1.1895768261106383,1.7213141371919598,1.371286763638034,1.9201366476655568,1.2815547224688335,1.120687217219527,1.8448133784903755,2.5432073834335496
