Duration_envelope_Central_moment_3rd_order,Duration_envelope_Central_moment_3rd_order.1,Duration_envelope_Central_moment_3rd_order.2,Duration_envelope_Central_moment_3rd_order.3,Duration_envelope_Central_moment_3rd_order.4,Duration_envelope_Central_moment_3rd_order.5,Duration_envelope_Central_moment_3rd_order.6,Duration_envelope_Central_moment_3rd_order.7,Duration_envelope_Central_moment_3rd_order.8,Duration_envelope_Central_moment_3rd_order.9,Duration_envelope_Central_moment_3rd_order.10,Duration_envelope_Central_moment_3rd_order
990704.6060722568,2.052585937474903e-09,-13704.656370856,7475326.780523559,-211074.8385990422,-1616256.971857645,-3.4924596548080444e-10,93374.85575597965,48819.65930913162,-2.793967723846435e-10,43624.36319499518,3250525.2026163624
1073491.8935841622,2.1904461870067996e-09,-20556.984556283835,6984314.40338505,-728461.7569754563,49380.09418519139,-2.3283064365386963e-10,251989.543072806,-521206.3722335794,-1.8626451492309566e-10,101844.67615780864,4692376.094458728
766275.7500037727,2.3283064365386963e-09,-27409.312741711667,2737277.9732996034,-1457707.137690388,-37178.11622769981,-1.1641532182693479e-10,5446875.548851264,-305107.82487950346,-9.313225746154783e-11,-593152.26805165,2815454.634113817
503128.3295559312,2.115536352159159e-09,-34261.6409271395,8197510.437279891,-1860038.0986334183,-615477.5911121711,0.0,-456018.0606025438,-246271.28596669968,0.0,50374171.446537554,904345.01228044
446965.3654286163,1.902766267779622e-09,-41113.96911256733,1923437.7163212728,-1084931.7831436384,411578.7768631792,1.2071475132622504e-11,-2189705.7512847325,878199.740039381,0.0,19733913.64386053,268980.5250544415
17123.413721205896,1.6899961834000847e-09,-47966.29729799517,-558306.3090552759,-1431743.7959384394,-14822.459969610669,2.4142950265245e-11,13271096.351152714,695439.3982150118,0.0,-34353.86557604876,-1182517.5513798702
-836327.9252637204,1.4772260990205475e-09,-54818.625483423,1864141.873858902,-471903.3694212221,1135666.499845466,3.621442539786751e-11,-944114.4593137188,501795.3031797735,989089.7316962306,43128.90189590796,-4676937.52194497
-841670.4194633286,1.2644560146410104e-09,-61670.95366885083,-791905.9777443112,-311557.42740531586,7059417.438379556,4.828590053049001e-11,3175988.2081178552,732329.2991087566,494544.8658481153,54052.32321813615,-2683101.9983500075
16218.388636157037,1.051685930261473e-09,-68523.28185427867,2583945.242689365,-9515.982525785475,573471.3383547667,6.035737566311252e-11,-1067008.078301113,-5240446.815949178,0.0,29871.019161265664,-3448859.235092131
-118981.67030772232,8.389158458819359e-10,-75375.6100397065,19649351.77957213,-63134.48076700006,254788.6431465993,7.242885079573502e-11,2668258.7079420853,2755871.684565925,1374432.9760465082,4454.968811552268,-2891662.619786293
-118417.86146965194,6.26145761502398e-10,-82227.93822513433,8693770.997541346,-586374.5378130481,1254021.2341962175,8.450032592835751e-11,5971408.095574095,-626190.6823293341,2748865.9520930164,137158.38252747775,-1071739.4695850697
-808285.9519832621,4.1337567712286127e-10,-89080.26641056217,6085189.817915119,-751718.1703758748,-513774.8976660844,9.657180106098002e-11,2924154.1973348004,2851591.15300491,4123298.928139525,-143138.47951675582,2602413.529423459
-403952.9057139029,2.0060559274332444e-10,-95932.59459599,9767599.696037255,-376300.8932455109,-429241.688720025,1.0864327619360252e-10,-123099.70090449387,238685.8423598943,5497731.904186033,-718660.7233246015,595871.0476778419
-219802.26098351204,-1.2164491636212915e-11,-102784.92278141784,8208936.286613662,-496551.8014441161,-787343.4200768551,1.2071475132622504e-10,-192313.87738625205,318838.9907381249,6872164.880232541,1598680.5872721744,-1005815.886079772
484128.6222282731,7081.231521049416,-109637.25096684566,5807515.498621569,-63318.22787887847,327431.0599482169,1.3278622645884752e-10,1147908.8300124684,-5726942.623106439,8246597.856279049,195450.48154473232,1016466.8022098904
888000.3812080532,14162.463042098843,-116489.5791522735,6890947.316076524,-1003020.7823383928,-327554.704286214,141818.1393136832,3433013.512411367,0.0,9621030.832325555,306180.27703544707,1120421.0998903825
