Energy_Variance,Energy_Mean,Energy_P13,Counts_Variance,Energy_P10,Duration_Variance,Amplitude_Standard_deviation,Duration_Mean,RMS_Mean
-0.2501925370934142,1.6059874942171006,-1.3154093442484065,-0.2411934679278064,-0.2644364929037486,-0.2483146232276359,-0.2269317761576922,-0.9270160961294271,0.0726737585746338
-0.2490544292474421,1.564242903603244,-1.3249586407355962,-0.2401008311236052,-0.2632253489910788,-0.2471860462562209,-0.2263691892443383,-0.9203851961970902,0.0823511187167769
-0.2479317129361651,1.524248545017113,-1.3343036733078208,-0.2390229103852607,-0.2620306955376196,-0.2460727186911961,-0.2257468583060351,-0.9114424558211724,0.0921949838503178
-0.2468240443383965,1.4858465646151031,-1.3434473181912672,-0.2379593783150122,-0.2608521616956421,-0.2449743001790345,-0.2249063398705587,-0.9012005098601436,0.1016051046468093
-0.2457310902903056,1.4488973029169137,-1.3523925185397183,-0.2369099176225439,-0.2596893881891592,-0.2438904609070918,-0.2237065576015535,-0.8906193075099458,0.1100746720359402
-0.244652527864417,1.4132766730577868,-1.3611422761821128,-0.2358742207273012,-0.2585420268537832,-0.242820881187559,-0.2220455188653343,-0.8804267551625358,0.1172851758641533
-0.243588043968759,1.3788739869048554,-1.3696996437173037,-0.234851989379764,-0.2574097401987504,-0.2417652510613103,-0.2198528514942642,-0.8710749293283803,0.1230979704112057
-0.2425373349650336,1.345590141344795,-1.3780677169612556,-0.2338429343006207,-0.256292200989861,-0.2407232699205321,-0.2171674928922719,-0.8625876397811238,0.1277398186214596
-0.2415001063047474,1.3133360962880023,-1.3862496277496414,-0.2328467748368491,-0.255189091852167,-0.2396946461490909,-0.2140328798945897,-0.8548049173889087,0.1314752681682446
-0.2404760721823155,1.2820315905245798,-1.3942485370967543,-0.2318632386337792,-0.2541001048913082,-0.2386790967796614,-0.2105138420315566,-0.8474494069233415,0.1346098512473514
-0.2394649552042099,1.2516040527301022,-1.402067628709735,-0.2308920613222646,-0.2530249413324752,-0.2376763471667012,-0.2066876938588176,-0.8402094738549274,0.137428997289074
-0.2384664860732831,1.2219876735301507,-1.4097101028554686,-0.2299329862201472,-0.2519633111760348,-0.2366861306744116,-0.202635178764294,-0.8328107193904699,0.1401501845474895
-0.2374804032874499,1.1931226112268931,-1.417179170575929,-0.2289857640472522,-0.2509149328689172,-0.2357081883788819,-0.1984323569868711,-0.8250708312202784,0.1428934057549803
-0.2365064528519642,1.1649543090332677,-1.4244780482464825,-0.2280501526531902,-0.2498795329909195,-0.2347422687836593,-0.1941449862343661,-0.8169313577221771,0.1456728777246692
-0.2355443880045687,1.137432905793867,-1.431609952470418,-0.2271259167572968,-0.2488568459551331,-0.2337881275480379,-0.1898248244654082,-0.8084605817995578,0.1484100741344685
-0.2345939689528452,1.1105127254521954,-1.4385780953020098,-0.2262128277000707,-0.2478466137217471,-0.2328455272273965,-0.1855068239050822,-0.7998263472008167,0.1509643437918385
-0.2336549626231293,1.084151833143632,-1.4453856797895042,-0.2253106632055172,-0.2468485855245297,-0.2319142370249611,-0.1812071285356918,-0.7912457707283396,0.1531728371327496
-0.2327271424203922,1.0583116478975896,-1.4520358958287285,-0.2244192071538354,-0.2458625176093287,-0.2309940325544035,-0.1769222846949129,-0.7829269406732071,0.1548883418703954
-0.2318102879985283,1.0329566036318272,-1.4585319163173824,-0.2235382493639202,-0.2448881729839704,-0.2300846956127181,-0.1726304784810826,-0.7750197899400726,0.1560060937723389
-0.2309041850405206,1.008053851501707,-1.4648768935995953,-0.2226675853851832,-0.2439253211789766,-0.2291860139628588,-0.1682982308882092,-0.767586786888315,0.1564778854886141
-0.2300086250479841,0.9835729977931628,-1.4710739561899793,-0.2218070162982248,-0.24297373801855,-0.2282977811256418,-0.1638964057685591,-0.7605955079700378,0.1563157914098119
