Energy_Variance,Energy_Variance.1,Energy_Variance.2,Energy_Variance.3,Energy_Variance.4,Energy_Variance.5,Energy_Variance.6,Energy_Variance.7,Energy_Variance.8,Energy_Variance.9,Energy_Variance.10,Energy_Variance
2847194.391984612,9.237968533645525,937.747111797792,1371120338.5508454,337889987.9093432,36658709.47989262,285876493.07388145,78223593.20135295,43780213.598361775,460998.2131967552,12359.021349307548,52916634.35166055
4461373.558065966,9.237968533645526,29698.102547799943,115745809.05305304,213231236.5565921,11978850.925983,81689047.08873205,3198125.319432703,6902984.259585844,41397.651852091294,23565.94728705383,33848653.5505658
1176023.378208228,9.23796853364552,50236.75243354135,15062316.78191001,319284660.4741786,20144129.34579144,81689047.08873203,876456486.2733074,160921.03098009864,163043650.39353806,257164.35615275835,47449018.77808423
3215339.1317409654,9.237968533645518,50236.75243354134,22877816.475915447,264168101.32199395,32533919.218786675,12556546.416714257,40548257.62648992,15245840.672930747,2064550.0006077364,414027.3400132616,33605561.76600846
1026665.961349871,9.23796853364552,50236.75243354134,29271099.74747828,327365532.5904393,4812805.112450564,915833.854355572,4277201935.546828,153862.73292482062,2064550.000607736,206546.7717985757,23808069.53538665
472718.3011155828,240963.7857503504,50236.75243354135,17588398.851476267,768667197.6012093,4591441.001896496,257508896.1746423,1131514000.5408735,112129.65932842526,2064550.000607736,1256529.1979738043,25955945.70317913
1039911.4290727302,119.24484597769666,50236.75243354133,7374313.113825187,659372146.92187,206657.3393729632,621019950.3927358,1491771794.0175686,18997452.061651967,727988.9019349698,15877.06433002226,26186685.623378374
504952.0664598823,119.24484597769668,50236.75243354134,42450395.95146924,491933596.2238735,1331149.8073717542,357670176.2861127,257253553.8539593,256088.84911758703,177171593.41737586,4618158.635281611,22912208.430131547
509104.1518078472,119.24484597769668,60355340.02414986,4654094.679666974,641335582.1107157,1468758.0001818803,3911.3089881403794,121484337.12859708,5087915.8727295045,230635109.93762657,374988.3087305449,23895602.51354447
902660.664447546,119.24484597769673,43036814.06925399,133548771.82170787,378259785.510627,5328016.828258116,61797.38701299993,149598850.93804422,11307.139443492477,140284402.53341728,88488.71981247315,40911980.588662624
570916.2548457918,119.24484597769666,43036814.06925395,6281253.793233568,353646929.20225024,1345207.4260901676,85473.08757593295,64127848.91772788,6334.58617264316,149353748.03822264,34120.82833003283,39756193.884923965
863442.7230661488,119.24484597769668,43036814.06925399,7799988.198663095,211202929.84927407,18060668.055830453,52982.13881053508,192990953.69714123,6663.535812953725,133983161811.04572,10212.813503339385,29935758.331830755
2267152.35581073,119.24484597769668,43036814.06925399,7916759.607272942,287518256.43034816,11271556.014356792,1375918.5238074218,9944405456.223536,29692.11780680801,6092203630.561296,66662.49143437565,39477824.61376669
1213245.3528877536,119.24484597769668,43036814.06925399,8755069.675926445,274631024.3114283,72354837.63645792,1311426897.8545346,1030754421.6474652,782832.4577921446,744897.1796855069,75373.03564539285,25798651.79677411
6359174.068808662,119.24484597769666,352759521.3410748,15726642.04471628,153956295.53962725,54786449.88516247,216920948.9302149,6018340893.659549,349367.3242628671,2367649.7205001907,4084540.79410726,25700262.367669515
3329816.312054938,119.24484597769668,355504309.54191446,51000681.11321754,408443167.50936353,17712622.94002171,7549273.488009078,1428058565.7507553,4806496.551944413,2032641.9613268944,7233082.183543447,43906935.51397447
7238606.386732057,119.24484597769668,3353998.8704771088,82645490.2845627,752262238.7419714,66399376.508545,25550412.79981641,1397637885.9089684,3909.409172460543,2032641.9613268927,5288712.310156533,58960890.16381653
6553491.492628953,119.2448459776966,845948.9370070106,1631943.3784307744,267778848.8696401,5276335.45214772,3655389815.867692,1108246458.9394174,94508483.99378207,7480813.607697503,148008.4208173797,53702332.04412318
12586549.67485202,119.2448459776967,675727.7458217227,352605.20476117264,316675632.5093378,93368083.38789782,3218634823.078092,493906107.8382064,1645730.558513619,35693381.10002961,8852698.191706521,59372693.82906199
146244232.1785307,119.24484597769668,107340.70504016693,144573.001065704,219206240.9572004,166873674.77940246,4803480160.568443,1172207031.6162808,346978.9889248575,32423319.603375368,15157.30840295804,92367932.55693446
14231702.1505071,119.24484597769666,4641969.432568212,405692.3324781217,352258041.3129285,85516996.20541695,134874839.32761067,501118846.039302,913935.5457668612,2755274237.668797,934721.8992364492,111240411.52422848
767415.8646878134,119.2448459776967,75368.06299166082,527354.432018353,290760222.2674933,120413168.54283564,659.1923059476646,8016995838.94595,488814.21998306207,400029987.3171316,582543.8758673652,104657873.1477174
